LapNumber,,laptime
1,,02:22.312
2,,02:10.085
3,,02:08.415
4,,02:08.740
5,,02:06.915
6,,02:08.132
7,,02:07.295
8,,02:07.600
9,,02:07.387
10,,02:07.880
11,,02:08.345
12,,02:08.022
13,,02:07.915
14,,02:08.385
15,,02:08.117
16,,02:08.727
17,,02:08.345
18,,02:08.205
19,,02:08.432
20,,02:08.735
21,,02:07.862
22,,02:07.922
23,,02:08.300
24,,02:08.587
25,,02:09.017
26,,02:09.690
27,,02:08.907
28,,02:08.202
29,,02:08.360
30,,02:13.410
31,,03:13.722
32,,02:09.182
33,,02:08.875
34,,02:11.075
35,,02:08.497
36,,02:08.807
37,,02:10.917
38,,02:09.307
39,,02:08.772
40,,02:08.360
41,,02:08.915
42,,02:08.322
43,,02:08.872
44,,02:09.330
45,,02:09.607
46,,02:09.485
47,,02:08.682
48,,02:09.307
49,,02:08.940
50,,02:09.120
51,,02:09.257
52,,02:09.065
53,,02:08.525
54,,
55,,02:09.062
56,,02:09.472
57,,02:09.040
58,,02:09.150
59,,02:08.730
60,,02:13.515
61,,03:12.610
62,,02:07.902
63,,02:07.160
64,,02:09.657
65,,02:07.462
66,,02:07.240
67,,02:07.525
68,,02:07.890
69,,02:07.682
70,,02:07.772
71,,02:07.822
72,,02:07.817
73,,02:08.840
74,,02:07.960
75,,02:08.060
76,,02:08.400
77,,02:08.545
78,,02:09.057
79,,02:08.322
80,,02:08.645
81,,02:09.585
82,,02:08.852
83,,02:08.642
84,,02:09.825
85,,02:08.437
86,,02:08.307
87,,02:08.390
88,,02:08.545
89,,02:08.297
90,,02:12.002
91,,03:09.547
92,,02:09.690
93,,02:09.287
94,,02:07.830
95,,02:08.352
96,,02:08.052
97,,02:09.182
98,,02:07.707
99,,02:08.540
100,,02:09.607
101,,02:10.842
102,,02:08.825
103,,02:09.765
104,,02:09.447
105,,02:08.950
106,,02:08.325
107,,02:08.690
108,,02:08.772
109,,02:09.105
110,,02:09.327
111,,02:08.567
112,,02:09.182
113,,02:09.295
114,,02:08.305
115,,02:08.580
116,,02:08.302
117,,02:09.072
118,,02:10.117
119,,02:08.405
120,,02:12.747
121,,03:08.990
122,,02:09.065
123,,02:09.030
124,,02:08.507
125,,02:08.937
126,,02:08.615
127,,02:08.090
128,,02:09.100
129,,02:08.302
130,,02:08.020
131,,02:10.092
132,,02:08.665
133,,02:08.775
134,,02:09.135
135,,02:08.562
136,,02:09.170
137,,02:08.872
138,,02:08.312
139,,02:09.067
140,,02:09.635
141,,02:08.472
142,,02:08.497
143,,02:08.525
144,,02:08.827
145,,02:08.610
146,,02:08.200
147,,02:08.532
