"Date 2023-05-12 20:26:57","Track Imola (2022)","Session Type 10","Duration 10"
"Car","Race #","Driver","Team","Lap","Position","Fuel","Penalty","Gap","Lap Time","Sector 1","Sector 2","Sector 3","Delta RR","Delta QR","Delta RS","Delta QS","Condition","Tyres","Pressure FR","Pressure FL","Pressure RR","Pressure RL","Temp FR","Temp FL","Temp RR","Temp RL","ECU Mode","Max Speed","Peak Acceleration","Damage Front","Damage Rear","Damage Centre","Damage Right","Damage Left","Air Temp","Road Temp","Cup","Category","Nationality","Lap type","Accidents"
"Porsche 992 GT3 R","8","Bruhier Maedre (BRU)","","1","17","43.0597457885742","Invalid lap. ","0L","1:53.525","0:30.130","0:35.435","0:47.960","+10.879","+12.312","+5.878","+5.964","OPTIMUM","Dry","26.6304070854789","26.9119695520082","25.7695841658084","25.9039436148301","81.7814594696189","79.5060558650875","78.0767995880536","76.2974384963955","8","266 Km/h","31.4716569767442","0","0","0","0","0","21.89542","28.63832","1","0","0","Regular","1"
"Porsche 992 GT3 R","8","Bruhier Maedre (BRU)","","2","15","40.3208885192871","","0L","1:43.320","0:22.075","0:33.022","0:48.222","+0.674","+2.107","-4.327","-4.241","OPTIMUM","Dry","26.9672362874251","27.0198663672655","26.5365756087824","26.4961859081836","85.2962785628742","80.6361762275449","86.1511793612774","82.472826007984","8","267 Km/h","24.2059223300971","0","0","0","0","0","21.89051","28.62408","1","0","0","Regular","0"
"Porsche 992 GT3 R","8","Bruhier Maedre (BRU)","","3","15","37.6080665588379","Invalid lap. ","0L","1:42.495","0:22.237","0:32.820","0:47.437","-0.151","+1.282","-5.152","-5.066","OPTIMUM","Dry","26.870287983871","26.9833516935484","26.5610978629032","26.5864597782258","84.4214582862903","80.2590187096774","86.7089804637097","83.4163825604839","8","266 Km/h","22.7932301740812","0","0","0","0","0","21.88584","28.61031","1","0","0","Regular","0"
"Porsche 992 GT3 R","8","Bruhier Maedre (BRU)","","4","15","34.8810386657715","","0L","1:41.710","0:21.802","0:32.867","0:47.040","-0.936","+0.497","-5.937","-5.851","OPTIMUM","Dry","26.8873257606491","26.9558511764706","26.6057028600406","26.6103852129817","84.7571020689655","79.9757380933063","87.3573287221095","83.6687885192698","8","269 Km/h","21.9673410404624","0","0","0","0","0","21.88116","28.59632","1","0","0","Regular","0"
"Porsche 992 GT3 R","8","Bruhier Maedre (BRU)","","5","15","32.1577682495117","Invalid lap. ","0L","1:41.632","0:22.072","0:32.530","0:47.030","-1.014","+0.419","-6.015","-5.929","OPTIMUM","Dry","26.8918619675456","26.9324895943205","26.6569980121704","26.6390128803245","84.8075295537525","79.7355671196755","87.8948293509128","83.9701714807302","8","266 Km/h","22.6836714975845","0","0","0","0","0","21.87623","28.58137","1","0","0","Regular","0"
"Porsche 992 GT3 R","8","Bruhier Maedre (BRU)","","6","14","29.4376831054687","","0L","1:41.797","0:21.907","0:32.817","0:47.072","-0.849","+0.584","-5.850","-5.764","OPTIMUM","Dry","26.8855554563895","26.9602607910751","26.6409103245436","26.6617958823529","84.7701290872211","80.028039148073","88.0198365111562","84.2106820283976","8","268 Km/h","23.5297480620155","0","0","0","0","0","21.87152","28.56688","1","0","0","Regular","0"
"Porsche 992 GT3 R","8","Bruhier Maedre (BRU)","","7","17","26.703125","Invalid lap. ","0L","1:47.560","0:27.550","0:32.797","0:47.212","+4.914","+6.347","-0.087","-0.001","OPTIMUM","Dry","26.7986449423077","27.1543516346154","26.6406553461538","26.9724126923077","84.7408835769231","82.0531103076923","88.9287002692308","87.9803896730769","8","271 Km/h","27.603673870334","0","13.14449","13.14449","0","0","21.8663","28.55064","1","0","0","Regular","1"
"Porsche 992 GT3 R","8","Bruhier Maedre (BRU)","","8","17","23.9717960357666","Invalid lap. ","0L","1:41.650","0:21.855","0:32.552","0:47.242","-0.996","+0.437","-5.997","-5.911","OPTIMUM","Dry","26.773205801217","26.9755792089249","26.6413159229209","26.7695972413793","84.6629722109534","80.1942140365112","89.1157344016227","85.9605089655172","8","266 Km/h","25.2398280802292","0","13.14449","13.14449","0","0","21.86153","28.53559","1","0","0","Regular","0"
"Porsche 992 GT3 R","8","Bruhier Maedre (BRU)","","9","17","21.2609519958496","","0L","1:41.880","0:21.905","0:32.445","0:47.530","-0.766","+0.667","-5.767","-5.681","OPTIMUM","Dry","26.7855137246964","26.9197084412955","26.6496488259109","26.6750164777328","84.7944244331984","79.6154697368421","89.2057789068826","84.9785363360324","8","268 Km/h","21.8972549019608","0","13.14449","13.14449","0","0","21.85672","28.52024","1","0","0","Regular","0"
"Porsche 992 GT3 R","8","Bruhier Maedre (BRU)","","10","13","18.5174198150635","","0L","1:42.455","0:21.937","0:33.207","0:47.310","-0.191","+1.242","-5.192","-5.106","OPTIMUM","Dry","26.7880050905433","26.9155287726358","26.6704669617706","26.6837687122736","84.8236694567405","79.5752221327968","89.4259251307847","85.0729982897384","8","268 Km/h","24.2449330783939","0","13.14449","13.14449","0","0","21.85163","28.5038","1","0","0","Regular","0"
