lap,driver,laptime,laptime_in_ms,stint
1,Bruhier Maedre (BRU),04:41.790000,281790.0,2
2,Bruhier Maedre (BRU),01:43.545000,103545.0,2
3,Bruhier Maedre (BRU),01:42.670000,102670.0,2
4,Bruhier Maedre (BRU),01:43.200000,103200.0,2
5,Bruhier Maedre (BRU),01:43.075000,103075.0,2
6,Bruhier Maedre (BRU),01:42.707000,102707.0,2
7,Bruhier Maedre (BRU),01:42.990000,102990.0,2
8,Bruhier Maedre (BRU),01:43.055000,103055.0,2
9,Bruhier Maedre (BRU),01:43.017000,103017.0,2
10,Bruhier Maedre (BRU),01:42.675000,102675.0,2
11,Bruhier Maedre (BRU),01:42.965000,102965.0,2
12,Bruhier Maedre (BRU),01:42.980000,102980.0,2
13,Bruhier Maedre (BRU),01:43.250000,103250.0,2
14,Bruhier Maedre (BRU),01:43.655000,103655.0,2
15,Bruhier Maedre (BRU),01:43.125000,103125.0,2
16,Bruhier Maedre (BRU),01:43.315000,103315.0,2
17,Bruhier Maedre (BRU),01:47.495000,107495.0,2
18,Bruhier Maedre (BRU),01:42.740000,102740.0,2
