lap,driver,laptime,laptime_in_ms,stint
1,Kargulu,02:22.312000,142312,1
2,Kargulu,02:10.085000,130085,1
3,Kargulu,02:08.414999,128415,1
4,Kargulu,02:08.740000,128740,1
5,Kargulu,02:06.915000,126915,1
6,Kargulu,02:08.132000,128132,1
7,Kargulu,02:07.295000,127295,1
8,Kargulu,02:07.600000,127600,1
9,Kargulu,02:07.387000,127387,1
10,Kargulu,02:07.880000,127880,1
11,Kargulu,02:08.345000,128345,1
12,Kargulu,02:08.021999,128022,1
13,Kargulu,02:07.915000,127915,1
14,Kargulu,02:08.384999,128385,1
15,Kargulu,02:08.116999,128117,1
16,Kargulu,02:08.727000,128727,1
17,Kargulu,02:08.345000,128345,1
18,Kargulu,02:08.205000,128205,1
19,Kargulu,02:08.431999,128432,1
20,Kargulu,02:08.735000,128735,1
21,Kargulu,02:07.862000,127862,1
22,Kargulu,02:07.922000,127922,1
23,Kargulu,02:08.300000,128300,1
24,Kargulu,02:08.586999,128587,1
25,Kargulu,02:09.017000,129017,1
26,Kargulu,02:09.690000,129690,1
27,Kargulu,02:08.907000,128907,1
28,Kargulu,02:08.202000,128202,1
29,Kargulu,02:08.360000,128360,1
30,Kargulu,02:13.410000,133410,1
31,Kylo,03:13.722000,193722,2
32,Kylo,02:09.181999,129182,2
33,Kylo,02:08.875000,128875,2
34,Kylo,02:11.075000,131075,2
35,Kylo,02:08.497000,128497,2
36,Kylo,02:08.806999,128807,2
37,Kylo,02:10.917000,130917,2
38,Kylo,02:09.306999,129307,2
39,Kylo,02:08.771999,128772,2
40,Kylo,02:08.360000,128360,2
41,Kylo,02:08.914999,128915,2
42,Kylo,02:08.322000,128322,2
43,Kylo,02:08.872000,128872,2
44,Kylo,02:09.330000,129330,2
45,Kylo,02:09.607000,129607,2
46,Kylo,02:09.485000,129485,2
47,Kylo,02:08.681999,128682,2
48,Kylo,02:09.306999,129307,2
49,Kylo,02:08.940000,128940,2
50,Kylo,02:09.120000,129120,2
51,Kylo,02:09.257000,129257,2
52,Kylo,02:09.065000,129065,2
53,Kylo,02:08.525000,128525,2
54,Kylo,02:11.000000,132000,2
55,Kylo,02:09.062000,129062,2
56,Kylo,02:09.472000,129472,2
57,Kylo,02:09.039999,129040,2
58,Kylo,02:09.150000,129150,2
59,Kylo,02:08.729999,128730,2
60,Kylo,02:13.515000,133515,2
61,Kargulu,03:12.610000,192610,3
62,Kargulu,02:07.902000,127902,3
63,Kargulu,02:07.160000,127160,3
64,Kargulu,02:09.657000,129657,3
65,Kargulu,02:07.462000,127462,3
66,Kargulu,02:07.240000,127240,3
67,Kargulu,02:07.525000,127525,3
68,Kargulu,02:07.890000,127890,3
69,Kargulu,02:07.682000,127682,3
70,Kargulu,02:07.772000,127772,3
71,Kargulu,02:07.822000,127822,3
72,Kargulu,02:07.817000,127817,3
73,Kargulu,02:08.840000,128840,3
74,Kargulu,02:07.960000,127960,3
75,Kargulu,02:08.060000,128060,3
76,Kargulu,02:08.400000,128400,3
77,Kargulu,02:08.544999,128545,3
78,Kargulu,02:09.056999,129057,3
79,Kargulu,02:08.322000,128322,3
80,Kargulu,02:08.645000,128645,3
81,Kargulu,02:09.585000,129585,3
82,Kargulu,02:08.852000,128852,3
83,Kargulu,02:08.642000,128642,3
84,Kargulu,02:09.824999,129825,3
85,Kargulu,02:08.437000,128437,3
86,Kargulu,02:08.306999,128307,3
87,Kargulu,02:08.389999,128390,3
88,Kargulu,02:08.544999,128545,3
89,Kargulu,02:08.297000,128297,3
90,Kargulu,02:12.002000,132002,3
91,Kylo,03:09.547000,189547,4
92,Kylo,02:09.690000,129690,4
93,Kylo,02:09.287000,129287,4
94,Kylo,02:07.830000,127830,4
95,Kylo,02:08.352000,128352,4
96,Kylo,02:08.051999,128052,4
97,Kylo,02:09.181999,129182,4
98,Kylo,02:07.707000,127707,4
99,Kylo,02:08.539999,128540,4
100,Kylo,02:09.607000,129607,4
101,Kylo,02:10.842000,130842,4
