"Lap", "laptime", "driver"
"1 ", "01:31.5303", "Luca Ziege"
"2 ", "01:23.8450", "Luca Ziege"
"3 ", "01:23.7120", "Luca Ziege"
"4 ", "01:24.5370", "Luca Ziege"
"5 ", "01:23.2470", "Luca Ziege"
"6 ", "01:23.5800", "Luca Ziege"
"7 ", "01:22.9100", "Luca Ziege"
"8 ", "01:22.9350", "Luca Ziege"
"9 ", "01:22.7700", "Luca Ziege"
"10 ", "01:23.1020", "Luca Ziege"
"11 ", "01:22.8020", "Luca Ziege"
"12 ", "01:23.7100", "Luca Ziege"
"13 ", "01:22.8650", "Luca Ziege"
"14 ", "01:23.0720", "Luca Ziege"
"15 ", "02:12.7720", "Luca Ziege"
"16 ", "01:29.3070", "Luca Ziege"
"17 ", "01:23.7200", "Luca Ziege"
"18 ", "01:23.1400", "Luca Ziege"
"19 ", "01:22.9650", "Luca Ziege"
"20 ", "01:23.1950", "Luca Ziege"
"21 ", "01:23.4870", "Luca Ziege"
"22 ", "01:22.9900", "Luca Ziege"
"23 ", "01:23.3150", "Luca Ziege"
"24 ", "01:23.0100", "Luca Ziege"
"25 ", "01:22.9350", "Luca Ziege"
"26 ", "01:23.1570", "Luca Ziege"
"27 ", "01:23.0370", "Luca Ziege"
"28 ", "01:23.4970", "Luca Ziege"
"29 ", "01:24.0070", "Luca Ziege"
"30 ", "01:23.1850", "Luca Ziege"
"31 ", "01:23.4050", "Luca Ziege"
"32 ", "01:23.5250", "Luca Ziege"
"33 ", "01:23.3500", "Luca Ziege"
"34 ", "01:23.2800", "Luca Ziege"
"35 ", "01:24.2450", "Luca Ziege"
"36 ", "01:23.4370", "Luca Ziege"
"37 ", "01:23.8820", "Luca Ziege"
"38 ", "01:23.6550", "Luca Ziege"
"39 ", "01:23.2270", "Luca Ziege"
"40 ", "01:23.5920", "Luca Ziege"
"41 ", "01:23.6300", "Luca Ziege"
"42 ", "01:23.5700", "Luca Ziege"
"43 ", "01:23.7550", "Luca Ziege"
