lap,driver,laptime,laptime_in_ms,stint
1,Luca Z,01:51.121200,111121.2,1
2,Luca Z,01:43.727000,103727.0,1
3,Luca Z,01:43.715000,103715.0,1
4,Luca Z,01:44.775000,104775.0,1
5,Luca Z,01:43.832000,103832.0,1
6,Luca Z,01:43.030000,103030.0,1
7,Luca Z,01:43.195000,103195.0,1
8,Luca Z,01:42.547000,102547.0,1
9,Luca Z,01:43.840000,103840.0,1
10,Luca Z,01:46.602000,106602.0,1
11,Luca Z,01:42.960000,102960.0,1
12,Luca Z,01:42.865000,102865.0,1
13,Luca Z,01:42.937000,102937.0,1
14,Luca Z,01:43.555000,103555.0,1
15,Luca Z,01:42.592000,102592.0,1
16,Luca Z,01:42.887000,102887.0,1
17,Luca Z,01:43.475000,103475.0,1
18,Luca Z,01:43.120000,103120.0,1
19,Luca Z,01:42.935000,102935.0,1
20,Luca Z,01:42.820000,102820.0,1
21,Luca Z,01:42.505000,102505.0,1
22,Luca Z,01:43.300000,103300.0,1
23,Luca Z,01:42.342000,102342.0,1
24,Luca Z,01:42.662000,102662.0,1
25,Luca Z,01:42.600000,102600.0,1
26,Luca Z,01:42.125000,102125.0,1
27,Luca Z,01:43.002000,103002.0,1
28,Luca Z,01:42.312000,102312.0,1
29,Luca Z,01:42.245000,102245.0,1
30,Luca Z,01:42.347000,102347.0,1
31,Luca Z,01:42.675000,102675.0,1
32,Luca Z,01:42.337000,102337.0,1
33,Luca Z,01:42.195000,102195.0,1
34,Luca Z,01:42.217000,102217.0,1
35,Luca Z,01:42.532000,102532.0,1
36,Luca Z,01:42.255000,102255.0,1
37,Luca Z,01:42.160000,102160.0,1
38,Luca Z,01:42.240000,102240.0,1
39,Luca Z,01:42.520000,102520.0,1
40,Luca Z,01:42.690000,102690.0,1
41,Luca Z,01:42.610000,102610.0,1
42,Luca Z,01:42.277000,102277.0,1
43,Luca Z,01:42.507000,102507.0,1
44,Luca Z,01:42.827000,102827.0,1
45,Luca Z,02:01.582000,121582.0,1
46,Ryan C,02:37.572000,157572.0,2
47,Ryan C,01:43.185000,103185.0,2
48,Ryan C,01:42.925000,102925.0,2
49,Ryan C,01:43.952000,103952.0,2
50,Ryan C,01:42.727000,102727.0,2
51,Ryan C,01:42.587000,102587.0,2
52,Ryan C,01:42.302000,102302.0,2
53,Ryan C,01:42.017000,102017.0,2
54,Ryan C,01:44.052000,104052.0,2
55,Ryan C,01:42.420000,102420.0,2
56,Ryan C,01:42.375000,102375.0,2
57,Ryan C,01:42.080000,102080.0,2
58,Ryan C,01:42.075000,102075.0,2
59,Ryan C,01:42.595000,102595.0,2
60,Ryan C,01:42.205000,102205.0,2
61,Ryan C,01:42.225000,102225.0,2
62,Ryan C,01:42.722000,102722.0,2
63,Ryan C,01:42.625000,102625.0,2
64,Ryan C,01:42.310000,102310.0,2
65,Ryan C,01:42.722000,102722.0,2
66,Ryan C,01:42.325000,102325.0,2
67,Ryan C,01:43.792000,103792.0,2
68,Ryan C,01:43.295000,103295.0,2
69,Ryan C,01:43.230000,103230.0,2
70,Ryan C,01:42.917000,102917.0,2
71,Ryan C,01:42.742000,102742.0,2
72,Ryan C,01:44.680000,104680.0,2
73,Ryan C,01:43.212000,103212.0,2
74,Ryan C,01:42.795000,102795.0,2
75,Ryan C,01:42.452000,102452.0,2
76,Ryan C,01:42.482000,102482.0,2
77,Ryan C,01:42.702000,102702.0,2
78,Ryan C,01:42.500000,102500.0,2
79,Ryan C,01:43.202000,103202.0,2
80,Ryan C,01:42.512000,102512.0,2
81,Ryan C,01:42.607000,102607.0,2
82,Ryan C,01:42.812000,102812.0,2
83,Ryan C,01:42.632000,102632.0,2
84,Ryan C,01:43.097000,103097.0,2
85,Ryan C,01:42.452000,102452.0,2
86,Ryan C,01:42.460000,102460.0,2
87,Ryan C,01:42.645000,102645.0,2
88,Ryan C,01:42.470000,102470.0,2
89,Ryan C,01:44.305000,104305.0,2
90,Ryan C,02:01.437000,121437.0,2
91,Hubert S,02:38.045000,158045.0,3
92,Hubert S,01:42.482000,102482.0,3
