"Lap", "laptime", "driver"
"1 ", "01:41.5708", "Samir Foch"
"2 ", "01:30.2050", "Samir Foch"
"3 ", "02:20.4370", "Samir Foch"
"4 ", "01:34.3350", "Samir Foch"
"5 ", "01:29.7570", "Samir Foch"
"6 ", "01:30.0220", "Samir Foch"
"7 ", "01:29.6300", "Samir Foch"
"8 ", "01:29.2970", "Samir Foch"
"9 ", "01:29.2500", "Samir Foch"
"10 ", "01:29.3870", "Samir Foch"
"11 ", "01:29.6220", "Samir Foch"
"12 ", "01:29.5550", "Samir Foch"
"13 ", "01:30.0550", "Samir Foch"
"14 ", "01:30.2020", "Samir Foch"
"15 ", "01:29.5400", "Samir Foch"
"16 ", "01:29.7550", "Samir Foch"
"17 ", "01:29.8300", "Samir Foch"
"18 ", "01:29.7420", "Samir Foch"
"19 ", "01:29.6220", "Samir Foch"
"20 ", "01:29.6100", "Samir Foch"
"21 ", "01:29.7520", "Samir Foch"
"22 ", "01:29.6500", "Samir Foch"
"23 ", "01:29.5920", "Samir Foch"
"24 ", "01:30.0800", "Samir Foch"
"25 ", "01:30.0020", "Samir Foch"
"26 ", "01:29.5050", "Samir Foch"
"27 ", "01:29.7550", "Samir Foch"
"28 ", "01:29.6920", "Samir Foch"
"29 ", "01:29.7400", "Samir Foch"
"30 ", "01:29.9720", "Samir Foch"
"31 ", "01:29.8520", "Samir Foch"
"32 ", "01:29.6050", "Samir Foch"
"33 ", "01:29.6270", "Samir Foch"
"34 ", "01:29.2920", "Samir Foch"
"35 ", "01:29.5970", "Samir Foch"
"36 ", "01:30.1800", "Samir Foch"
"37 ", "01:29.7100", "Samir Foch"
"38 ", "01:29.1220", "Samir Foch"
"39 ", "01:29.5050", "Samir Foch"
"40 ", "01:30.3350", "Samir Foch"
