Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,    Cuts, 
"Joshua Allan"
"1 ", Mercedes AMG GT3 2020, no,"0", "01:52.4843", "38.9223", "38.4070", "35.1550",     "0 ",  
"2 ", Mercedes AMG GT3 2020, no,"0", "01:46.6170", "33.7150", "38.2070", "34.6950",     "0 ",  
"3 ", Mercedes AMG GT3 2020, no,"0", "01:46.4070", "33.8420", "37.9670", "34.5970",     "0 ",  
"4 ", Mercedes AMG GT3 2020, no,"0", "01:46.1050", "33.5750", "38.1170", "34.4120",     "0 ",  
"5 ", Mercedes AMG GT3 2020, no,"0", "01:46.1900", "33.5470", "38.0950", "34.5470",     "0 ",  
"6 ", Mercedes AMG GT3 2020, no,"0", "01:46.3200", "33.5570", "38.1300", "34.6320",     "0 ",  
"7 ", Mercedes AMG GT3 2020, no,"0", "01:46.1420", "33.5220", "38.1000", "34.5200",     "0 ",  
"8 ", Mercedes AMG GT3 2020, no,"0", "01:46.2520", "33.6420", "38.1900", "34.4200",     "0 ",  
"9 ", Mercedes AMG GT3 2020, no,"0", "01:46.2150", "33.6270", "38.0450", "34.5420",     "0 ",  
"10 ", Mercedes AMG GT3 2020, no,"0", "01:46.3900", "33.5670", "38.2870", "34.5350",     "0 ",  
"11 ", Mercedes AMG GT3 2020, no,"0", "01:46.3320", "33.5620", "38.3250", "34.4450",     "0 ",  
"12 ", Mercedes AMG GT3 2020, no,"0", "01:46.5150", "33.6050", "38.3520", "34.5570",     "0 ",  
"13 ", Mercedes AMG GT3 2020, no,"0", "01:46.5650", "33.7470", "38.3000", "34.5170",     "0 ",  
"14 ", Mercedes AMG GT3 2020, no,"0", "01:46.5520", "33.6700", "38.2420", "34.6400",     "0 ",  
"15 ", Mercedes AMG GT3 2020, no,"0", "01:46.4700", "33.7050", "38.3370", "34.4270",     "0 ",  
"16 ", Mercedes AMG GT3 2020, no,"0", "02:34.4920", "33.6270", "38.3270", "82.5370",     "0 ",  
"17 ", Mercedes AMG GT3 2020, no,"0", "01:51.8050", "38.8800", "38.1200", "34.8050",     "0 ",  
"18 ", Mercedes AMG GT3 2020, no,"0", "01:45.8070", "33.5250", "37.9270", "34.3550",     "0 ",  
"19 ", Mercedes AMG GT3 2020, no,"0", "01:45.8320", "33.4420", "38.0070", "34.3820",     "0 ",  
"20 ", Mercedes AMG GT3 2020, no,"0", "01:45.6370", "33.4400", "37.9150", "34.2820",     "0 ",  
"21 ", Mercedes AMG GT3 2020, no,"0", "01:45.5270", "33.3750", "37.9250", "34.2270",     "0 ",  
"22 ", Mercedes AMG GT3 2020, no,"0", "01:45.5700", "33.3820", "37.8700", "34.3170",     "0 ",  
"23 ", Mercedes AMG GT3 2020, no,"0", "01:45.8070", "33.3620", "38.1220", "34.3220",     "0 ",  
"24 ", Mercedes AMG GT3 2020, no,"0", "01:45.5600", "33.4350", "37.8900", "34.2350",     "0 ",  
"25 ", Mercedes AMG GT3 2020, no,"0", "01:45.6420", "33.5120", "37.8620", "34.2670",     "0 ",  
"26 ", Mercedes AMG GT3 2020, no,"0", "01:45.7800", "33.3820", "38.0250", "34.3720",     "0 ",  
"27 ", Mercedes AMG GT3 2020, no,"0", "01:45.9120", "33.4270", "37.9920", "34.4920",     "0 ",  
"28 ", Mercedes AMG GT3 2020, no,"0", "01:45.9750", "33.4420", "38.1150", "34.4170",     "0 ",  
"29 ", Mercedes AMG GT3 2020, no,"0", "01:45.9670", "33.5150", "38.1070", "34.3450",     "0 ",  
"30 ", Mercedes AMG GT3 2020, no,"0", "01:46.0720", "33.3820", "38.0450", "34.6450",     "0 ",  
"31 ", Mercedes AMG GT3 2020, no,"0", "01:46.1950", "33.4670", "38.1100", "34.6170",     "0 ",  
"32 ", Mercedes AMG GT3 2020, no,"0", "01:46.1600", "33.4920", "38.1570", "34.5100",     "0 ",  
"33 ", Mercedes AMG GT3 2020, no,"0", "01:46.2150", "33.5770", "38.2100", "34.4270",     "0 ",  
"34 ", Mercedes AMG GT3 2020, no,"0", "01:46.4150", "33.5770", "38.2250", "34.6120",     "0 ",  
