Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"Valentin Barrier"
"1 ", McLaren 720S GT3 Evo 2023, no,"0", "01:35.6048", "34.5498", "23.1150", "37.9400",     
"2 ", McLaren 720S GT3 Evo 2023, no,"0", "01:29.7750", "28.9270", "23.0350", "37.8120",     
"3 ", McLaren 720S GT3 Evo 2023, no,"0", "01:29.3870", "28.8820", "23.0450", "37.4600",     
"4 ", McLaren 720S GT3 Evo 2023, no,"0", "01:29.2170", "28.8470", "22.9920", "37.3770",     
"5 ", McLaren 720S GT3 Evo 2023, no,"0", "01:29.0120", "28.7450", "22.9520", "37.3150",     
"6 ", McLaren 720S GT3 Evo 2023, no,"0", "01:29.0400", "28.6950", "23.0320", "37.3120",     
"7 ", McLaren 720S GT3 Evo 2023, no,"0", "01:30.3950", "29.1470", "22.9850", "38.2620",     
"8 ", McLaren 720S GT3 Evo 2023, no,"0", "01:28.7420", "28.6600", "22.8870", "37.1950",     
"9 ", McLaren 720S GT3 Evo 2023, no,"0", "01:28.7570", "28.6650", "22.7970", "37.2950",     
"10 ", McLaren 720S GT3 Evo 2023, no,"0", "01:28.8350", "28.6820", "22.8350", "37.3170",     
"11 ", McLaren 720S GT3 Evo 2023, no,"0", "01:29.0200", "28.7270", "22.9370", "37.3550",     
"12 ", McLaren 720S GT3 Evo 2023, no,"0", "01:28.7920", "28.7470", "22.8150", "37.2300",     
"13 ", McLaren 720S GT3 Evo 2023, no,"0", "01:28.8400", "28.6450", "22.9220", "37.2720",     
"14 ", McLaren 720S GT3 Evo 2023, no,"0", "01:29.0850", "28.7820", "22.8750", "37.4270",     
"15 ", McLaren 720S GT3 Evo 2023, no,"0", "01:28.6650", "28.5700", "22.8370", "37.2570",     
"16 ", McLaren 720S GT3 Evo 2023, no,"0", "01:29.1370", "28.8100", "23.0470", "37.2800",     
"17 ", McLaren 720S GT3 Evo 2023, no,"0", "01:28.9250", "28.7170", "22.8720", "37.3350",     
"18 ", McLaren 720S GT3 Evo 2023, no,"0", "01:29.5570", "28.7570", "22.9500", "37.8500",     
"19 ", McLaren 720S GT3 Evo 2023, no,"0", "01:29.0820", "28.8300", "22.9100", "37.3420",     
"20 ", McLaren 720S GT3 Evo 2023, no,"0", "01:28.8020", "28.7420", "22.8470", "37.2120",     
"21 ", McLaren 720S GT3 Evo 2023, no,"0", "01:28.9050", "28.7200", "22.8220", "37.3620",     
"22 ", McLaren 720S GT3 Evo 2023, no,"0", "02:22.2050", "28.8270", "22.8600", "90.5170",     
"23 ", McLaren 720S GT3 Evo 2023, no,"0", "01:33.0020", "32.8620", "22.8050", "37.3350",     
"24 ", McLaren 720S GT3 Evo 2023, no,"0", "01:28.9570", "28.8270", "22.8070", "37.3220",     
"25 ", McLaren 720S GT3 Evo 2023, no,"0", "01:28.7200", "28.5850", "22.9920", "37.1420",     
"26 ", McLaren 720S GT3 Evo 2023, no,"0", "01:28.7150", "28.6870", "22.7920", "37.2350",     
"27 ", McLaren 720S GT3 Evo 2023, no,"0", "01:29.4900", "29.0100", "22.9550", "37.5250",     
"28 ", McLaren 720S GT3 Evo 2023, no,"0", "01:28.8170", "28.4550", "22.9000", "37.4620",     
"29 ", McLaren 720S GT3 Evo 2023, no,"0", "01:28.3150", "28.4800", "22.6750", "37.1600",     
"30 ", McLaren 720S GT3 Evo 2023, no,"0", "01:28.7350", "28.6570", "22.7670", "37.3100",     
"31 ", McLaren 720S GT3 Evo 2023, no,"0", "01:29.0620", "28.7700", "22.7520", "37.5400",     
"32 ", McLaren 720S GT3 Evo 2023, no,"0", "01:28.3500", "28.4920", "22.6850", "37.1720",     
"33 ", McLaren 720S GT3 Evo 2023, no,"0", "01:28.4270", "28.5120", "22.7720", "37.1420",     
"34 ", McLaren 720S GT3 Evo 2023, no,"0", "01:30.6870", "28.7000", "22.8520", "39.1350",     
"35 ", McLaren 720S GT3 Evo 2023, no,"0", "01:28.9300", "28.7500", "22.9100", "37.2700",     
"36 ", McLaren 720S GT3 Evo 2023, no,"0", "01:28.9400", "28.6270", "22.9820", "37.3300",     
"37 ", McLaren 720S GT3 Evo 2023, no,"0", "01:28.6950", "28.6720", "22.7550", "37.2670",     
"38 ", McLaren 720S GT3 Evo 2023, no,"0", "01:28.4820", "28.7150", "22.7750", "36.9920",     
"39 ", McLaren 720S GT3 Evo 2023, no,"0", "01:28.7550", "28.5950", "22.8570", "37.3020",     
"40 ", McLaren 720S GT3 Evo 2023, no,"0", "01:28.4500", "28.5170", "22.7670", "37.1650",   
