Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"George Boothby"
"1 ", Ferrari 296 GT3, no,"0", "01:36.7898", "34.5728", "23.5350", "38.6820",     
"2 ", Ferrari 296 GT3, no,"0", "01:30.0750", "29.1820", "23.1850", "37.7070",     
"3 ", Ferrari 296 GT3, no,"0", "01:29.3870", "28.9270", "23.1170", "37.3420",     
"4 ", Ferrari 296 GT3, no,"0", "01:29.8950", "28.9900", "23.1400", "37.7650",     
"5 ", Ferrari 296 GT3, no,"0", "01:29.8970", "29.0700", "23.3520", "37.4750",     
"6 ", Ferrari 296 GT3, no,"0", "01:29.5670", "28.8370", "23.0370", "37.6920",     
"7 ", Ferrari 296 GT3, no,"0", "01:29.2450", "28.8520", "22.9770", "37.4150",     
"8 ", Ferrari 296 GT3, no,"0", "01:29.2000", "28.7870", "23.0150", "37.3970",     
"9 ", Ferrari 296 GT3, no,"0", "01:29.4400", "28.7700", "23.0300", "37.6400",     
"10 ", Ferrari 296 GT3, no,"0", "01:29.7750", "28.7900", "22.9600", "38.0250",     
"11 ", Ferrari 296 GT3, no,"0", "01:29.4870", "29.0600", "23.1400", "37.2870",     
"12 ", Ferrari 296 GT3, no,"0", "02:19.1220", "29.0920", "22.9170", "87.1120",     
"13 ", Ferrari 296 GT3, no,"0", "01:33.0870", "32.6750", "22.9750", "37.4370",     
"14 ", Ferrari 296 GT3, no,"0", "01:29.1000", "28.7670", "23.0100", "37.3220",     
"15 ", Ferrari 296 GT3, no,"0", "01:29.1750", "28.7820", "22.8870", "37.5050",     
"16 ", Ferrari 296 GT3, no,"0", "01:28.9950", "28.7370", "22.8850", "37.3720",     
"17 ", Ferrari 296 GT3, no,"0", "01:28.9600", "28.7050", "22.9250", "37.3300",     
"18 ", Ferrari 296 GT3, no,"0", "01:28.8150", "28.6770", "22.8600", "37.2770",     
"19 ", Ferrari 296 GT3, no,"0", "01:29.1750", "28.9500", "22.9320", "37.2920",     
"20 ", Ferrari 296 GT3, no,"0", "01:29.1050", "28.7170", "22.9150", "37.4720",     
"21 ", Ferrari 296 GT3, no,"0", "01:29.3270", "29.0770", "22.8600", "37.3900",     
"22 ", Ferrari 296 GT3, no,"0", "01:29.3070", "28.9500", "22.9220", "37.4350",     
"23 ", Ferrari 296 GT3, no,"0", "01:29.3550", "28.9070", "23.0520", "37.3950",     
"24 ", Ferrari 296 GT3, no,"0", "01:29.2100", "28.9870", "22.8500", "37.3720",     
"25 ", Ferrari 296 GT3, no,"0", "01:29.0520", "28.7420", "22.9020", "37.4070",     
"26 ", Ferrari 296 GT3, no,"0", "01:29.1020", "28.7150", "23.0220", "37.3650",     
"27 ", Ferrari 296 GT3, no,"0", "01:29.2320", "28.8670", "22.9300", "37.4350",     
"28 ", Ferrari 296 GT3, no,"0", "01:29.4650", "29.0970", "23.0000", "37.3670",     
"29 ", Ferrari 296 GT3, no,"0", "01:29.2470", "28.9100", "22.8250", "37.5120",     
"30 ", Ferrari 296 GT3, no,"0", "01:29.0770", "28.7250", "22.9770", "37.3750",     
"31 ", Ferrari 296 GT3, no,"0", "01:29.3470", "29.0500", "22.8720", "37.4250",     
"32 ", Ferrari 296 GT3, no,"0", "01:30.0170", "29.5620", "23.2050", "37.2500",     
"33 ", Ferrari 296 GT3, no,"0", "01:29.0800", "28.6600", "22.9300", "37.4900",     
"34 ", Ferrari 296 GT3, no,"0", "01:29.1250", "28.8120", "22.9070", "37.4050",     
"35 ", Ferrari 296 GT3, no,"0", "01:29.0070", "28.8320", "22.8520", "37.3220",     
"36 ", Ferrari 296 GT3, no,"0", "01:29.2750", "28.8150", "22.9100", "37.5500",     
"37 ", Ferrari 296 GT3, no,"0", "01:29.1720", "28.7850", "22.8970", "37.4900",     
"38 ", Ferrari 296 GT3, no,"0", "01:29.3170", "28.9100", "23.0250", "37.3820",     
"39 ", Ferrari 296 GT3, no,"0", "01:29.2720", "28.8700", "23.0220", "37.3800",     
"40 ", Ferrari 296 GT3, no,"0", "01:29.3050", "29.0520", "22.9320", "37.3200",  
