Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"Vanko Dimitrov"
"1 ", Lamborghini Huracan Evo2 (GT3), no,"0", "01:35.4108", "34.5568", "23.2270", "37.6270",     
"2 ", Lamborghini Huracan Evo2 (GT3), no,"0", "01:29.9150", "29.1400", "23.0200", "37.7550",     
"3 ", Lamborghini Huracan Evo2 (GT3), no,"0", "01:29.6000", "29.0200", "23.0600", "37.5200",     
"4 ", Lamborghini Huracan Evo2 (GT3), no,"0", "01:30.0400", "29.4170", "22.9850", "37.6370",     
"5 ", Lamborghini Huracan Evo2 (GT3), no,"0", "01:29.2820", "29.0100", "23.0400", "37.2320",     
"6 ", Lamborghini Huracan Evo2 (GT3), no,"0", "01:29.1570", "28.8120", "23.1020", "37.2420",     
"7 ", Lamborghini Huracan Evo2 (GT3), no,"0", "01:28.9420", "28.7000", "22.8870", "37.3550",     
"8 ", Lamborghini Huracan Evo2 (GT3), no,"0", "01:28.9400", "28.6900", "22.9970", "37.2520",     
"9 ", Lamborghini Huracan Evo2 (GT3), no,"0", "01:28.7700", "28.7600", "22.8100", "37.2000",     
"10 ", Lamborghini Huracan Evo2 (GT3), no,"0", "01:28.6870", "28.6900", "22.8670", "37.1300",     
"11 ", Lamborghini Huracan Evo2 (GT3), no,"0", "01:28.9920", "28.7350", "22.9520", "37.3050",     
"12 ", Lamborghini Huracan Evo2 (GT3), no,"0", "01:29.6900", "28.9220", "23.0320", "37.7350",     
"13 ", Lamborghini Huracan Evo2 (GT3), no,"0", "01:29.2100", "28.8600", "23.0720", "37.2770",     
"14 ", Lamborghini Huracan Evo2 (GT3), no,"0", "01:29.5750", "29.1420", "23.0770", "37.3550",     
"15 ", Lamborghini Huracan Evo2 (GT3), no,"0", "01:29.0470", "28.8570", "22.9550", "37.2350",     
"16 ", Lamborghini Huracan Evo2 (GT3), no,"0", "01:28.9450", "28.7320", "23.0050", "37.2070",     
"17 ", Lamborghini Huracan Evo2 (GT3), no,"0", "01:29.2000", "28.7400", "23.0700", "37.3900",     
"18 ", Lamborghini Huracan Evo2 (GT3), no,"0", "01:29.0220", "28.9350", "22.8900", "37.1970",     
"19 ", Lamborghini Huracan Evo2 (GT3), no,"0", "01:28.9400", "28.7320", "22.9570", "37.2500",     
"20 ", Lamborghini Huracan Evo2 (GT3), no,"0", "02:19.4250", "28.9670", "22.9870", "87.4700",     
"21 ", Lamborghini Huracan Evo2 (GT3), no,"0", "01:33.2620", "33.2270", "22.9470", "37.0870",     
"22 ", Lamborghini Huracan Evo2 (GT3), no,"0", "01:28.7220", "28.7350", "22.8200", "37.1670",     
"23 ", Lamborghini Huracan Evo2 (GT3), no,"0", "01:28.8250", "28.7300", "22.9050", "37.1900",     
"24 ", Lamborghini Huracan Evo2 (GT3), no,"0", "01:28.9370", "28.7500", "22.9670", "37.2200",     
"25 ", Lamborghini Huracan Evo2 (GT3), no,"0", "01:28.5850", "28.6370", "22.8000", "37.1470",     
"26 ", Lamborghini Huracan Evo2 (GT3), no,"0", "01:28.7450", "28.7070", "22.8120", "37.2250",     
"27 ", Lamborghini Huracan Evo2 (GT3), no,"0", "01:29.1720", "28.7370", "22.9220", "37.5120",     
"28 ", Lamborghini Huracan Evo2 (GT3), no,"0", "01:28.8850", "28.7170", "23.1150", "37.0520",     
"29 ", Lamborghini Huracan Evo2 (GT3), no,"0", "01:28.5700", "28.5950", "22.8150", "37.1600",     
"30 ", Lamborghini Huracan Evo2 (GT3), no,"0", "01:29.0600", "28.9800", "22.8250", "37.2550",     
"31 ", Lamborghini Huracan Evo2 (GT3), no,"0", "01:28.5900", "28.7500", "22.7600", "37.0800",     
"32 ", Lamborghini Huracan Evo2 (GT3), no,"0", "01:28.7050", "28.6500", "22.7670", "37.2870",     
"33 ", Lamborghini Huracan Evo2 (GT3), no,"0", "01:28.5220", "28.6870", "22.8100", "37.0250",     
"34 ", Lamborghini Huracan Evo2 (GT3), no,"0", "01:32.5950", "28.7370", "23.0370", "40.8200",     
"35 ", Lamborghini Huracan Evo2 (GT3), no,"0", "01:28.8900", "28.6970", "23.0020", "37.1900",     
"36 ", Lamborghini Huracan Evo2 (GT3), no,"0", "01:29.0600", "28.9700", "22.8950", "37.1950",     
"37 ", Lamborghini Huracan Evo2 (GT3), no,"0", "01:28.7370", "28.6850", "22.9200", "37.1320",     
"38 ", Lamborghini Huracan Evo2 (GT3), no,"0", "01:30.2300", "28.7720", "22.8950", "38.5620",     
"39 ", Lamborghini Huracan Evo2 (GT3), no,"0", "01:29.1620", "28.9220", "22.8400", "37.4000",     
"40 ", Lamborghini Huracan Evo2 (GT3), no,"0", "01:28.7900", "28.8320", "22.8200", "37.1370",    
