Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"Geert Fischer"
"1 ", BMW M4 GT3, no,"0", "02:40.2708", "34.8288", "24.0770", "101.3650",     
"2 ", BMW M4 GT3, no,"0", "01:34.2400", "33.0870", "23.2020", "37.9500",     
"3 ", BMW M4 GT3, no,"0", "01:30.1600", "29.1020", "23.1450", "37.9120",     
"4 ", BMW M4 GT3, no,"0", "01:29.8850", "29.1370", "23.0820", "37.6650",     
"5 ", BMW M4 GT3, no,"0", "01:29.8170", "29.1520", "23.1820", "37.4820",     
"6 ", BMW M4 GT3, no,"0", "01:29.3350", "28.9300", "22.9420", "37.4620",     
"7 ", BMW M4 GT3, no,"0", "01:29.7900", "29.1700", "22.9920", "37.6270",     
"8 ", BMW M4 GT3, no,"0", "01:29.8520", "28.9900", "22.9770", "37.8850",     
"9 ", BMW M4 GT3, no,"0", "01:29.6900", "29.0420", "23.1520", "37.4950",     
"10 ", BMW M4 GT3, no,"0", "01:29.7170", "29.1320", "23.0470", "37.5370",     
"11 ", BMW M4 GT3, no,"0", "01:29.7470", "29.2120", "23.0550", "37.4800",     
"12 ", BMW M4 GT3, no,"0", "01:29.5820", "28.8070", "23.0220", "37.7520",     
"13 ", BMW M4 GT3, no,"0", "01:29.7600", "29.0870", "23.0450", "37.6270",     
"14 ", BMW M4 GT3, no,"0", "01:30.0470", "29.1150", "22.9550", "37.9770",     
"15 ", BMW M4 GT3, no,"0", "01:29.5000", "28.8500", "23.0670", "37.5820",     
"16 ", BMW M4 GT3, no,"0", "01:29.7820", "29.0570", "23.1350", "37.5900",     
"17 ", BMW M4 GT3, no,"0", "01:29.6870", "28.9650", "23.0920", "37.6300",     
"18 ", BMW M4 GT3, no,"0", "01:29.6520", "28.8600", "23.1700", "37.6220",     
"19 ", BMW M4 GT3, no,"0", "01:31.4220", "28.8000", "23.1670", "39.4550",     
"20 ", BMW M4 GT3, no,"0", "01:29.5970", "28.9020", "23.0670", "37.6270",     
"21 ", BMW M4 GT3, no,"0", "01:30.0620", "28.9820", "23.0950", "37.9850",     
"22 ", BMW M4 GT3, no,"0", "01:30.1520", "29.0200", "23.0470", "38.0850",     
"23 ", BMW M4 GT3, no,"0", "01:30.1650", "29.0870", "23.2500", "37.8270",     
"24 ", BMW M4 GT3, no,"0", "01:29.5150", "28.9350", "23.0250", "37.5550",     
"25 ", BMW M4 GT3, no,"0", "01:29.5720", "29.0450", "23.0520", "37.4750",     
"26 ", BMW M4 GT3, no,"0", "01:32.0500", "28.8200", "22.9870", "40.2420",     
"27 ", BMW M4 GT3, no,"0", "01:30.2470", "29.3550", "23.1100", "37.7820",     
"28 ", BMW M4 GT3, no,"0", "01:30.3070", "29.1800", "23.0320", "38.0950",     
"29 ", BMW M4 GT3, no,"0", "01:29.7700", "28.8550", "23.2050", "37.7100",     
"30 ", BMW M4 GT3, no,"0", "01:29.6850", "28.8820", "23.0400", "37.7620",     
"31 ", BMW M4 GT3, no,"0", "01:29.8670", "28.9200", "23.1100", "37.8370",     
"32 ", BMW M4 GT3, no,"0", "01:30.1650", "29.0550", "23.1370", "37.9720",     
"33 ", BMW M4 GT3, no,"0", "01:29.6320", "28.9070", "23.0520", "37.6720",     
"34 ", BMW M4 GT3, no,"0", "01:30.1850", "29.0550", "23.1870", "37.9420",     
"35 ", BMW M4 GT3, no,"0", "01:30.1500", "29.0920", "23.3620", "37.6950",     
"36 ", BMW M4 GT3, no,"0", "01:30.3650", "29.5020", "23.0500", "37.8120",     
"37 ", BMW M4 GT3, no,"0", "01:30.5500", "29.7650", "23.1050", "37.6800",     
"38 ", BMW M4 GT3, no,"0", "01:30.5450", "29.4050", "23.3270", "37.8120",     
"39 ", BMW M4 GT3, no,"0", "01:31.0050", "30.0170", "23.1500", "37.8370",     
"40 ", BMW M4 GT3, no,"0", "01:31.0820", "29.1550", "23.2220", "38.7050", 
