Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,    Cuts, 
"Black Gold Saw"
"1 ", Ferrari 296 GT3, no,"0", "01:38.3601", "27.0301", "36.3450", "34.9850",     "0 ",  
"2 ", Ferrari 296 GT3, no,"0", "01:27.2920", "20.3650", "33.9750", "32.9520",     "0 ",  
"3 ", Ferrari 296 GT3, no,"0", "01:28.1500", "20.2870", "34.0170", "33.8450",     "0 ",  
"4 ", Ferrari 296 GT3, no,"0", "01:26.9820", "20.3170", "34.0520", "32.6120",     "0 ",  
"5 ", Ferrari 296 GT3, no,"0", "01:26.4870", "20.1620", "33.7770", "32.5470",     "0 ",  
"6 ", Ferrari 296 GT3, no,"0", "01:26.6970", "20.1920", "33.7470", "32.7570",     "0 ",  
"7 ", Ferrari 296 GT3, no,"0", "01:26.4950", "20.1600", "33.7470", "32.5870",     "0 ",  
"8 ", Ferrari 296 GT3, no,"0", "01:26.8120", "20.1720", "33.8750", "32.7650",     "0 ",  
"9 ", Ferrari 296 GT3, no,"0", "01:26.4400", "20.1170", "33.5920", "32.7300",     "0 ",  
"10 ", Ferrari 296 GT3, no,"0", "01:26.9970", "20.0970", "33.9400", "32.9600",     "0 ",  
"11 ", Ferrari 296 GT3, no,"0", "01:26.9370", "20.2900", "33.9370", "32.7100",     "0 ",  
"12 ", Ferrari 296 GT3, no,"0", "01:35.7020", "25.2250", "33.9620", "36.5150",     "0 ",  
"13 ", Ferrari 296 GT3, no,"0", "02:16.6520", "70.1150", "33.8270", "32.7100",     "0 ",  
"14 ", Ferrari 296 GT3, no,"0", "01:26.3150", "20.1850", "33.5800", "32.5500",     "0 ",  
"15 ", Ferrari 296 GT3, no,"0", "01:26.2970", "20.0970", "33.5600", "32.6400",     "0 ",  
"16 ", Ferrari 296 GT3, no,"0", "01:26.5570", "20.0870", "33.5970", "32.8720",     "0 ",  
"17 ", Ferrari 296 GT3, no,"0", "01:26.6970", "20.0770", "33.8070", "32.8120",     "0 ",  
"18 ", Ferrari 296 GT3, no,"0", "01:26.6470", "20.1300", "33.7900", "32.7270",     "0 ",  
"19 ", Ferrari 296 GT3, no,"0", "01:26.4170", "20.1370", "33.6420", "32.6370",     "0 ",  
"20 ", Ferrari 296 GT3, no,"0", "01:26.4820", "20.0870", "33.5920", "32.8020",     "0 ",  
"21 ", Ferrari 296 GT3, no,"0", "01:26.2400", "20.0500", "33.6650", "32.5250",     "0 ",  
"22 ", Ferrari 296 GT3, no,"0", "01:26.6950", "20.1370", "33.7720", "32.7850",     "0 ",  
"23 ", Ferrari 296 GT3, no,"0", "01:26.5870", "20.0500", "33.7520", "32.7850",     "0 ",  
"24 ", Ferrari 296 GT3, no,"0", "01:26.6370", "20.0920", "33.6950", "32.8500",     "0 ",  
"25 ", Ferrari 296 GT3, no,"0", "01:26.6200", "20.2470", "33.6700", "32.7020",     "0 ",  
"26 ", Ferrari 296 GT3, no,"0", "01:26.6720", "20.0570", "33.8750", "32.7400",     "0 ",  
"27 ", Ferrari 296 GT3, no,"0", "01:26.5600", "20.0500", "33.8350", "32.6750",     "0 ",  
"28 ", Ferrari 296 GT3, no,"0", "01:26.5170", "20.1000", "33.6550", "32.7620",     "0 ",  
"29 ", Ferrari 296 GT3, no,"0", "01:26.9900", "20.1600", "33.6850", "33.1450",     "0 ",  
"30 ", Ferrari 296 GT3, no,"0", "01:26.9850", "20.1020", "33.7650", "33.1170",     "0 ",  
"31 ", Ferrari 296 GT3, no,"0", "01:26.7050", "20.1750", "33.8500", "32.6800",     "0 ",  
"32 ", Ferrari 296 GT3, no,"0", "01:27.0270", "20.1570", "33.8370", "33.0320",     "0 ",  
"33 ", Ferrari 296 GT3, no,"0", "01:26.7220", "20.1450", "33.6970", "32.8800",     "0 ",  
"34 ", Ferrari 296 GT3, no,"0", "01:27.2700", "20.1770", "33.7800", "33.3120",     "0 ",  
"35 ", Ferrari 296 GT3, no,"0", "01:29.1600", "20.4570", "34.5450", "34.1570",     "0 ",  
"36 ", Ferrari 296 GT3, no,"0", "01:31.3350", "20.6720", "35.6520", "35.0100",     "0 ",  
"37 ", Ferrari 296 GT3, no,"0", "01:33.3570", "20.9700", "36.5100", "35.8770",     "0 ",  
"38 ", Ferrari 296 GT3, no,"0", "01:38.7700", "21.3270", "37.2550", "40.1870",     "0 ",  
"39 ", Ferrari 296 GT3, no,"0", "01:50.0900", "36.2550", "37.4800", "36.3550",     "0 ",  
"40 ", Ferrari 296 GT3, no,"0", "01:34.8350", "21.4320", "37.6300", "35.7720",     "0 ",  
"41 ", Ferrari 296 GT3, no,"0", "01:34.9120", "21.6150", "37.1300", "36.1670",     "0 ",  
