Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"Krzysztof Maczkowski"
"1 ", Ferrari 296 GT3, no,"0", "02:28.7348", "34.6128", "24.1970", "89.9250",     
"2 ", Ferrari 296 GT3, no,"0", "01:33.9570", "33.2170", "23.1320", "37.6070",     
"3 ", Ferrari 296 GT3, no,"0", "01:30.2070", "29.1550", "23.2300", "37.8220",     
"4 ", Ferrari 296 GT3, no,"0", "01:29.4220", "29.0000", "23.0220", "37.4000",     
"5 ", Ferrari 296 GT3, no,"0", "01:29.4870", "28.8900", "23.0070", "37.5900",     
"6 ", Ferrari 296 GT3, no,"0", "01:29.2800", "28.8600", "22.9950", "37.4250",     
"7 ", Ferrari 296 GT3, no,"0", "01:29.0800", "28.6920", "22.9500", "37.4370",     
"8 ", Ferrari 296 GT3, no,"0", "01:29.3170", "28.7350", "23.1500", "37.4320",     
"9 ", Ferrari 296 GT3, no,"0", "01:29.0070", "28.6970", "22.9200", "37.3900",     
"10 ", Ferrari 296 GT3, no,"0", "01:29.0020", "28.7250", "22.9870", "37.2900",     
"11 ", Ferrari 296 GT3, no,"0", "01:29.1300", "28.8120", "22.9570", "37.3600",     
"12 ", Ferrari 296 GT3, no,"0", "01:29.3400", "28.6850", "23.1620", "37.4920",     
"13 ", Ferrari 296 GT3, no,"0", "01:29.5720", "28.6870", "22.9650", "37.9200",     
"14 ", Ferrari 296 GT3, no,"0", "01:29.5650", "28.8200", "23.0720", "37.6720",     
"15 ", Ferrari 296 GT3, no,"0", "01:29.1900", "28.7650", "22.9300", "37.4950",     
"16 ", Ferrari 296 GT3, no,"0", "01:29.2200", "28.8870", "22.8770", "37.4550",     
"17 ", Ferrari 296 GT3, no,"0", "01:29.2700", "28.8000", "22.9200", "37.5500",     
"18 ", Ferrari 296 GT3, no,"0", "01:29.2400", "28.6870", "22.9750", "37.5770",     
"19 ", Ferrari 296 GT3, no,"0", "01:29.9550", "29.2850", "23.1550", "37.5150",     
"20 ", Ferrari 296 GT3, no,"0", "01:29.4600", "28.8650", "22.9550", "37.6400",     
"21 ", Ferrari 296 GT3, no,"0", "01:29.3750", "28.8150", "23.0100", "37.5500",     
"22 ", Ferrari 296 GT3, no,"0", "01:29.7520", "29.0270", "23.1000", "37.6250",     
"23 ", Ferrari 296 GT3, no,"0", "01:29.1050", "28.6820", "22.9870", "37.4350",     
"24 ", Ferrari 296 GT3, no,"0", "01:29.5870", "28.9500", "23.1420", "37.4950",     
"25 ", Ferrari 296 GT3, no,"0", "01:30.1800", "29.3900", "23.1020", "37.6870",     
"26 ", Ferrari 296 GT3, no,"0", "01:29.5150", "28.8150", "23.0800", "37.6200",     
"27 ", Ferrari 296 GT3, no,"0", "01:29.2700", "28.7850", "22.9670", "37.5170",     
"28 ", Ferrari 296 GT3, no,"0", "01:28.9520", "28.7800", "22.9200", "37.2520",     
"29 ", Ferrari 296 GT3, no,"0", "01:29.3550", "28.8370", "23.0000", "37.5170",     
"30 ", Ferrari 296 GT3, no,"0", "01:29.1820", "28.7720", "22.9220", "37.4870",     
"31 ", Ferrari 296 GT3, no,"0", "01:29.2020", "28.8420", "22.9470", "37.4120",     
"32 ", Ferrari 296 GT3, no,"0", "01:29.6250", "29.1070", "22.9950", "37.5220",     
"33 ", Ferrari 296 GT3, no,"0", "01:29.2700", "28.8520", "22.9200", "37.4970",     
"34 ", Ferrari 296 GT3, no,"0", "01:29.3320", "28.6220", "22.9870", "37.7220",     
"35 ", Ferrari 296 GT3, no,"0", "01:29.4400", "28.7600", "22.9770", "37.7020",     
"36 ", Ferrari 296 GT3, no,"0", "01:29.3070", "28.8300", "22.9850", "37.4920",     
"37 ", Ferrari 296 GT3, no,"0", "01:29.5100", "28.7600", "23.0620", "37.6870",     
"38 ", Ferrari 296 GT3, no,"0", "01:29.4920", "28.9150", "22.9520", "37.6250",     
"39 ", Ferrari 296 GT3, no,"0", "01:29.3920", "28.7270", "22.9800", "37.6850",     
"40 ", Ferrari 296 GT3, no,"0", "01:29.3570", "28.8220", "23.0450", "37.4900",   
