Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,    Cuts, 
"Jaroslav Honzik"
"1 ", McLaren 720S GT3 Evo 2023, no,"0", "01:52.9833", "39.0863", "38.9020", "34.9950",     "0 ",  
"2 ", McLaren 720S GT3 Evo 2023, no,"0", "01:47.1570", "33.9750", "38.5570", "34.6250",     "0 ",  
"3 ", McLaren 720S GT3 Evo 2023, no,"0", "01:46.3800", "33.6350", "38.2320", "34.5120",     "0 ",  
"4 ", McLaren 720S GT3 Evo 2023, no,"0", "01:46.4500", "33.7700", "38.2170", "34.4620",     "0 ",  
"5 ", McLaren 720S GT3 Evo 2023, no,"0", "01:46.2320", "33.7120", "38.2170", "34.3020",     "0 ",  
"6 ", McLaren 720S GT3 Evo 2023, no,"0", "01:49.1770", "33.5220", "40.3170", "35.3370",     "0 ",  
"7 ", McLaren 720S GT3 Evo 2023, no,"0", "01:46.4100", "33.6900", "38.3250", "34.3950",     "0 ",  
"8 ", McLaren 720S GT3 Evo 2023, no,"0", "01:46.1950", "33.6550", "38.1950", "34.3450",     "0 ",  
"9 ", McLaren 720S GT3 Evo 2023, no,"0", "01:46.2920", "33.5770", "38.1300", "34.5850",     "0 ",  
"10 ", McLaren 720S GT3 Evo 2023, no,"0", "01:46.5370", "33.6700", "38.2820", "34.5850",     "0 ",  
"11 ", McLaren 720S GT3 Evo 2023, no,"0", "01:46.4700", "33.7350", "38.2850", "34.4500",     "0 ",  
"12 ", McLaren 720S GT3 Evo 2023, no,"0", "02:34.1220", "33.7570", "38.3570", "82.0070",     "0 ",  
"13 ", McLaren 720S GT3 Evo 2023, no,"0", "01:51.6350", "39.1400", "38.1600", "34.3350",     "0 ",  
"14 ", McLaren 720S GT3 Evo 2023, no,"0", "01:46.0420", "33.6320", "38.1050", "34.3050",     "0 ",  
"15 ", McLaren 720S GT3 Evo 2023, no,"0", "01:45.8870", "33.5520", "38.0520", "34.2820",     "0 ",  
"16 ", McLaren 720S GT3 Evo 2023, no,"0", "01:45.7850", "33.5370", "37.9350", "34.3120",     "0 ",  
"17 ", McLaren 720S GT3 Evo 2023, no,"0", "01:46.0120", "33.5900", "38.0670", "34.3550",     "0 ",  
"18 ", McLaren 720S GT3 Evo 2023, no,"0", "01:47.8470", "33.5770", "38.0300", "36.2400",     "0 ",  
"19 ", McLaren 720S GT3 Evo 2023, no,"0", "01:45.9800", "33.5350", "38.0950", "34.3500",     "0 ",  
"20 ", McLaren 720S GT3 Evo 2023, no,"0", "01:46.0400", "33.6270", "38.0450", "34.3670",     "0 ",  
"21 ", McLaren 720S GT3 Evo 2023, no,"0", "01:45.8250", "33.5000", "38.1250", "34.2000",     "0 ",  
"22 ", McLaren 720S GT3 Evo 2023, no,"0", "01:46.3300", "33.4950", "38.2300", "34.6050",     "0 ",  
"23 ", McLaren 720S GT3 Evo 2023, no,"0", "01:46.2300", "33.5170", "38.1700", "34.5420",     "0 ",  
"24 ", McLaren 720S GT3 Evo 2023, no,"0", "01:46.3000", "33.7020", "38.2220", "34.3750",     "0 ",  
"25 ", McLaren 720S GT3 Evo 2023, no,"0", "01:46.6600", "33.8450", "38.2000", "34.6150",     "0 ",  
"26 ", McLaren 720S GT3 Evo 2023, no,"0", "01:46.1570", "33.6500", "38.1650", "34.3420",     "0 ",  
"27 ", McLaren 720S GT3 Evo 2023, no,"0", "01:46.4700", "33.5750", "38.3350", "34.5600",     "0 ",  
"28 ", McLaren 720S GT3 Evo 2023, no,"0", "01:46.2520", "33.5670", "38.2750", "34.4100",     "0 ",  
"29 ", McLaren 720S GT3 Evo 2023, no,"0", "01:46.3400", "33.6070", "38.2570", "34.4750",     "0 ",  
"30 ", McLaren 720S GT3 Evo 2023, no,"0", "01:46.9450", "33.8550", "38.1570", "34.9320",     "0 ",  
"31 ", McLaren 720S GT3 Evo 2023, no,"0", "01:46.3270", "33.6200", "38.2220", "34.4850",     "0 ",  
"32 ", McLaren 720S GT3 Evo 2023, no,"0", "01:46.3320", "33.6650", "38.1850", "34.4820",     "0 ",  
"33 ", McLaren 720S GT3 Evo 2023, no,"0", "01:46.6100", "33.8620", "38.2550", "34.4920",     "0 ",  
"34 ", McLaren 720S GT3 Evo 2023, no,"0", "01:46.7720", "33.7700", "38.2020", "34.8000",     "0 ",  
