Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,    Cuts, 
"Jimmy Holm"
"1 ", Ferrari 296 GT3, no,"0", "01:55.8166", "39.2596", "39.5000", "37.0570",     "0 ",  
"2 ", Ferrari 296 GT3, no,"0", "01:48.7470", "34.9870", "38.6970", "35.0620",     "0 ",  
"3 ", Ferrari 296 GT3, no,"0", "01:47.7370", "34.3670", "38.3670", "35.0020",     "0 ",  
"4 ", Ferrari 296 GT3, no,"0", "01:47.0200", "33.9770", "38.2550", "34.7870",     "0 ",  
"5 ", Ferrari 296 GT3, no,"0", "01:47.4570", "34.0520", "38.2320", "35.1720",     "0 ",  
"6 ", Ferrari 296 GT3, no,"0", "01:46.7950", "33.8970", "38.1050", "34.7920",     "0 ",  
"7 ", Ferrari 296 GT3, no,"0", "01:47.0770", "33.9150", "38.2420", "34.9200",     "0 ",  
"8 ", Ferrari 296 GT3, no,"0", "01:47.1850", "33.9670", "38.2750", "34.9420",     "0 ",  
"9 ", Ferrari 296 GT3, no,"0", "01:48.7900", "35.4970", "38.4420", "34.8500",     "0 ",  
"10 ", Ferrari 296 GT3, no,"0", "01:48.1970", "34.0200", "38.2750", "35.9020",     "0 ",  
"11 ", Ferrari 296 GT3, no,"0", "01:47.5170", "34.0270", "38.5270", "34.9620",     "0 ",  
"12 ", Ferrari 296 GT3, no,"0", "01:47.3670", "34.0870", "38.4120", "34.8670",     "0 ",  
"13 ", Ferrari 296 GT3, no,"0", "01:47.5150", "34.1020", "38.3120", "35.1000",     "0 ",  
"14 ", Ferrari 296 GT3, no,"0", "01:47.2070", "34.0550", "38.3350", "34.8170",     "0 ",  
"15 ", Ferrari 296 GT3, no,"0", "01:47.3450", "33.9600", "38.4670", "34.9170",     "0 ",  
"16 ", Ferrari 296 GT3, no,"0", "02:34.3870", "33.8520", "38.3850", "82.1500",     "0 ",  
"17 ", Ferrari 296 GT3, no,"0", "01:53.0270", "39.6400", "38.3370", "35.0500",     "0 ",  
"18 ", Ferrari 296 GT3, no,"0", "01:46.6970", "33.8270", "38.3600", "34.5100",     "0 ",  
"19 ", Ferrari 296 GT3, no,"0", "01:46.7320", "33.8720", "38.0920", "34.7670",     "0 ",  
"20 ", Ferrari 296 GT3, no,"0", "01:46.5150", "33.8650", "38.0550", "34.5950",     "0 ",  
"21 ", Ferrari 296 GT3, no,"0", "01:46.1170", "33.5900", "38.0150", "34.5120",     "0 ",  
"22 ", Ferrari 296 GT3, no,"0", "01:49.5200", "33.5950", "41.0420", "34.8820",     "0 ",  
"23 ", Ferrari 296 GT3, no,"0", "01:46.5650", "34.0670", "38.0520", "34.4450",     "0 ",  
"24 ", Ferrari 296 GT3, no,"0", "01:46.5200", "33.7250", "38.2900", "34.5050",     "0 ",  
"25 ", Ferrari 296 GT3, no,"0", "01:47.5200", "33.8820", "38.0520", "35.5850",     "0 ",  
"26 ", Ferrari 296 GT3, no,"0", "01:47.3570", "34.1470", "38.3650", "34.8450",     "0 ",  
"27 ", Ferrari 296 GT3, no,"0", "01:47.0270", "33.8620", "38.2350", "34.9300",     "0 ",  
"28 ", Ferrari 296 GT3, no,"0", "01:46.6370", "33.8970", "38.1600", "34.5800",     "0 ",  
"29 ", Ferrari 296 GT3, no,"0", "01:47.2270", "33.8770", "38.3500", "35.0000",     "0 ",  
"30 ", Ferrari 296 GT3, no,"0", "01:46.4270", "33.6750", "38.0500", "34.7020",     "0 ",  
"31 ", Ferrari 296 GT3, no,"0", "01:47.4320", "34.2900", "38.4050", "34.7370",     "0 ",  
"32 ", Ferrari 296 GT3, no,"0", "01:47.2470", "34.1670", "38.3000", "34.7800",     "0 ",  
"33 ", Ferrari 296 GT3, no,"0", "01:46.9070", "33.8820", "38.2220", "34.8020",     "0 ",  
"34 ", Ferrari 296 GT3, no,"0", "01:47.5920", "33.9650", "38.2620", "35.3650",     "0 ",  
