Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,    Cuts, 
"Ahmet Serdar Kargulu"
"1 ", Ferrari 296 GT3, no,"0", "01:55.1126", "39.3556", "39.4700", "36.2870",     "0 ",  
"2 ", Ferrari 296 GT3, no,"0", "01:47.5520", "34.1720", "38.4900", "34.8900",     "0 ",  
"3 ", Ferrari 296 GT3, no,"0", "01:47.5550", "34.3500", "38.2520", "34.9520",     "0 ",  
"4 ", Ferrari 296 GT3, no,"0", "01:47.6450", "33.8820", "38.2350", "35.5270",     "0 ",  
"5 ", Ferrari 296 GT3, no,"0", "01:47.1670", "34.0470", "38.3020", "34.8170",     "0 ",  
"6 ", Ferrari 296 GT3, no,"0", "01:47.5450", "33.8370", "38.2320", "35.4750",     "0 ",  
"7 ", Ferrari 296 GT3, no,"0", "01:47.0670", "34.0000", "38.3170", "34.7500",     "0 ",  
"8 ", Ferrari 296 GT3, no,"0", "01:46.8000", "33.8720", "38.1670", "34.7600",     "0 ",  
"9 ", Ferrari 296 GT3, no,"0", "01:47.1820", "34.0000", "38.2270", "34.9550",     "0 ",  
"10 ", Ferrari 296 GT3, no,"0", "01:47.2600", "33.9450", "38.4950", "34.8200",     "0 ",  
"11 ", Ferrari 296 GT3, no,"0", "01:47.0950", "33.8870", "38.4300", "34.7770",     "0 ",  
"12 ", Ferrari 296 GT3, no,"0", "01:47.1770", "33.9570", "38.2770", "34.9420",     "0 ",  
"13 ", Ferrari 296 GT3, no,"0", "01:47.2070", "33.9800", "38.3350", "34.8920",     "0 ",  
"14 ", Ferrari 296 GT3, no,"0", "01:47.8420", "33.9550", "38.4970", "35.3900",     "0 ",  
"15 ", Ferrari 296 GT3, no,"0", "01:47.7850", "34.0120", "38.5220", "35.2500",     "0 ",  
"16 ", Ferrari 296 GT3, no,"0", "02:36.1370", "33.9850", "38.4850", "83.6670",     "0 ",  
"17 ", Ferrari 296 GT3, no,"0", "02:06.5720", "39.7920", "38.4600", "48.3200",     "0 ",  
"18 ", Ferrari 296 GT3, no,"0", "01:58.7000", "39.5600", "38.2200", "40.9200",     "0 ",  
"19 ", Ferrari 296 GT3, no,"0", "01:47.2970", "33.9800", "38.3120", "35.0050",     "0 ",  
"20 ", Ferrari 296 GT3, no,"0", "01:46.6550", "33.7700", "38.1300", "34.7550",     "0 ",  
"21 ", Ferrari 296 GT3, no,"0", "01:46.9520", "33.9500", "38.4450", "34.5570",     "0 ",  
"22 ", Ferrari 296 GT3, no,"0", "01:47.5100", "34.0720", "38.4750", "34.9620",     "0 ",  
"23 ", Ferrari 296 GT3, no,"0", "01:47.0470", "34.0920", "38.1570", "34.7970",     "0 ",  
"24 ", Ferrari 296 GT3, no,"0", "01:46.6520", "33.7750", "38.2220", "34.6550",     "0 ",  
"25 ", Ferrari 296 GT3, no,"0", "01:46.7870", "33.7870", "38.2500", "34.7500",     "0 ",  
"26 ", Ferrari 296 GT3, no,"0", "01:46.6500", "33.8250", "38.0870", "34.7370",     "0 ",  
"27 ", Ferrari 296 GT3, no,"0", "01:46.9220", "34.0520", "38.1700", "34.7000",     "0 ",  
"28 ", Ferrari 296 GT3, no,"0", "01:46.8770", "33.6550", "38.4600", "34.7620",     "0 ",  
"29 ", Ferrari 296 GT3, no,"0", "01:46.9970", "33.9650", "38.2370", "34.7950",     "0 ",  
"30 ", Ferrari 296 GT3, no,"0", "01:46.7500", "33.9100", "38.2150", "34.6250",     "0 ",  
"31 ", Ferrari 296 GT3, no,"0", "01:47.1700", "33.8800", "38.5320", "34.7570",     "0 ",  
"32 ", Ferrari 296 GT3, no,"0", "01:49.3020", "35.0520", "38.9350", "35.3150",     "0 ",  
"33 ", Ferrari 296 GT3, no,"0", "01:49.5920", "34.4850", "39.3450", "35.7620",     "1  (0s e.t. <>  0s gain) ",  
"34 ", Ferrari 296 GT3, no,"0", "01:49.6170", "34.1070", "38.6920", "36.8170",     "0 ",  
