Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,    Cuts, 
"Luca Ziege"
"1 ", Porsche 992 GT3 R, no,"0", "01:56.1266", "39.3216", "39.7550", "37.0500",     "0 ",  
"2 ", Porsche 992 GT3 R, no,"0", "01:49.4820", "34.6600", "39.4650", "35.3570",     "0 ",  
"3 ", Porsche 992 GT3 R, no,"0", "01:48.1270", "34.2720", "38.5400", "35.3150",     "0 ",  
"4 ", Porsche 992 GT3 R, no,"0", "01:47.9850", "33.9170", "38.9620", "35.1050",     "0 ",  
"5 ", Porsche 992 GT3 R, no,"0", "01:48.1820", "33.8270", "38.7400", "35.6150",     "0 ",  
"6 ", Porsche 992 GT3 R, no,"0", "01:47.1500", "33.9120", "38.3050", "34.9320",     "0 ",  
"7 ", Porsche 992 GT3 R, no,"0", "01:48.2220", "34.0300", "38.6750", "35.5170",     "0 ",  
"8 ", Porsche 992 GT3 R, no,"0", "01:48.1870", "34.1900", "38.8220", "35.1750",     "0 ",  
"9 ", Porsche 992 GT3 R, no,"0", "01:48.1650", "34.2470", "38.7050", "35.2120",     "0 ",  
"10 ", Porsche 992 GT3 R, no,"0", "01:47.5850", "34.0800", "38.6320", "34.8720",     "0 ",  
"11 ", Porsche 992 GT3 R, no,"0", "01:47.4570", "34.0220", "38.6270", "34.8070",     "0 ",  
"12 ", Porsche 992 GT3 R, no,"0", "01:47.4700", "33.7670", "38.7120", "34.9900",     "0 ",  
"13 ", Porsche 992 GT3 R, no,"0", "01:47.6700", "34.0700", "38.5400", "35.0600",     "0 ",  
"14 ", Porsche 992 GT3 R, no,"0", "01:47.6150", "34.0520", "38.5150", "35.0470",     "0 ",  
"15 ", Porsche 992 GT3 R, no,"0", "01:47.6320", "33.9650", "38.5420", "35.1250",     "0 ",  
"16 ", Porsche 992 GT3 R, no,"0", "02:35.6350", "33.9850", "38.7900", "82.8600",     "0 ",  
"17 ", Porsche 992 GT3 R, no,"0", "01:52.8250", "39.6950", "38.3200", "34.8100",     "0 ",  
"18 ", Porsche 992 GT3 R, no,"0", "01:46.9050", "33.7970", "38.2270", "34.8800",     "0 ",  
"19 ", Porsche 992 GT3 R, no,"0", "01:47.5350", "34.1420", "38.5320", "34.8600",     "0 ",  
"20 ", Porsche 992 GT3 R, no,"0", "01:47.0400", "34.0050", "38.2570", "34.7770",     "0 ",  
"21 ", Porsche 992 GT3 R, no,"0", "01:47.0570", "33.9070", "38.2320", "34.9170",     "0 ",  
"22 ", Porsche 992 GT3 R, no,"0", "01:46.7470", "33.7370", "38.3820", "34.6270",     "0 ",  
"23 ", Porsche 992 GT3 R, no,"0", "01:46.7970", "33.8620", "38.2700", "34.6650",     "0 ",  
"24 ", Porsche 992 GT3 R, no,"0", "01:46.6720", "33.6570", "38.3470", "34.6670",     "0 ",  
"25 ", Porsche 992 GT3 R, no,"0", "01:54.8600", "36.6050", "39.4650", "38.7900",     "0 ",  
"26 ", Porsche 992 GT3 R, no,"0", "01:47.0250", "33.8050", "38.3300", "34.8900",     "0 ",  
"27 ", Porsche 992 GT3 R, no,"0", "01:47.4620", "34.1550", "38.4150", "34.8920",     "0 ",  
"28 ", Porsche 992 GT3 R, no,"0", "01:47.2350", "33.8000", "38.5720", "34.8620",     "0 ",  
"29 ", Porsche 992 GT3 R, no,"0", "01:47.4550", "33.7900", "38.3520", "35.3120",     "0 ",  
"30 ", Porsche 992 GT3 R, no,"0", "01:46.8870", "33.7350", "38.3620", "34.7900",     "0 ",  
"31 ", Porsche 992 GT3 R, no,"0", "01:46.9050", "33.7850", "38.3450", "34.7750",     "0 ",  
"32 ", Porsche 992 GT3 R, no,"0", "01:47.5350", "33.8820", "38.6870", "34.9650",     "0 ",  
"33 ", Porsche 992 GT3 R, no,"0", "01:47.9270", "34.3020", "38.6000", "35.0250",     "0 ",  
"34 ", Porsche 992 GT3 R, no,"0", "01:47.7750", "33.8600", "38.6500", "35.2650",     "0 ", 
