Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"Alessio Melis"
"1 ", Ferrari 296 GT3, no,"0", "01:39.4048", "34.7858", "24.4520", "40.1670",     
"2 ", Ferrari 296 GT3, no,"0", "01:31.2870", "29.5150", "23.7900", "37.9820",     
"3 ", Ferrari 296 GT3, no,"0", "01:29.9270", "29.1720", "23.0170", "37.7370",     
"4 ", Ferrari 296 GT3, no,"0", "01:29.9720", "29.0620", "23.1820", "37.7270",     
"5 ", Ferrari 296 GT3, no,"0", "01:29.6120", "29.0070", "23.0520", "37.5520",     
"6 ", Ferrari 296 GT3, no,"0", "01:30.1350", "28.9250", "23.1700", "38.0400",     
"7 ", Ferrari 296 GT3, no,"0", "01:29.6950", "29.0250", "23.0020", "37.6670",     
"8 ", Ferrari 296 GT3, no,"0", "01:29.9350", "29.0470", "23.0200", "37.8670",     
"9 ", Ferrari 296 GT3, no,"0", "01:30.1300", "28.8900", "23.0520", "38.1870",     
"10 ", Ferrari 296 GT3, no,"0", "01:29.9400", "28.9920", "23.1820", "37.7650",     
"11 ", Ferrari 296 GT3, no,"0", "01:30.0000", "29.0920", "23.1020", "37.8050",     
"12 ", Ferrari 296 GT3, no,"0", "01:29.7050", "28.9270", "23.0150", "37.7620",     
"13 ", Ferrari 296 GT3, no,"0", "01:30.2350", "29.2600", "23.1670", "37.8070",     
"14 ", Ferrari 296 GT3, no,"0", "02:20.1820", "28.9620", "23.3120", "87.9070",     
"15 ", Ferrari 296 GT3, no,"0", "01:36.4100", "35.4650", "23.2050", "37.7400",     
"16 ", Ferrari 296 GT3, no,"0", "01:29.8220", "29.0100", "23.0720", "37.7400",     
"17 ", Ferrari 296 GT3, no,"0", "01:29.8300", "29.1670", "23.0400", "37.6220",     
"18 ", Ferrari 296 GT3, no,"0", "01:29.6600", "28.9900", "23.0300", "37.6400",     
"19 ", Ferrari 296 GT3, no,"0", "01:29.8070", "29.1050", "23.0150", "37.6870",     
"20 ", Ferrari 296 GT3, no,"0", "01:30.8050", "30.0870", "23.0900", "37.6270",     
"21 ", Ferrari 296 GT3, no,"0", "01:31.8920", "30.0670", "23.2270", "38.5970",     
"22 ", Ferrari 296 GT3, no,"0", "01:29.7520", "29.1320", "23.0500", "37.5700",     
"23 ", Ferrari 296 GT3, no,"0", "01:29.8850", "29.0100", "23.0170", "37.8570",     
"24 ", Ferrari 296 GT3, no,"0", "01:29.5720", "28.9250", "23.1520", "37.4950",     
"25 ", Ferrari 296 GT3, no,"0", "01:29.9170", "29.1200", "23.0100", "37.7870",     
"26 ", Ferrari 296 GT3, no,"0", "01:29.9070", "29.0400", "22.9320", "37.9350",     
"27 ", Ferrari 296 GT3, no,"0", "01:29.7100", "28.9700", "23.0450", "37.6950",     
"28 ", Ferrari 296 GT3, no,"0", "01:29.6720", "28.9770", "22.9870", "37.7070",     
"29 ", Ferrari 296 GT3, no,"0", "01:30.3550", "29.0800", "23.2350", "38.0400",     
"30 ", Ferrari 296 GT3, no,"0", "01:29.8870", "29.1000", "23.0100", "37.7770",     
"31 ", Ferrari 296 GT3, no,"0", "01:29.5870", "28.8300", "22.8870", "37.8700",     
"32 ", Ferrari 296 GT3, no,"0", "01:29.3420", "28.8550", "22.9250", "37.5620",     
"33 ", Ferrari 296 GT3, no,"0", "01:29.8850", "28.9800", "23.0370", "37.8670",     
"34 ", Ferrari 296 GT3, no,"0", "01:29.6470", "28.8000", "23.1470", "37.7000",     
"35 ", Ferrari 296 GT3, no,"0", "01:29.2870", "28.8350", "22.8850", "37.5670",     
"36 ", Ferrari 296 GT3, no,"0", "01:29.4500", "28.9120", "22.9920", "37.5450",     
"37 ", Ferrari 296 GT3, no,"0", "01:29.6270", "28.8520", "23.0700", "37.7050",     
"38 ", Ferrari 296 GT3, no,"0", "01:29.3920", "28.9270", "23.0120", "37.4520",     
"39 ", Ferrari 296 GT3, no,"0", "01:29.6670", "29.0520", "23.0150", "37.6000",     
"40 ", Ferrari 296 GT3, no,"0", "01:29.3550", "28.7700", "22.8420", "37.7420",   
