Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,    Cuts, 
"Vojtěch Neuwirth"
"1 ", Aston Martin Vantage V8 2019 (GT3), no,"0", "01:54.8793", "39.1343", "40.2600", "35.4850",     "0 ",  
"2 ", Aston Martin Vantage V8 2019 (GT3), no,"0", "01:49.4870", "34.2970", "40.1650", "35.0250",     "0 ",  
"3 ", Aston Martin Vantage V8 2019 (GT3), no,"0", "01:47.0370", "33.9670", "38.2220", "34.8470",     "0 ",  
"4 ", Aston Martin Vantage V8 2019 (GT3), no,"0", "01:46.8050", "33.8800", "38.1300", "34.7950",     "0 ",  
"5 ", Aston Martin Vantage V8 2019 (GT3), no,"0", "01:46.4120", "33.6970", "38.0670", "34.6470",     "0 ",  
"6 ", Aston Martin Vantage V8 2019 (GT3), no,"0", "01:46.9570", "33.7650", "38.4200", "34.7720",     "0 ",  
"7 ", Aston Martin Vantage V8 2019 (GT3), no,"0", "01:47.4750", "34.3670", "38.2150", "34.8920",     "0 ",  
"8 ", Aston Martin Vantage V8 2019 (GT3), no,"0", "01:46.9070", "33.8570", "38.3050", "34.7450",     "0 ",  
"9 ", Aston Martin Vantage V8 2019 (GT3), no,"0", "01:46.4550", "33.6820", "37.9800", "34.7920",     "0 ",  
"10 ", Aston Martin Vantage V8 2019 (GT3), no,"0", "01:46.8920", "33.8470", "38.2570", "34.7870",     "0 ",  
"11 ", Aston Martin Vantage V8 2019 (GT3), no,"0", "01:46.8870", "33.7750", "38.2050", "34.9070",     "0 ",  
"12 ", Aston Martin Vantage V8 2019 (GT3), no,"0", "01:46.9070", "33.7800", "38.2170", "34.9100",     "0 ",  
"13 ", Aston Martin Vantage V8 2019 (GT3), no,"0", "01:47.2670", "34.0420", "38.3470", "34.8770",     "0 ",  
"14 ", Aston Martin Vantage V8 2019 (GT3), no,"0", "01:47.6120", "33.7400", "38.2350", "35.6370",     "0 ",  
"15 ", Aston Martin Vantage V8 2019 (GT3), no,"0", "01:47.2270", "33.8270", "38.2870", "35.1120",     "0 ",  
"16 ", Aston Martin Vantage V8 2019 (GT3), no,"0", "02:35.1020", "33.9700", "38.4900", "82.6420",     "0 ",  
"17 ", Aston Martin Vantage V8 2019 (GT3), no,"0", "01:52.6000", "39.6070", "38.1350", "34.8570",     "0 ",  
"18 ", Aston Martin Vantage V8 2019 (GT3), no,"0", "01:46.4870", "33.6700", "38.2270", "34.5900",     "0 ",  
"19 ", Aston Martin Vantage V8 2019 (GT3), no,"0", "01:46.2450", "33.6700", "38.0020", "34.5720",     "0 ",  
"20 ", Aston Martin Vantage V8 2019 (GT3), no,"0", "01:46.0850", "33.5420", "37.9020", "34.6400",     "0 ",  
"21 ", Aston Martin Vantage V8 2019 (GT3), no,"0", "01:46.2750", "33.6220", "38.0070", "34.6450",     "0 ",  
"22 ", Aston Martin Vantage V8 2019 (GT3), no,"0", "01:46.2920", "33.5250", "38.0500", "34.7170",     "0 ",  
"23 ", Aston Martin Vantage V8 2019 (GT3), no,"0", "01:46.3100", "33.5150", "38.1250", "34.6700",     "0 ",  
"24 ", Aston Martin Vantage V8 2019 (GT3), no,"0", "01:47.7570", "33.6200", "38.0950", "36.0420",     "0 ",  
"25 ", Aston Martin Vantage V8 2019 (GT3), no,"0", "01:46.1520", "33.4850", "37.9750", "34.6920",     "0 ",  
"26 ", Aston Martin Vantage V8 2019 (GT3), no,"0", "01:46.2220", "33.6120", "37.9900", "34.6200",     "0 ",  
"27 ", Aston Martin Vantage V8 2019 (GT3), no,"0", "01:46.3570", "33.5550", "38.0670", "34.7350",     "0 ",  
"28 ", Aston Martin Vantage V8 2019 (GT3), no,"0", "01:47.0050", "33.5700", "38.2250", "35.2100",     "0 ",  
"29 ", Aston Martin Vantage V8 2019 (GT3), no,"0", "01:46.5070", "33.5900", "38.0550", "34.8620",     "0 ",  
"30 ", Aston Martin Vantage V8 2019 (GT3), no,"0", "01:46.9570", "34.1700", "38.1120", "34.6750",     "0 ",  
"31 ", Aston Martin Vantage V8 2019 (GT3), no,"0", "01:46.9800", "33.7170", "38.3570", "34.9050",     "0 ",  
"32 ", Aston Martin Vantage V8 2019 (GT3), no,"0", "01:46.7070", "33.5650", "38.2150", "34.9270",     "0 ",  
"33 ", Aston Martin Vantage V8 2019 (GT3), no,"0", "01:47.1120", "33.8400", "38.3970", "34.8750",     "0 ",  
"34 ", Aston Martin Vantage V8 2019 (GT3), no,"0", "01:46.7700", "33.7600", "38.1470", "34.8620",     "0 ",  
