Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,    Cuts, 
"Hubert Szymański"
"1 ", McLaren 720S GT3 Evo 2023, no,"0", "01:35.7661", "26.8391", "35.7220", "33.2050",     "0 ",  
"2 ", McLaren 720S GT3 Evo 2023, no,"0", "01:28.1920", "20.5600", "34.1850", "33.4470",     "0 ",  
"3 ", McLaren 720S GT3 Evo 2023, no,"0", "01:27.7550", "20.5200", "34.3050", "32.9300",     "0 ",  
"4 ", McLaren 720S GT3 Evo 2023, no,"0", "01:27.1100", "20.4320", "33.9000", "32.7770",     "0 ",  
"5 ", McLaren 720S GT3 Evo 2023, no,"0", "01:26.8000", "20.2670", "33.8800", "32.6520",     "0 ",  
"6 ", McLaren 720S GT3 Evo 2023, no,"0", "01:26.9650", "20.2700", "33.8120", "32.8820",     "0 ",  
"7 ", McLaren 720S GT3 Evo 2023, no,"0", "01:27.1050", "20.3020", "33.8150", "32.9870",     "0 ",  
"8 ", McLaren 720S GT3 Evo 2023, no,"0", "01:26.9020", "20.2370", "33.8900", "32.7750",     "0 ",  
"9 ", McLaren 720S GT3 Evo 2023, no,"0", "01:27.0520", "20.3470", "33.7970", "32.9070",     "0 ",  
"10 ", McLaren 720S GT3 Evo 2023, no,"0", "01:26.8600", "20.2870", "33.7750", "32.7970",     "0 ",  
"11 ", McLaren 720S GT3 Evo 2023, no,"0", "01:26.9870", "20.3350", "33.8800", "32.7720",     "0 ",  
"12 ", McLaren 720S GT3 Evo 2023, no,"0", "01:27.0400", "20.2920", "34.0350", "32.7120",     "0 ",  
"13 ", McLaren 720S GT3 Evo 2023, no,"0", "01:27.0050", "20.2520", "33.9050", "32.8470",     "0 ",  
"14 ", McLaren 720S GT3 Evo 2023, no,"0", "01:27.3850", "20.2750", "33.8950", "33.2150",     "0 ",  
"15 ", McLaren 720S GT3 Evo 2023, no,"0", "01:27.0200", "20.3400", "33.8450", "32.8350",     "0 ",  
"16 ", McLaren 720S GT3 Evo 2023, no,"0", "01:26.9670", "20.2370", "33.8820", "32.8470",     "0 ",  
"17 ", McLaren 720S GT3 Evo 2023, no,"0", "01:27.1120", "20.2750", "33.9070", "32.9300",     "0 ",  
"18 ", McLaren 720S GT3 Evo 2023, no,"0", "01:27.0520", "20.3050", "33.9620", "32.7850",     "0 ",  
"19 ", McLaren 720S GT3 Evo 2023, no,"0", "01:26.9570", "20.2350", "33.8520", "32.8700",     "0 ",  
"20 ", McLaren 720S GT3 Evo 2023, no,"0", "01:27.1220", "20.4220", "33.7650", "32.9350",     "0 ",  
"21 ", McLaren 720S GT3 Evo 2023, no,"0", "01:27.2670", "20.2650", "33.8750", "33.1270",     "0 ",  
"22 ", McLaren 720S GT3 Evo 2023, no,"0", "01:27.4820", "20.2970", "34.1070", "33.0770",     "0 ",  
"23 ", McLaren 720S GT3 Evo 2023, no,"0", "01:27.3320", "20.2820", "34.0050", "33.0450",     "0 ",  
"24 ", McLaren 720S GT3 Evo 2023, no,"0", "01:27.2470", "20.2100", "34.0050", "33.0320",     "0 ",  
"25 ", McLaren 720S GT3 Evo 2023, no,"0", "01:27.4370", "20.2820", "34.0200", "33.1350",     "0 ",  
"26 ", McLaren 720S GT3 Evo 2023, no,"0", "01:27.1800", "20.3500", "33.9170", "32.9120",     "0 ",  
"27 ", McLaren 720S GT3 Evo 2023, no,"0", "01:27.5750", "20.2920", "34.0720", "33.2100",     "0 ",  
"28 ", McLaren 720S GT3 Evo 2023, no,"0", "01:27.1550", "20.2650", "33.9350", "32.9550",     "0 ",  
"29 ", McLaren 720S GT3 Evo 2023, no,"0", "01:27.2350", "20.2420", "33.9800", "33.0120",     "0 ",  
"30 ", McLaren 720S GT3 Evo 2023, no,"0", "01:27.4000", "20.2500", "33.8820", "33.2670",     "0 ",  
"31 ", McLaren 720S GT3 Evo 2023, no,"0", "01:27.7020", "20.3100", "34.1570", "33.2350",     "0 ",  
"32 ", McLaren 720S GT3 Evo 2023, no,"0", "01:27.2900", "20.2350", "34.0470", "33.0070",     "0 ",  
"33 ", McLaren 720S GT3 Evo 2023, no,"0", "01:27.2500", "20.3070", "33.9650", "32.9770",     "0 ",  
"34 ", McLaren 720S GT3 Evo 2023, no,"0", "01:27.6600", "20.2500", "33.9870", "33.4220",     "0 ",  
"35 ", McLaren 720S GT3 Evo 2023, no,"0", "01:32.0520", "20.4150", "34.2250", "37.4120",     "0 ",  
"36 ", McLaren 720S GT3 Evo 2023, no,"0", "02:20.8000", "70.2570", "35.9600", "34.5820",     "0 ",  
"37 ", McLaren 720S GT3 Evo 2023, no,"0", "01:31.6720", "21.0720", "36.1020", "34.4970",     "0 ",  
"38 ", McLaren 720S GT3 Evo 2023, no,"0", "01:31.3700", "20.9520", "35.7320", "34.6850",     "0 ",  
"39 ", McLaren 720S GT3 Evo 2023, no,"0", "01:31.8720", "21.0150", "36.3800", "34.4770",     "0 ",  
"40 ", McLaren 720S GT3 Evo 2023, no,"0", "01:31.9700", "21.0300", "36.0950", "34.8450",     "0 ",  
"41 ", McLaren 720S GT3 Evo 2023, no,"0", "01:33.0970", "21.4720", "36.8070", "34.8170",     "0 ",  
