Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,     
"Luke Whitehead"
"1 ", Audi R8 LMS Evo2 2022 (GT3), no,"0", "01:38.1948", "34.5658", "23.3870", "40.2420",     
"2 ", Audi R8 LMS Evo2 2022 (GT3), no,"0", "02:20.3550", "29.1450", "23.1820", "88.0270",     
"3 ", Audi R8 LMS Evo2 2022 (GT3), no,"0", "01:33.5420", "33.0820", "22.9370", "37.5220",     
"4 ", Audi R8 LMS Evo2 2022 (GT3), no,"0", "01:29.1250", "28.9400", "22.8750", "37.3100",     
"5 ", Audi R8 LMS Evo2 2022 (GT3), no,"0", "01:29.3120", "28.9150", "22.9220", "37.4750",     
"6 ", Audi R8 LMS Evo2 2022 (GT3), no,"0", "01:28.8370", "28.7820", "22.8250", "37.2300",     
"7 ", Audi R8 LMS Evo2 2022 (GT3), no,"0", "01:29.0050", "28.7420", "22.8520", "37.4100",     
"8 ", Audi R8 LMS Evo2 2022 (GT3), no,"0", "01:29.2050", "28.6670", "22.8770", "37.6600",     
"9 ", Audi R8 LMS Evo2 2022 (GT3), no,"0", "01:28.8820", "28.7200", "22.8350", "37.3270",     
"10 ", Audi R8 LMS Evo2 2022 (GT3), no,"0", "01:29.1720", "28.7900", "23.0370", "37.3450",     
"11 ", Audi R8 LMS Evo2 2022 (GT3), no,"0", "01:28.9400", "28.8100", "22.8420", "37.2870",     
"12 ", Audi R8 LMS Evo2 2022 (GT3), no,"0", "01:29.6200", "29.3120", "22.8150", "37.4920",     
"13 ", Audi R8 LMS Evo2 2022 (GT3), no,"0", "01:30.1270", "28.8270", "23.0120", "38.2870",     
"14 ", Audi R8 LMS Evo2 2022 (GT3), no,"0", "01:29.0570", "28.7920", "22.8850", "37.3800",     
"15 ", Audi R8 LMS Evo2 2022 (GT3), no,"0", "01:29.0770", "28.7750", "22.8720", "37.4300",     
"16 ", Audi R8 LMS Evo2 2022 (GT3), no,"0", "01:29.1170", "28.7070", "22.9100", "37.5000",     
"17 ", Audi R8 LMS Evo2 2022 (GT3), no,"0", "01:29.0200", "28.7950", "22.9020", "37.3220",     
"18 ", Audi R8 LMS Evo2 2022 (GT3), no,"0", "01:28.8100", "28.6520", "22.8670", "37.2900",     
"19 ", Audi R8 LMS Evo2 2022 (GT3), no,"0", "01:29.1150", "28.8250", "22.8750", "37.4150",     
"20 ", Audi R8 LMS Evo2 2022 (GT3), no,"0", "01:29.1750", "28.8970", "22.9000", "37.3770",     
"21 ", Audi R8 LMS Evo2 2022 (GT3), no,"0", "01:30.1270", "29.7870", "22.9420", "37.3970",     
"22 ", Audi R8 LMS Evo2 2022 (GT3), no,"0", "01:29.3570", "28.8620", "22.8850", "37.6100",     
"23 ", Audi R8 LMS Evo2 2022 (GT3), no,"0", "01:29.2950", "28.8750", "22.8750", "37.5450",     
"24 ", Audi R8 LMS Evo2 2022 (GT3), no,"0", "01:29.1750", "28.7800", "22.8800", "37.5150",     
"25 ", Audi R8 LMS Evo2 2022 (GT3), no,"0", "01:29.0500", "28.7550", "22.8550", "37.4400",     
"26 ", Audi R8 LMS Evo2 2022 (GT3), no,"0", "01:29.0120", "28.8120", "22.8900", "37.3100",     
"27 ", Audi R8 LMS Evo2 2022 (GT3), no,"0", "01:29.2720", "28.9050", "22.9370", "37.4300",     
"28 ", Audi R8 LMS Evo2 2022 (GT3), no,"0", "01:29.5550", "29.2070", "22.8820", "37.4650",     
"29 ", Audi R8 LMS Evo2 2022 (GT3), no,"0", "01:29.1050", "28.7950", "22.9520", "37.3570",     
"30 ", Audi R8 LMS Evo2 2022 (GT3), no,"0", "01:29.2350", "28.7900", "22.9770", "37.4670",     
"31 ", Audi R8 LMS Evo2 2022 (GT3), no,"0", "01:29.5400", "28.9120", "22.9450", "37.6820",     
"32 ", Audi R8 LMS Evo2 2022 (GT3), no,"0", "01:29.3850", "29.0620", "22.9020", "37.4200",     
"33 ", Audi R8 LMS Evo2 2022 (GT3), no,"0", "01:29.3770", "28.8500", "23.0900", "37.4370",     
"34 ", Audi R8 LMS Evo2 2022 (GT3), no,"0", "01:29.1700", "28.8420", "22.8700", "37.4570",     
"35 ", Audi R8 LMS Evo2 2022 (GT3), no,"0", "01:29.0420", "28.8220", "22.8970", "37.3220",     
"36 ", Audi R8 LMS Evo2 2022 (GT3), no,"0", "01:29.1700", "28.8220", "22.9150", "37.4320",     
"37 ", Audi R8 LMS Evo2 2022 (GT3), no,"0", "01:29.2250", "28.8470", "22.9650", "37.4120",     
"38 ", Audi R8 LMS Evo2 2022 (GT3), no,"0", "01:29.4000", "29.0220", "23.0000", "37.3770",     
"39 ", Audi R8 LMS Evo2 2022 (GT3), no,"0", "01:29.2670", "28.8270", "22.9600", "37.4800",     
"40 ", Audi R8 LMS Evo2 2022 (GT3), no,"0", "01:29.2620", "29.0200", "22.8620", "37.3800",     
