"Lap","laptime","driver"
"6","1:30.608","Samir Foch"
"7","1:29.591","Samir Foch"
"8","1:29.517","Samir Foch"
"9","1:29.437","Samir Foch"
"10","1:29.422","Samir Foch"
"11","1:29.574","Samir Foch"
"12","1:29.764","Samir Foch"
"13","1:29.795","Samir Foch"
"14","1:29.821","Samir Foch"
"15","1:29.876","Samir Foch"
"16","1:29.814","Samir Foch"
"17","1:29.698","Samir Foch"
"18","1:29.712","Samir Foch"
"19","1:29.711","Samir Foch"
"20","1:29.675","Samir Foch"
"21","1:29.645","Samir Foch"
"22","1:29.737","Samir Foch"
"23","1:29.815","Samir Foch"
"24","1:29.766","Samir Foch"
"25","1:29.787","Samir Foch"
"26","1:29.807","Samir Foch"
"27","1:29.739","Samir Foch"
"28","1:29.733","Samir Foch"
"29","1:29.802","Samir Foch"
"30","1:29.772","Samir Foch"
"31","1:29.759","Samir Foch"
"32","1:29.67","Samir Foch"
"33","1:29.595","Samir Foch"
"34","1:29.66","Samir Foch"
"35","1:29.681","Samir Foch"
"36","1:29.58","Samir Foch"
"37","1:29.623","Samir Foch"
"38","1:29.77","Samir Foch"
