"Lap", "laptime", "driver"
"0", "", "Joshua Allan"
"1", "1:46.5120", "Joshua Allan"
"2", "1:46.3298", "Joshua Allan"
"3", "1:46.3278", "Joshua Allan"
"4", "1:46.2328", "Joshua Allan"
"5", "1:46.2018", "Joshua Allan"
"6", "1:46.2238", "Joshua Allan"
"7", "1:46.2638", "Joshua Allan"
"8", "1:46.2662", "Joshua Allan"
"9", "1:46.3408", "Joshua Allan"
"10", "1:46.4034", "Joshua Allan"
"11", "1:46.4708", "Joshua Allan"
"12", "1:46.4868", "Joshua Allan"
"13", "1:46.5255", "Joshua Allan"
"14", "1:46.5290", "Joshua Allan"
"15", "", "Joshua Allan"
"16", "", "Joshua Allan"
"17", "1:45.7587", "Joshua Allan"
"18", "1:45.7007", "Joshua Allan"
"19", "1:45.6746", "Joshua Allan"
"20", "1:45.6746", "Joshua Allan"
"21", "1:45.6202", "Joshua Allan"
"22", "1:45.6212", "Joshua Allan"
"23", "1:45.6718", "Joshua Allan"
"24", "1:45.7402", "Joshua Allan"
"25", "1:45.7738", "Joshua Allan"
"26", "1:45.8552", "Joshua Allan"
"27", "1:45.9412", "Joshua Allan"
"28", "1:46.0242", "Joshua Allan"
"29", "1:46.0738", "Joshua Allan"
"30", "1:46.1218", "Joshua Allan"
"31", "1:46.2114", "Joshua Allan"
"32", "1:46.2463", "Joshua Allan"
"33", "1:46.2633", "Joshua Allan"
