"Lap", "laptime", "driver"
"0", "", "Valentin Barrier"
"1", "1:46.7985", "Valentin Barrier"
"2", "1:46.5523", "Valentin Barrier"
"3", "1:46.6692", "Valentin Barrier"
"4", "1:46.7966", "Valentin Barrier"
"5", "1:46.7292", "Valentin Barrier"
"6", "1:46.6926", "Valentin Barrier"
"7", "1:46.7242", "Valentin Barrier"
"8", "1:46.5388", "Valentin Barrier"
"9", "1:46.2480", "Valentin Barrier"
"10", "1:46.2657", "Valentin Barrier"
"11", "", "Valentin Barrier"
"12", "", "Valentin Barrier"
"13", "1:45.7640", "Valentin Barrier"
"14", "1:45.7155", "Valentin Barrier"
"15", "1:45.6408", "Valentin Barrier"
"16", "1:45.5848", "Valentin Barrier"
"17", "1:45.5918", "Valentin Barrier"
"18", "1:45.7432", "Valentin Barrier"
"19", "1:45.8206", "Valentin Barrier"
"20", "1:45.9302", "Valentin Barrier"
"21", "1:45.9362", "Valentin Barrier"
"22", "1:46.0218", "Valentin Barrier"
"23", "1:45.9524", "Valentin Barrier"
"24", "1:45.9704", "Valentin Barrier"
"25", "1:46.0014", "Valentin Barrier"
"26", "1:46.0864", "Valentin Barrier"
"27", "1:46.0538", "Valentin Barrier"
"28", "1:46.1428", "Valentin Barrier"
"29", "1:46.2338", "Valentin Barrier"
"30", "1:46.2872", "Valentin Barrier"
"31", "1:46.2756", "Valentin Barrier"
"32", "1:46.3365", "Valentin Barrier"
"33", "1:46.3253", "Valentin Barrier"
