"Lap", "laptime", "driver"
"0", "", "George Boothby"
"1", "1:29.7310", "George Boothby"
"2", "1:29.8135", "George Boothby"
"3", "1:29.7642", "George Boothby"
"4", "1:29.5982", "George Boothby"
"5", "1:29.5608", "George Boothby"
"6", "1:29.4698", "George Boothby"
"7", "1:29.4454", "George Boothby"
"8", "1:29.4294", "George Boothby"
"9", "1:29.4755", "George Boothby"
"10", "1:29.5673", "George Boothby"
"11", "", "George Boothby"
"12", "", "George Boothby"
"13", "1:29.0900", "George Boothby"
"14", "1:29.0575", "George Boothby"
"15", "1:29.0090", "George Boothby"
"16", "1:29.0240", "George Boothby"
"17", "1:29.0100", "George Boothby"
"18", "1:29.0764", "George Boothby"
"19", "1:29.1458", "George Boothby"
"20", "1:29.2538", "George Boothby"
"21", "1:29.2608", "George Boothby"
"22", "1:29.2502", "George Boothby"
"23", "1:29.2052", "George Boothby"
"24", "1:29.1902", "George Boothby"
"25", "1:29.2122", "George Boothby"
"26", "1:29.2196", "George Boothby"
"27", "1:29.2246", "George Boothby"
"28", "1:29.2736", "George Boothby"
"29", "1:29.4306", "George Boothby"
"30", "1:29.3536", "George Boothby"
"31", "1:29.3292", "George Boothby"
"32", "1:29.3152", "George Boothby"
"33", "1:29.3008", "George Boothby"
"34", "1:29.1318", "George Boothby"
"35", "1:29.1792", "George Boothby"
"36", "1:29.2086", "George Boothby"
"37", "1:29.2682", "George Boothby"
"38", "1:29.2665", "George Boothby"
"39", "1:29.2980", "George Boothby"
