"Lap", "laptime", "driver"
"0", "", "Vanko Dimitrov"
"1", "1:29.7575", "Vanko Dimitrov"
"2", "1:29.7092", "Vanko Dimitrov"
"3", "1:29.5988", "Vanko Dimitrov"
"4", "1:29.4042", "Vanko Dimitrov"
"5", "1:29.2722", "Vanko Dimitrov"
"6", "1:29.0182", "Vanko Dimitrov"
"7", "1:28.8992", "Vanko Dimitrov"
"8", "1:28.8662", "Vanko Dimitrov"
"9", "1:29.0158", "Vanko Dimitrov"
"10", "1:29.0698", "Vanko Dimitrov"
"11", "1:29.2308", "Vanko Dimitrov"
"12", "1:29.3028", "Vanko Dimitrov"
"13", "1:29.2934", "Vanko Dimitrov"
"14", "1:29.1954", "Vanko Dimitrov"
"15", "1:29.1578", "Vanko Dimitrov"
"16", "1:29.0308", "Vanko Dimitrov"
"17", "1:29.0267", "Vanko Dimitrov"
"18", "1:29.0540", "Vanko Dimitrov"
"19", "", "Vanko Dimitrov"
"20", "", "Vanko Dimitrov"
"21", "1:28.8280", "Vanko Dimitrov"
"22", "1:28.7673", "Vanko Dimitrov"
"23", "1:28.7628", "Vanko Dimitrov"
"24", "1:28.8528", "Vanko Dimitrov"
"25", "1:28.8648", "Vanko Dimitrov"
"26", "1:28.7914", "Vanko Dimitrov"
"27", "1:28.8864", "Vanko Dimitrov"
"28", "1:28.8554", "Vanko Dimitrov"
"29", "1:28.7620", "Vanko Dimitrov"
"30", "1:28.6894", "Vanko Dimitrov"
"31", "1:28.7193", "Vanko Dimitrov"
"32", "1:28.6767", "Vanko Dimitrov"
"33", "", "Vanko Dimitrov"
"34", "1:28.8022", "Vanko Dimitrov"
"35", "1:29.2293", "Vanko Dimitrov"
"36", "1:29.2158", "Vanko Dimitrov"
"37", "1:29.1958", "Vanko Dimitrov"
"38", "1:29.2297", "Vanko Dimitrov"
"39", "1:29.3940", "Vanko Dimitrov"
