"Lap", "laptime", "driver"
"0", "", "Geert Fischer"
"1", "1:47.0975", "Geert Fischer"
"2", "1:46.6800", "Geert Fischer"
"3", "1:46.8584", "Geert Fischer"
"4", "1:46.8518", "Geert Fischer"
"5", "1:46.6022", "Geert Fischer"
"6", "1:46.6862", "Geert Fischer"
"7", "1:46.7496", "Geert Fischer"
"8", "1:46.5422", "Geert Fischer"
"9", "1:46.4547", "Geert Fischer"
"10", "1:46.5990", "Geert Fischer"
"11", "", "Geert Fischer"
"12", "", "Geert Fischer"
"13", "1:45.9063", "Geert Fischer"
"14", "1:45.8528", "Geert Fischer"
"15", "1:45.9212", "Geert Fischer"
"16", "1:45.8272", "Geert Fischer"
"17", "1:45.7916", "Geert Fischer"
"18", "1:45.8396", "Geert Fischer"
"19", "1:45.8476", "Geert Fischer"
"20", "1:45.8196", "Geert Fischer"
"21", "1:45.8626", "Geert Fischer"
"22", "1:45.9786", "Geert Fischer"
"23", "1:46.0826", "Geert Fischer"
"24", "1:46.2346", "Geert Fischer"
"25", "1:46.3880", "Geert Fischer"
"26", "1:46.4946", "Geert Fischer"
"27", "1:46.5440", "Geert Fischer"
"28", "1:46.7210", "Geert Fischer"
"29", "", "Geert Fischer"
"30", "1:46.7798", "Geert Fischer"
"31", "1:46.9360", "Geert Fischer"
"32", "1:46.9360", "Geert Fischer"
"33", "1:46.8947", "Geert Fischer"
