"Lap", "laptime", "driver"
"0", "", "Krzysztof Maczkowski"
"1", "1:47.3875", "Krzysztof Maczkowski"
"2", "1:47.0793", "Krzysztof Maczkowski"
"3", "1:46.9338", "Krzysztof Maczkowski"
"4", "1:46.6942", "Krzysztof Maczkowski"
"5", "1:46.5272", "Krzysztof Maczkowski"
"6", "1:46.4652", "Krzysztof Maczkowski"
"7", "1:46.3726", "Krzysztof Maczkowski"
"8", "1:46.5592", "Krzysztof Maczkowski"
"9", "1:46.5792", "Krzysztof Maczkowski"
"10", "1:46.6992", "Krzysztof Maczkowski"
"11", "1:46.8232", "Krzysztof Maczkowski"
"12", "1:46.8052", "Krzysztof Maczkowski"
"13", "1:46.6852", "Krzysztof Maczkowski"
"14", "1:46.7313", "Krzysztof Maczkowski"
"15", "", "Krzysztof Maczkowski"
"16", "", "Krzysztof Maczkowski"
"17", "1:46.8763", "Krzysztof Maczkowski"
"18", "1:46.7085", "Krzysztof Maczkowski"
"19", "1:46.8648", "Krzysztof Maczkowski"
"20", "1:46.9698", "Krzysztof Maczkowski"
"21", "1:46.8684", "Krzysztof Maczkowski"
"22", "1:46.5548", "Krzysztof Maczkowski"
"23", "1:46.5378", "Krzysztof Maczkowski"
"24", "1:46.3918", "Krzysztof Maczkowski"
"25", "1:46.2478", "Krzysztof Maczkowski"
"26", "1:46.3062", "Krzysztof Maczkowski"
"27", "1:46.4012", "Krzysztof Maczkowski"
"28", "1:46.5562", "Krzysztof Maczkowski"
"29", "1:46.5066", "Krzysztof Maczkowski"
"30", "1:46.5766", "Krzysztof Maczkowski"
"31", "1:46.6192", "Krzysztof Maczkowski"
"32", "1:46.5823", "Krzysztof Maczkowski"
"33", "1:46.4780", "Krzysztof Maczkowski"
