"Lap", "laptime", "driver"
"0", "", "Jaroslav Honzik"
"1", "1:29.1795", "Jaroslav Honzik"
"2", "1:29.1035", "Jaroslav Honzik"
"3", "1:29.0692", "Jaroslav Honzik"
"4", "1:28.9782", "Jaroslav Honzik"
"5", "1:28.9228", "Jaroslav Honzik"
"6", "1:28.9292", "Jaroslav Honzik"
"7", "1:28.9156", "Jaroslav Honzik"
"8", "1:28.8646", "Jaroslav Honzik"
"9", "1:28.8896", "Jaroslav Honzik"
"10", "1:28.9536", "Jaroslav Honzik"
"11", "1:29.0322", "Jaroslav Honzik"
"12", "1:29.0892", "Jaroslav Honzik"
"13", "1:29.2072", "Jaroslav Honzik"
"14", "1:29.2262", "Jaroslav Honzik"
"15", "1:29.1572", "Jaroslav Honzik"
"16", "1:29.0782", "Jaroslav Honzik"
"17", "1:29.0810", "Jaroslav Honzik"
"18", "1:29.0190", "Jaroslav Honzik"
"19", "", "Jaroslav Honzik"
"20", "", "Jaroslav Honzik"
"21", "1:28.9330", "Jaroslav Honzik"
"22", "1:28.8778", "Jaroslav Honzik"
"23", "1:28.8186", "Jaroslav Honzik"
"24", "1:28.8420", "Jaroslav Honzik"
"25", "1:28.7660", "Jaroslav Honzik"
"26", "1:28.8040", "Jaroslav Honzik"
"27", "1:28.8686", "Jaroslav Honzik"
"28", "1:28.8976", "Jaroslav Honzik"
"29", "1:28.8472", "Jaroslav Honzik"
"30", "1:28.8782", "Jaroslav Honzik"
"31", "1:28.8178", "Jaroslav Honzik"
"32", "1:28.7538", "Jaroslav Honzik"
"33", "1:28.6764", "Jaroslav Honzik"
"34", "1:28.6464", "Jaroslav Honzik"
"35", "1:28.6030", "Jaroslav Honzik"
"36", "1:28.6164", "Jaroslav Honzik"
"37", "1:28.5784", "Jaroslav Honzik"
"38", "1:28.6380", "Jaroslav Honzik"
"39", "1:28.6557", "Jaroslav Honzik"
