"Lap", "laptime", "driver"
"0", "", "Vojtěch Neuwirth"
"1", "", "Vojtěch Neuwirth"
"2", "", "Vojtěch Neuwirth"
"3", "1:29.7037", "Vojtěch Neuwirth"
"4", "1:29.7215", "Vojtěch Neuwirth"
"5", "1:29.6436", "Vojtěch Neuwirth"
"6", "1:29.5246", "Vojtěch Neuwirth"
"7", "1:29.5042", "Vojtěch Neuwirth"
"8", "1:29.4562", "Vojtěch Neuwirth"
"9", "1:29.3856", "Vojtěch Neuwirth"
"10", "1:29.5346", "Vojtěch Neuwirth"
"11", "1:29.5512", "Vojtěch Neuwirth"
"12", "1:29.5896", "Vojtěch Neuwirth"
"13", "1:29.5996", "Vojtěch Neuwirth"
"14", "1:29.6976", "Vojtěch Neuwirth"
"15", "1:29.6072", "Vojtěch Neuwirth"
"16", "1:29.6506", "Vojtěch Neuwirth"
"17", "1:29.8006", "Vojtěch Neuwirth"
"18", "1:29.8666", "Vojtěch Neuwirth"
"19", "1:29.8666", "Vojtěch Neuwirth"
"20", "1:29.8740", "Vojtěch Neuwirth"
"21", "1:29.9646", "Vojtěch Neuwirth"
"22", "1:29.7886", "Vojtěch Neuwirth"
"23", "1:29.7796", "Vojtěch Neuwirth"
"24", "1:29.8016", "Vojtěch Neuwirth"
"25", "1:29.7706", "Vojtěch Neuwirth"
"26", "1:29.7220", "Vojtěch Neuwirth"
"27", "1:29.7030", "Vojtěch Neuwirth"
"28", "1:29.7280", "Vojtěch Neuwirth"
"29", "1:29.6140", "Vojtěch Neuwirth"
"30", "1:29.5816", "Vojtěch Neuwirth"
"31", "1:29.4806", "Vojtěch Neuwirth"
"32", "1:29.5296", "Vojtěch Neuwirth"
"33", "1:29.4472", "Vojtěch Neuwirth"
"34", "1:29.3908", "Vojtěch Neuwirth"
"35", "1:29.4488", "Vojtěch Neuwirth"
"36", "1:29.4934", "Vojtěch Neuwirth"
"37", "1:29.5700", "Vojtěch Neuwirth"
"38", "1:29.5837", "Vojtěch Neuwirth"
"39", "1:29.7217", "Vojtěch Neuwirth"
