"Lap", "laptime", "driver"
"0", "", "Jeffrey Miguel Reno Richie"
"1", "", "Jeffrey Miguel Reno Richie"
"2", "1:46.6207", "Jeffrey Miguel Reno Richie"
"3", "1:46.7667", "Jeffrey Miguel Reno Richie"
"4", "1:46.7667", "Jeffrey Miguel Reno Richie"
"5", "1:46.7790", "Jeffrey Miguel Reno Richie"
"6", "", "Jeffrey Miguel Reno Richie"
"7", "", "Jeffrey Miguel Reno Richie"
"8", "1:46.2607", "Jeffrey Miguel Reno Richie"
"9", "1:46.1473", "Jeffrey Miguel Reno Richie"
"10", "1:46.1198", "Jeffrey Miguel Reno Richie"
"11", "1:46.0294", "Jeffrey Miguel Reno Richie"
"12", "1:46.0338", "Jeffrey Miguel Reno Richie"
"13", "1:46.1338", "Jeffrey Miguel Reno Richie"
"14", "1:46.2268", "Jeffrey Miguel Reno Richie"
"15", "1:46.3192", "Jeffrey Miguel Reno Richie"
"16", "1:46.4566", "Jeffrey Miguel Reno Richie"
"17", "1:46.7462", "Jeffrey Miguel Reno Richie"
"18", "1:46.6616", "Jeffrey Miguel Reno Richie"
"19", "1:46.9822", "Jeffrey Miguel Reno Richie"
"20", "1:46.9432", "Jeffrey Miguel Reno Richie"
"21", "1:46.8512", "Jeffrey Miguel Reno Richie"
"22", "1:46.5896", "Jeffrey Miguel Reno Richie"
"23", "1:46.5832", "Jeffrey Miguel Reno Richie"
"24", "1:46.2562", "Jeffrey Miguel Reno Richie"
"25", "1:46.2292", "Jeffrey Miguel Reno Richie"
"26", "1:46.2542", "Jeffrey Miguel Reno Richie"
"27", "1:46.2038", "Jeffrey Miguel Reno Richie"
"28", "1:46.2838", "Jeffrey Miguel Reno Richie"
"29", "1:46.2738", "Jeffrey Miguel Reno Richie"
"30", "1:46.3638", "Jeffrey Miguel Reno Richie"
"31", "1:46.4254", "Jeffrey Miguel Reno Richie"
"32", "1:46.4880", "Jeffrey Miguel Reno Richie"
"33", "1:46.4507", "Jeffrey Miguel Reno Richie"
