"Lap", "laptime", "driver"
"0", "", "Hubert Szymański"
"1", "1:46.3135", "Hubert Szymański"
"2", "1:46.2690", "Hubert Szymański"
"3", "1:46.2446", "Hubert Szymański"
"4", "1:46.1206", "Hubert Szymański"
"5", "1:46.0980", "Hubert Szymański"
"6", "1:46.1276", "Hubert Szymański"
"7", "1:46.1156", "Hubert Szymański"
"8", "1:46.1246", "Hubert Szymański"
"9", "1:46.1552", "Hubert Szymański"
"10", "1:46.2023", "Hubert Szymański"
"11", "1:46.1380", "Hubert Szymański"
"12", "", "Hubert Szymański"
"13", "", "Hubert Szymański"
"14", "1:46.0557", "Hubert Szymański"
"15", "1:46.0080", "Hubert Szymański"
"16", "1:45.9048", "Hubert Szymański"
"17", "1:45.7028", "Hubert Szymański"
"18", "1:45.8472", "Hubert Szymański"
"19", "1:45.8476", "Hubert Szymański"
"20", "1:45.8360", "Hubert Szymański"
"21", "1:45.8866", "Hubert Szymański"
"22", "1:45.9256", "Hubert Szymański"
"23", "1:45.7422", "Hubert Szymański"
"24", "1:45.7472", "Hubert Szymański"
"25", "1:45.8478", "Hubert Szymański"
"26", "1:45.9708", "Hubert Szymański"
"27", "1:46.0634", "Hubert Szymański"
"28", "1:46.1434", "Hubert Szymański"
"29", "1:46.2404", "Hubert Szymański"
"30", "1:46.2734", "Hubert Szymański"
"31", "1:46.3078", "Hubert Szymański"
"32", "1:46.3472", "Hubert Szymański"
"33", "1:46.4280", "Hubert Szymański"
