"Lap", "laptime", "driver"
"0", "", "Luke Whitehead"
"1", "", "Luke Whitehead"
"2", "", "Luke Whitehead"
"3", "1:29.0913", "Luke Whitehead"
"4", "1:29.0697", "Luke Whitehead"
"5", "1:29.0968", "Luke Whitehead"
"6", "1:29.0482", "Luke Whitehead"
"7", "1:29.0202", "Luke Whitehead"
"8", "1:29.0408", "Luke Whitehead"
"9", "1:29.1638", "Luke Whitehead"
"10", "1:29.3482", "Luke Whitehead"
"11", "1:29.3832", "Luke Whitehead"
"12", "1:29.3642", "Luke Whitehead"
"13", "1:29.3996", "Luke Whitehead"
"14", "1:29.2796", "Luke Whitehead"
"15", "1:29.0162", "Luke Whitehead"
"16", "1:29.0278", "Luke Whitehead"
"17", "1:29.0474", "Luke Whitehead"
"18", "1:29.2494", "Luke Whitehead"
"19", "1:29.3168", "Luke Whitehead"
"20", "1:29.4138", "Luke Whitehead"
"21", "1:29.4258", "Luke Whitehead"
"22", "1:29.4008", "Luke Whitehead"
"23", "1:29.1778", "Luke Whitehead"
"24", "1:29.1608", "Luke Whitehead"
"25", "1:29.2128", "Luke Whitehead"
"26", "1:29.1988", "Luke Whitehead"
"27", "1:29.2358", "Luke Whitehead"
"28", "1:29.3414", "Luke Whitehead"
"29", "1:29.3640", "Luke Whitehead"
"30", "1:29.3284", "Luke Whitehead"
"31", "1:29.3414", "Luke Whitehead"
"32", "1:29.3028", "Luke Whitehead"
"33", "1:29.2288", "Luke Whitehead"
"34", "1:29.1968", "Luke Whitehead"
"35", "1:29.2014", "Luke Whitehead"
"36", "1:29.2208", "Luke Whitehead"
"37", "1:29.2648", "Luke Whitehead"
"38", "1:29.2885", "Luke Whitehead"
"39", "1:29.3097", "Luke Whitehead"
