"Lap", "laptime", "driver"
"0", "", "Jimmy Holm"
"1", "", "Jimmy Holm"
"2", "", "Jimmy Holm"
"3", "1:30.7240", "Jimmy Holm"
"4", "1:30.6523", "Jimmy Holm"
"5", "1:30.6178", "Jimmy Holm"
"6", "1:30.5072", "Jimmy Holm"
"7", "1:30.4928", "Jimmy Holm"
"8", "1:30.5018", "Jimmy Holm"
"9", "1:30.5574", "Jimmy Holm"
"10", "1:30.4898", "Jimmy Holm"
"11", "1:30.3488", "Jimmy Holm"
"12", "1:30.3458", "Jimmy Holm"
"13", "1:30.1668", "Jimmy Holm"
"14", "1:30.0122", "Jimmy Holm"
"15", "1:29.9772", "Jimmy Holm"
"16", "1:30.2398", "Jimmy Holm"
"17", "1:30.1618", "Jimmy Holm"
"18", "1:30.1622", "Jimmy Holm"
"19", "1:30.1342", "Jimmy Holm"
"20", "1:30.0408", "Jimmy Holm"
"21", "1:29.7132", "Jimmy Holm"
"22", "1:29.8032", "Jimmy Holm"
"23", "1:29.7868", "Jimmy Holm"
"24", "1:29.7284", "Jimmy Holm"
"25", "1:29.6724", "Jimmy Holm"
"26", "1:29.7714", "Jimmy Holm"
"27", "1:29.6724", "Jimmy Holm"
"28", "1:29.6404", "Jimmy Holm"
"29", "1:29.6108", "Jimmy Holm"
"30", "1:29.6912", "Jimmy Holm"
"31", "1:29.6132", "Jimmy Holm"
"32", "1:29.5852", "Jimmy Holm"
"33", "1:29.7022", "Jimmy Holm"
"34", "1:29.8168", "Jimmy Holm"
"35", "1:29.8618", "Jimmy Holm"
"36", "1:29.9348", "Jimmy Holm"
"37", "1:29.9788", "Jimmy Holm"
"38", "1:29.9447", "Jimmy Holm"
"39", "1:29.9480", "Jimmy Holm"
