"Lap", "laptime", "driver"
"0", "", "Ahmet Serdar Kargulu"
"1", "", "Ahmet Serdar Kargulu"
"2", "1:31.6395", "Ahmet Serdar Kargulu"
"3", "", "Ahmet Serdar Kargulu"
"4", "1:31.3552", "Ahmet Serdar Kargulu"
"5", "1:31.1723", "Ahmet Serdar Kargulu"
"6", "1:31.1928", "Ahmet Serdar Kargulu"
"7", "1:31.2284", "Ahmet Serdar Kargulu"
"8", "1:31.0388", "Ahmet Serdar Kargulu"
"9", "1:30.9198", "Ahmet Serdar Kargulu"
"10", "1:30.7958", "Ahmet Serdar Kargulu"
"11", "1:30.5222", "Ahmet Serdar Kargulu"
"12", "1:30.2332", "Ahmet Serdar Kargulu"
"13", "1:30.1702", "Ahmet Serdar Kargulu"
"14", "1:30.0632", "Ahmet Serdar Kargulu"
"15", "1:29.9636", "Ahmet Serdar Kargulu"
"16", "1:30.0806", "Ahmet Serdar Kargulu"
"17", "1:29.9706", "Ahmet Serdar Kargulu"
"18", "1:29.9666", "Ahmet Serdar Kargulu"
"19", "1:29.9866", "Ahmet Serdar Kargulu"
"20", "1:29.9977", "Ahmet Serdar Kargulu"
"21", "1:29.8330", "Ahmet Serdar Kargulu"
"22", "", "Ahmet Serdar Kargulu"
"23", "", "Ahmet Serdar Kargulu"
"24", "1:29.6640", "Ahmet Serdar Kargulu"
"25", "1:29.6147", "Ahmet Serdar Kargulu"
"26", "1:29.5982", "Ahmet Serdar Kargulu"
"27", "1:29.4792", "Ahmet Serdar Kargulu"
"28", "1:29.4658", "Ahmet Serdar Kargulu"
"29", "1:29.4538", "Ahmet Serdar Kargulu"
"30", "1:29.4228", "Ahmet Serdar Kargulu"
"31", "1:29.4074", "Ahmet Serdar Kargulu"
"32", "1:29.3974", "Ahmet Serdar Kargulu"
"33", "1:29.3068", "Ahmet Serdar Kargulu"
"34", "1:29.3732", "Ahmet Serdar Kargulu"
"35", "1:29.3658", "Ahmet Serdar Kargulu"
"36", "1:29.3962", "Ahmet Serdar Kargulu"
"37", "1:29.4902", "Ahmet Serdar Kargulu"
"38", "1:29.5960", "Ahmet Serdar Kargulu"
"39", "1:29.5490", "Ahmet Serdar Kargulu"
