"Lap", "laptime", "driver"
"0", "", "Luca Ziege"
"1", "", "Luca Ziege"
"2", "", "Luca Ziege"
"3", "", "Luca Ziege"
"4", "1:31.5697", "Luca Ziege"
"5", "1:31.5223", "Luca Ziege"
"6", "1:31.4248", "Luca Ziege"
"7", "1:31.4402", "Luca Ziege"
"8", "1:31.3418", "Luca Ziege"
"9", "1:31.6318", "Luca Ziege"
"10", "1:31.5482", "Luca Ziege"
"11", "1:31.6765", "Luca Ziege"
"12", "1:31.6710", "Luca Ziege"
"13", "", "Luca Ziege"
"14", "1:31.6980", "Luca Ziege"
"15", "1:31.8280", "Luca Ziege"
"16", "1:31.5834", "Luca Ziege"
"17", "1:31.3204", "Luca Ziege"
"18", "1:31.1984", "Luca Ziege"
"19", "1:30.8648", "Luca Ziege"
"20", "1:30.7128", "Luca Ziege"
"21", "1:30.6888", "Luca Ziege"
"22", "1:30.6578", "Luca Ziege"
"23", "1:30.5623", "Luca Ziege"
"24", "1:30.7655", "Luca Ziege"
"25", "", "Luca Ziege"
"26", "1:30.5572", "Luca Ziege"
"27", "1:30.6003", "Luca Ziege"
"28", "1:30.7072", "Luca Ziege"
"29", "1:30.4872", "Luca Ziege"
"30", "1:30.4608", "Luca Ziege"
"31", "1:30.4724", "Luca Ziege"
"32", "1:30.4780", "Luca Ziege"
"33", "1:30.4154", "Luca Ziege"
"34", "1:30.4418", "Luca Ziege"
"35", "1:30.5468", "Luca Ziege"
"36", "1:30.5392", "Luca Ziege"
"37", "1:30.5065", "Luca Ziege"
"38", "1:30.4013", "Luca Ziege"
