"Lap", "laptime", "driver"
"1 ", "01:35.6048", "Valentin Barrier"
"2 ", "01:29.7750", "Valentin Barrier"
"3 ", "01:29.3870", "Valentin Barrier"
"4 ", "01:29.2170", "Valentin Barrier"
"5 ", "01:29.0120", "Valentin Barrier"
"6 ", "01:29.0400", "Valentin Barrier"
"7 ", "01:30.3950", "Valentin Barrier"
"8 ", "01:28.7420", "Valentin Barrier"
"9 ", "01:28.7570", "Valentin Barrier"
"10 ", "01:28.8350", "Valentin Barrier"
"11 ", "01:29.0200", "Valentin Barrier"
"12 ", "01:28.7920", "Valentin Barrier"
"13 ", "01:28.8400", "Valentin Barrier"
"14 ", "01:29.0850", "Valentin Barrier"
"15 ", "01:28.6650", "Valentin Barrier"
"16 ", "01:29.1370", "Valentin Barrier"
"17 ", "01:28.9250", "Valentin Barrier"
"18 ", "01:29.5570", "Valentin Barrier"
"19 ", "01:29.0820", "Valentin Barrier"
"20 ", "01:28.8020", "Valentin Barrier"
"21 ", "01:28.9050", "Valentin Barrier"
"22 ", "02:22.2050", "Valentin Barrier"
"23 ", "01:33.0020", "Valentin Barrier"
"24 ", "01:28.9570", "Valentin Barrier"
"25 ", "01:28.7200", "Valentin Barrier"
"26 ", "01:28.7150", "Valentin Barrier"
"27 ", "01:29.4900", "Valentin Barrier"
"28 ", "01:28.8170", "Valentin Barrier"
"29 ", "01:28.3150", "Valentin Barrier"
"30 ", "01:28.7350", "Valentin Barrier"
"31 ", "01:29.0620", "Valentin Barrier"
"32 ", "01:28.3500", "Valentin Barrier"
"33 ", "01:28.4270", "Valentin Barrier"
"34 ", "01:30.6870", "Valentin Barrier"
"35 ", "01:28.9300", "Valentin Barrier"
"36 ", "01:28.9400", "Valentin Barrier"
"37 ", "01:28.6950", "Valentin Barrier"
"38 ", "01:28.4820", "Valentin Barrier"
"39 ", "01:28.7550", "Valentin Barrier"
"40 ", "01:28.4500", "Valentin Barrier"
