"Lap", "laptime", "driver"
"1 ", "01:36.7898", "George Boothby"
"2 ", "01:30.0750", "George Boothby"
"3 ", "01:29.3870", "George Boothby"
"4 ", "01:29.8950", "George Boothby"
"5 ", "01:29.8970", "George Boothby"
"6 ", "01:29.5670", "George Boothby"
"7 ", "01:29.2450", "George Boothby"
"8 ", "01:29.2000", "George Boothby"
"9 ", "01:29.4400", "George Boothby"
"10 ", "01:29.7750", "George Boothby"
"11 ", "01:29.4870", "George Boothby"
"12 ", "02:19.1220", "George Boothby"
"13 ", "01:33.0870", "George Boothby"
"14 ", "01:29.1000", "George Boothby"
"15 ", "01:29.1750", "George Boothby"
"16 ", "01:28.9950", "George Boothby"
"17 ", "01:28.9600", "George Boothby"
"18 ", "01:28.8150", "George Boothby"
"19 ", "01:29.1750", "George Boothby"
"20 ", "01:29.1050", "George Boothby"
"21 ", "01:29.3270", "George Boothby"
"22 ", "01:29.3070", "George Boothby"
"23 ", "01:29.3550", "George Boothby"
"24 ", "01:29.2100", "George Boothby"
"25 ", "01:29.0520", "George Boothby"
"26 ", "01:29.1020", "George Boothby"
"27 ", "01:29.2320", "George Boothby"
"28 ", "01:29.4650", "George Boothby"
"29 ", "01:29.2470", "George Boothby"
"30 ", "01:29.0770", "George Boothby"
"31 ", "01:29.3470", "George Boothby"
"32 ", "01:30.0170", "George Boothby"
"33 ", "01:29.0800", "George Boothby"
"34 ", "01:29.1250", "George Boothby"
"35 ", "01:29.0070", "George Boothby"
"36 ", "01:29.2750", "George Boothby"
"37 ", "01:29.1720", "George Boothby"
"38 ", "01:29.3170", "George Boothby"
"39 ", "01:29.2720", "George Boothby"
"40 ", "01:29.3050", "George Boothby"
