"Lap", "laptime", "driver"
"1 ", "01:40.3581", "Vanko Dimitrov"
"2 ", "01:29.9770", "Vanko Dimitrov"
"3 ", "01:27.4120", "Vanko Dimitrov"
"4 ", "01:27.7120", "Vanko Dimitrov"
"5 ", "01:27.5170", "Vanko Dimitrov"
"6 ", "01:27.7850", "Vanko Dimitrov"
"7 ", "01:27.3700", "Vanko Dimitrov"
"8 ", "01:28.1820", "Vanko Dimitrov"
"9 ", "01:27.7220", "Vanko Dimitrov"
"10 ", "01:27.4070", "Vanko Dimitrov"
"11 ", "01:27.5200", "Vanko Dimitrov"
"12 ", "01:27.9150", "Vanko Dimitrov"
"13 ", "01:26.9670", "Vanko Dimitrov"
"14 ", "01:26.7020", "Vanko Dimitrov"
"15 ", "01:27.3000", "Vanko Dimitrov"
"16 ", "01:27.2520", "Vanko Dimitrov"
"17 ", "01:27.2550", "Vanko Dimitrov"
"18 ", "01:27.0950", "Vanko Dimitrov"
"19 ", "01:27.2070", "Vanko Dimitrov"
"20 ", "01:27.5550", "Vanko Dimitrov"
"21 ", "01:27.1920", "Vanko Dimitrov"
"22 ", "01:27.0950", "Vanko Dimitrov"
"23 ", "01:27.3850", "Vanko Dimitrov"
"24 ", "01:27.3520", "Vanko Dimitrov"
"25 ", "01:27.1950", "Vanko Dimitrov"
"26 ", "01:27.4100", "Vanko Dimitrov"
"27 ", "01:27.2170", "Vanko Dimitrov"
"28 ", "01:27.3570", "Vanko Dimitrov"
"29 ", "01:27.4320", "Vanko Dimitrov"
"30 ", "01:27.3220", "Vanko Dimitrov"
"31 ", "01:27.7670", "Vanko Dimitrov"
"32 ", "01:27.7950", "Vanko Dimitrov"
"33 ", "01:27.7750", "Vanko Dimitrov"
"34 ", "01:27.4070", "Vanko Dimitrov"
"35 ", "01:33.5900", "Vanko Dimitrov"
"36 ", "02:20.1920", "Vanko Dimitrov"
"37 ", "01:31.4970", "Vanko Dimitrov"
"38 ", "01:32.4770", "Vanko Dimitrov"
"39 ", "01:31.7850", "Vanko Dimitrov"
"40 ", "01:31.6720", "Vanko Dimitrov"
"41 ", "01:32.2720", "Vanko Dimitrov"
