"Lap", "laptime", "driver"
"1 ", "01:53.1903", "Geert Fischer"
"2 ", "01:46.9250", "Geert Fischer"
"3 ", "01:47.2700", "Geert Fischer"
"4 ", "01:46.0750", "Geert Fischer"
"5 ", "01:46.4500", "Geert Fischer"
"6 ", "01:47.5720", "Geert Fischer"
"7 ", "01:46.8920", "Geert Fischer"
"8 ", "01:46.0220", "Geert Fischer"
"9 ", "01:46.4950", "Geert Fischer"
"10 ", "01:46.7670", "Geert Fischer"
"11 ", "01:46.5350", "Geert Fischer"
"12 ", "02:34.2720", "Geert Fischer"
"13 ", "01:51.9220", "Geert Fischer"
"14 ", "01:46.2320", "Geert Fischer"
"15 ", "01:45.8950", "Geert Fischer"
"16 ", "01:45.5920", "Geert Fischer"
"17 ", "01:45.6920", "Geert Fischer"
"18 ", "01:46.1950", "Geert Fischer"
"19 ", "01:45.7620", "Geert Fischer"
"20 ", "01:45.7170", "Geert Fischer"
"21 ", "01:45.8320", "Geert Fischer"
"22 ", "01:45.7320", "Geert Fischer"
"23 ", "01:46.0550", "Geert Fischer"
"24 ", "01:45.9770", "Geert Fischer"
"25 ", "01:46.2970", "Geert Fischer"
"26 ", "01:46.3520", "Geert Fischer"
"27 ", "01:46.4920", "Geert Fischer"
"28 ", "01:46.8220", "Geert Fischer"
"29 ", "01:46.5100", "Geert Fischer"
"30 ", "01:49.0400", "Geert Fischer"
"31 ", "01:47.0600", "Geert Fischer"
"32 ", "01:46.6970", "Geert Fischer"
"33 ", "01:46.8520", "Geert Fischer"
"34 ", "01:47.1350", "Geert Fischer"
