"Lap", "laptime", "driver"
"1 ", "02:28.7348", "Krzysztof Maczkowski"
"2 ", "01:33.9570", "Krzysztof Maczkowski"
"3 ", "01:30.2070", "Krzysztof Maczkowski"
"4 ", "01:29.4220", "Krzysztof Maczkowski"
"5 ", "01:29.4870", "Krzysztof Maczkowski"
"6 ", "01:29.2800", "Krzysztof Maczkowski"
"7 ", "01:29.0800", "Krzysztof Maczkowski"
"8 ", "01:29.3170", "Krzysztof Maczkowski"
"9 ", "01:29.0070", "Krzysztof Maczkowski"
"10 ", "01:29.0020", "Krzysztof Maczkowski"
"11 ", "01:29.1300", "Krzysztof Maczkowski"
"12 ", "01:29.3400", "Krzysztof Maczkowski"
"13 ", "01:29.5720", "Krzysztof Maczkowski"
"14 ", "01:29.5650", "Krzysztof Maczkowski"
"15 ", "01:29.1900", "Krzysztof Maczkowski"
"16 ", "01:29.2200", "Krzysztof Maczkowski"
"17 ", "01:29.2700", "Krzysztof Maczkowski"
"18 ", "01:29.2400", "Krzysztof Maczkowski"
"19 ", "01:29.9550", "Krzysztof Maczkowski"
"20 ", "01:29.4600", "Krzysztof Maczkowski"
"21 ", "01:29.3750", "Krzysztof Maczkowski"
"22 ", "01:29.7520", "Krzysztof Maczkowski"
"23 ", "01:29.1050", "Krzysztof Maczkowski"
"24 ", "01:29.5870", "Krzysztof Maczkowski"
"25 ", "01:30.1800", "Krzysztof Maczkowski"
"26 ", "01:29.5150", "Krzysztof Maczkowski"
"27 ", "01:29.2700", "Krzysztof Maczkowski"
"28 ", "01:28.9520", "Krzysztof Maczkowski"
"29 ", "01:29.3550", "Krzysztof Maczkowski"
"30 ", "01:29.1820", "Krzysztof Maczkowski"
"31 ", "01:29.2020", "Krzysztof Maczkowski"
"32 ", "01:29.6250", "Krzysztof Maczkowski"
"33 ", "01:29.2700", "Krzysztof Maczkowski"
"34 ", "01:29.3320", "Krzysztof Maczkowski"
"35 ", "01:29.4400", "Krzysztof Maczkowski"
"36 ", "01:29.3070", "Krzysztof Maczkowski"
"37 ", "01:29.5100", "Krzysztof Maczkowski"
"38 ", "01:29.4920", "Krzysztof Maczkowski"
"39 ", "01:29.3920", "Krzysztof Maczkowski"
"40 ", "01:29.3570", "Krzysztof Maczkowski"
