"Lap", "laptime", "driver"
"1 ", "01:52.9833", "Jaroslav Honzik"
"2 ", "01:47.1570", "Jaroslav Honzik"
"3 ", "01:46.3800", "Jaroslav Honzik"
"4 ", "01:46.4500", "Jaroslav Honzik"
"5 ", "01:46.2320", "Jaroslav Honzik"
"6 ", "01:49.1770", "Jaroslav Honzik"
"7 ", "01:46.4100", "Jaroslav Honzik"
"8 ", "01:46.1950", "Jaroslav Honzik"
"9 ", "01:46.2920", "Jaroslav Honzik"
"10 ", "01:46.5370", "Jaroslav Honzik"
"11 ", "01:46.4700", "Jaroslav Honzik"
"12 ", "02:34.1220", "Jaroslav Honzik"
"13 ", "01:51.6350", "Jaroslav Honzik"
"14 ", "01:46.0420", "Jaroslav Honzik"
"15 ", "01:45.8870", "Jaroslav Honzik"
"16 ", "01:45.7850", "Jaroslav Honzik"
"17 ", "01:46.0120", "Jaroslav Honzik"
"18 ", "01:47.8470", "Jaroslav Honzik"
"19 ", "01:45.9800", "Jaroslav Honzik"
"20 ", "01:46.0400", "Jaroslav Honzik"
"21 ", "01:45.8250", "Jaroslav Honzik"
"22 ", "01:46.3300", "Jaroslav Honzik"
"23 ", "01:46.2300", "Jaroslav Honzik"
"24 ", "01:46.3000", "Jaroslav Honzik"
"25 ", "01:46.6600", "Jaroslav Honzik"
"26 ", "01:46.1570", "Jaroslav Honzik"
"27 ", "01:46.4700", "Jaroslav Honzik"
"28 ", "01:46.2520", "Jaroslav Honzik"
"29 ", "01:46.3400", "Jaroslav Honzik"
"30 ", "01:46.9450", "Jaroslav Honzik"
"31 ", "01:46.3270", "Jaroslav Honzik"
"32 ", "01:46.3320", "Jaroslav Honzik"
"33 ", "01:46.6100", "Jaroslav Honzik"
"34 ", "01:46.7720", "Jaroslav Honzik"
