"Lap", "laptime", "driver"
"1 ", "02:34.0427", "Jimmy Holm"
"2 ", "01:35.8100", "Jimmy Holm"
"3 ", "01:37.1650", "Jimmy Holm"
"4 ", "01:31.1350", "Jimmy Holm"
"5 ", "01:30.4170", "Jimmy Holm"
"6 ", "01:30.6200", "Jimmy Holm"
"7 ", "01:30.4370", "Jimmy Holm"
"8 ", "01:30.4800", "Jimmy Holm"
"9 ", "01:30.5820", "Jimmy Holm"
"10 ", "01:30.3450", "Jimmy Holm"
"11 ", "01:30.6650", "Jimmy Holm"
"12 ", "01:30.7150", "Jimmy Holm"
"13 ", "01:30.1420", "Jimmy Holm"
"14 ", "01:29.8770", "Jimmy Holm"
"15 ", "01:30.3300", "Jimmy Holm"
"16 ", "01:29.7700", "Jimmy Holm"
"17 ", "01:29.9420", "Jimmy Holm"
"18 ", "01:29.9670", "Jimmy Holm"
"19 ", "01:31.1900", "Jimmy Holm"
"20 ", "01:29.9400", "Jimmy Holm"
"21 ", "01:29.7720", "Jimmy Holm"
"22 ", "01:29.8020", "Jimmy Holm"
"23 ", "01:29.5000", "Jimmy Holm"
"24 ", "01:29.5520", "Jimmy Holm"
"25 ", "01:30.3900", "Jimmy Holm"
"26 ", "01:29.6900", "Jimmy Holm"
"27 ", "01:29.5100", "Jimmy Holm"
"28 ", "01:29.2200", "Jimmy Holm"
"29 ", "01:30.0470", "Jimmy Holm"
"30 ", "01:29.8950", "Jimmy Holm"
"31 ", "01:29.5300", "Jimmy Holm"
"32 ", "01:29.3620", "Jimmy Holm"
"33 ", "01:29.6220", "Jimmy Holm"
"34 ", "01:29.6570", "Jimmy Holm"
"35 ", "01:29.7550", "Jimmy Holm"
"36 ", "01:30.1150", "Jimmy Holm"
"37 ", "01:29.9350", "Jimmy Holm"
"38 ", "01:29.8470", "Jimmy Holm"
"39 ", "01:30.0220", "Jimmy Holm"
"40 ", "01:29.9750", "Jimmy Holm"
