"Lap", "laptime", "driver"
"1 ", "01:55.1126", "Ahmet Serdar Kargulu"
"2 ", "01:47.5520", "Ahmet Serdar Kargulu"
"3 ", "01:47.5550", "Ahmet Serdar Kargulu"
"4 ", "01:47.6450", "Ahmet Serdar Kargulu"
"5 ", "01:47.1670", "Ahmet Serdar Kargulu"
"6 ", "01:47.5450", "Ahmet Serdar Kargulu"
"7 ", "01:47.0670", "Ahmet Serdar Kargulu"
"8 ", "01:46.8000", "Ahmet Serdar Kargulu"
"9 ", "01:47.1820", "Ahmet Serdar Kargulu"
"10 ", "01:47.2600", "Ahmet Serdar Kargulu"
"11 ", "01:47.0950", "Ahmet Serdar Kargulu"
"12 ", "01:47.1770", "Ahmet Serdar Kargulu"
"13 ", "01:47.2070", "Ahmet Serdar Kargulu"
"14 ", "01:47.8420", "Ahmet Serdar Kargulu"
"15 ", "01:47.7850", "Ahmet Serdar Kargulu"
"16 ", "02:36.1370", "Ahmet Serdar Kargulu"
"17 ", "02:06.5720", "Ahmet Serdar Kargulu"
"18 ", "01:58.7000", "Ahmet Serdar Kargulu"
"19 ", "01:47.2970", "Ahmet Serdar Kargulu"
"20 ", "01:46.6550", "Ahmet Serdar Kargulu"
"21 ", "01:46.9520", "Ahmet Serdar Kargulu"
"22 ", "01:47.5100", "Ahmet Serdar Kargulu"
"23 ", "01:47.0470", "Ahmet Serdar Kargulu"
"24 ", "01:46.6520", "Ahmet Serdar Kargulu"
"25 ", "01:46.7870", "Ahmet Serdar Kargulu"
"26 ", "01:46.6500", "Ahmet Serdar Kargulu"
"27 ", "01:46.9220", "Ahmet Serdar Kargulu"
"28 ", "01:46.8770", "Ahmet Serdar Kargulu"
"29 ", "01:46.9970", "Ahmet Serdar Kargulu"
"30 ", "01:46.7500", "Ahmet Serdar Kargulu"
"31 ", "01:47.1700", "Ahmet Serdar Kargulu"
"32 ", "01:49.3020", "Ahmet Serdar Kargulu"
"33 ", "01:49.5920", "Ahmet Serdar Kargulu"
"34 ", "01:49.6170", "Ahmet Serdar Kargulu"
