"Lap", "laptime", "driver"
"1 ", "01:40.3877", "Luca Ziege"
"2 ", "01:34.6570", "Luca Ziege"
"3 ", "02:26.4220", "Luca Ziege"
"4 ", "01:36.7020", "Luca Ziege"
"5 ", "01:31.8850", "Luca Ziege"
"6 ", "01:31.9120", "Luca Ziege"
"7 ", "01:30.9120", "Luca Ziege"
"8 ", "01:31.3800", "Luca Ziege"
"9 ", "01:31.0350", "Luca Ziege"
"10 ", "01:31.9620", "Luca Ziege"
"11 ", "01:31.4200", "Luca Ziege"
"12 ", "01:32.3620", "Luca Ziege"
"13 ", "01:30.9620", "Luca Ziege"
"14 ", "01:34.2500", "Luca Ziege"
"15 ", "01:31.9400", "Luca Ziege"
"16 ", "01:31.6500", "Luca Ziege"
"17 ", "01:32.2400", "Luca Ziege"
"18 ", "01:31.4820", "Luca Ziege"
"19 ", "01:30.6050", "Luca Ziege"
"20 ", "01:30.6250", "Luca Ziege"
"21 ", "01:31.0400", "Luca Ziege"
"22 ", "01:30.5720", "Luca Ziege"
"23 ", "01:30.7220", "Luca Ziege"
"24 ", "01:30.4850", "Luca Ziege"
"25 ", "01:30.4700", "Luca Ziege"
"26 ", "01:42.5970", "Luca Ziege"
"27 ", "01:31.3850", "Luca Ziege"
"28 ", "01:30.2320", "Luca Ziege"
"29 ", "01:30.1420", "Luca Ziege"
"30 ", "01:30.6420", "Luca Ziege"
"31 ", "01:31.1350", "Luca Ziege"
"32 ", "01:30.2850", "Luca Ziege"
"33 ", "01:30.1000", "Luca Ziege"
"34 ", "01:30.2000", "Luca Ziege"
"35 ", "01:30.6700", "Luca Ziege"
"36 ", "01:30.8220", "Luca Ziege"
"37 ", "01:30.4170", "Luca Ziege"
"38 ", "01:30.6250", "Luca Ziege"
"39 ", "01:30.1620", "Luca Ziege"
