"Lap", "laptime", "driver"
"1 ", "01:54.8793", "Vojtěch Neuwirth"
"2 ", "01:49.4870", "Vojtěch Neuwirth"
"3 ", "01:47.0370", "Vojtěch Neuwirth"
"4 ", "01:46.8050", "Vojtěch Neuwirth"
"5 ", "01:46.4120", "Vojtěch Neuwirth"
"6 ", "01:46.9570", "Vojtěch Neuwirth"
"7 ", "01:47.4750", "Vojtěch Neuwirth"
"8 ", "01:46.9070", "Vojtěch Neuwirth"
"9 ", "01:46.4550", "Vojtěch Neuwirth"
"10 ", "01:46.8920", "Vojtěch Neuwirth"
"11 ", "01:46.8870", "Vojtěch Neuwirth"
"12 ", "01:46.9070", "Vojtěch Neuwirth"
"13 ", "01:47.2670", "Vojtěch Neuwirth"
"14 ", "01:47.6120", "Vojtěch Neuwirth"
"15 ", "01:47.2270", "Vojtěch Neuwirth"
"16 ", "02:35.1020", "Vojtěch Neuwirth"
"17 ", "01:52.6000", "Vojtěch Neuwirth"
"18 ", "01:46.4870", "Vojtěch Neuwirth"
"19 ", "01:46.2450", "Vojtěch Neuwirth"
"20 ", "01:46.0850", "Vojtěch Neuwirth"
"21 ", "01:46.2750", "Vojtěch Neuwirth"
"22 ", "01:46.2920", "Vojtěch Neuwirth"
"23 ", "01:46.3100", "Vojtěch Neuwirth"
"24 ", "01:47.7570", "Vojtěch Neuwirth"
"25 ", "01:46.1520", "Vojtěch Neuwirth"
"26 ", "01:46.2220", "Vojtěch Neuwirth"
"27 ", "01:46.3570", "Vojtěch Neuwirth"
"28 ", "01:47.0050", "Vojtěch Neuwirth"
"29 ", "01:46.5070", "Vojtěch Neuwirth"
"30 ", "01:46.9570", "Vojtěch Neuwirth"
"31 ", "01:46.9800", "Vojtěch Neuwirth"
"32 ", "01:46.7070", "Vojtěch Neuwirth"
"33 ", "01:47.1120", "Vojtěch Neuwirth"
"34 ", "01:46.7700", "Vojtěch Neuwirth"
