"Lap", "laptime", "driver"
"1 ", "01:38.4001", "Jeffrey Miguel Reno Richie"
"2 ", "01:27.5120", "Jeffrey Miguel Reno Richie"
"3 ", "01:28.1620", "Jeffrey Miguel Reno Richie"
"4 ", "01:28.2700", "Jeffrey Miguel Reno Richie"
"5 ", "01:27.0300", "Jeffrey Miguel Reno Richie"
"6 ", "01:27.0170", "Jeffrey Miguel Reno Richie"
"7 ", "01:27.1150", "Jeffrey Miguel Reno Richie"
"8 ", "01:26.8550", "Jeffrey Miguel Reno Richie"
"9 ", "01:26.7770", "Jeffrey Miguel Reno Richie"
"10 ", "01:27.5450", "Jeffrey Miguel Reno Richie"
"11 ", "01:27.2820", "Jeffrey Miguel Reno Richie"
"12 ", "01:27.0970", "Jeffrey Miguel Reno Richie"
"13 ", "01:28.4100", "Jeffrey Miguel Reno Richie"
"14 ", "01:27.3220", "Jeffrey Miguel Reno Richie"
"15 ", "01:27.7520", "Jeffrey Miguel Reno Richie"
"16 ", "01:28.5000", "Jeffrey Miguel Reno Richie"
"17 ", "01:27.4700", "Jeffrey Miguel Reno Richie"
"18 ", "01:27.3450", "Jeffrey Miguel Reno Richie"
"19 ", "01:27.3920", "Jeffrey Miguel Reno Richie"
"20 ", "01:27.4900", "Jeffrey Miguel Reno Richie"
"21 ", "01:27.3200", "Jeffrey Miguel Reno Richie"
"22 ", "01:27.3320", "Jeffrey Miguel Reno Richie"
"23 ", "01:27.5470", "Jeffrey Miguel Reno Richie"
"24 ", "01:27.7670", "Jeffrey Miguel Reno Richie"
"25 ", "01:27.5750", "Jeffrey Miguel Reno Richie"
"26 ", "01:27.4120", "Jeffrey Miguel Reno Richie"
"27 ", "01:27.6720", "Jeffrey Miguel Reno Richie"
"28 ", "01:27.4100", "Jeffrey Miguel Reno Richie"
"29 ", "01:27.2620", "Jeffrey Miguel Reno Richie"
"30 ", "01:27.4320", "Jeffrey Miguel Reno Richie"
"31 ", "01:27.3950", "Jeffrey Miguel Reno Richie"
"32 ", "01:27.3820", "Jeffrey Miguel Reno Richie"
"33 ", "01:27.5950", "Jeffrey Miguel Reno Richie"
"34 ", "01:27.3620", "Jeffrey Miguel Reno Richie"
"35 ", "01:33.2150", "Jeffrey Miguel Reno Richie"
"36 ", "02:30.7670", "Jeffrey Miguel Reno Richie"
"37 ", "01:31.5320", "Jeffrey Miguel Reno Richie"
"38 ", "01:31.4550", "Jeffrey Miguel Reno Richie"
"39 ", "01:31.6550", "Jeffrey Miguel Reno Richie"
"40 ", "01:32.4320", "Jeffrey Miguel Reno Richie"
"41 ", "01:32.0920", "Jeffrey Miguel Reno Richie"
