"Lap", "laptime", "driver"
"1 ", "01:35.7661", "Hubert Szymański"
"2 ", "01:28.1920", "Hubert Szymański"
"3 ", "01:27.7550", "Hubert Szymański"
"4 ", "01:27.1100", "Hubert Szymański"
"5 ", "01:26.8000", "Hubert Szymański"
"6 ", "01:26.9650", "Hubert Szymański"
"7 ", "01:27.1050", "Hubert Szymański"
"8 ", "01:26.9020", "Hubert Szymański"
"9 ", "01:27.0520", "Hubert Szymański"
"10 ", "01:26.8600", "Hubert Szymański"
"11 ", "01:26.9870", "Hubert Szymański"
"12 ", "01:27.0400", "Hubert Szymański"
"13 ", "01:27.0050", "Hubert Szymański"
"14 ", "01:27.3850", "Hubert Szymański"
"15 ", "01:27.0200", "Hubert Szymański"
"16 ", "01:26.9670", "Hubert Szymański"
"17 ", "01:27.1120", "Hubert Szymański"
"18 ", "01:27.0520", "Hubert Szymański"
"19 ", "01:26.9570", "Hubert Szymański"
"20 ", "01:27.1220", "Hubert Szymański"
"21 ", "01:27.2670", "Hubert Szymański"
"22 ", "01:27.4820", "Hubert Szymański"
"23 ", "01:27.3320", "Hubert Szymański"
"24 ", "01:27.2470", "Hubert Szymański"
"25 ", "01:27.4370", "Hubert Szymański"
"26 ", "01:27.1800", "Hubert Szymański"
"27 ", "01:27.5750", "Hubert Szymański"
"28 ", "01:27.1550", "Hubert Szymański"
"29 ", "01:27.2350", "Hubert Szymański"
"30 ", "01:27.4000", "Hubert Szymański"
"31 ", "01:27.7020", "Hubert Szymański"
"32 ", "01:27.2900", "Hubert Szymański"
"33 ", "01:27.2500", "Hubert Szymański"
"34 ", "01:27.6600", "Hubert Szymański"
"35 ", "01:32.0520", "Hubert Szymański"
"36 ", "02:20.8000", "Hubert Szymański"
"37 ", "01:31.6720", "Hubert Szymański"
"38 ", "01:31.3700", "Hubert Szymański"
"39 ", "01:31.8720", "Hubert Szymański"
"40 ", "01:31.9700", "Hubert Szymański"
"41 ", "01:33.0970", "Hubert Szymański"
