"Lap", "laptime", "driver"
"1 ", "01:33.3511", "Luke Whitehead"
"2 ", "01:26.9070", "Luke Whitehead"
"3 ", "01:26.3720", "Luke Whitehead"
"4 ", "01:26.3550", "Luke Whitehead"
"5 ", "01:26.3970", "Luke Whitehead"
"6 ", "01:26.1870", "Luke Whitehead"
"7 ", "01:26.3250", "Luke Whitehead"
"8 ", "01:26.3450", "Luke Whitehead"
"9 ", "01:26.3620", "Luke Whitehead"
"10 ", "01:26.3320", "Luke Whitehead"
"11 ", "01:26.3750", "Luke Whitehead"
"12 ", "01:26.5000", "Luke Whitehead"
"13 ", "01:26.4070", "Luke Whitehead"
"14 ", "01:26.5350", "Luke Whitehead"
"15 ", "01:26.2420", "Luke Whitehead"
"16 ", "01:26.4850", "Luke Whitehead"
"17 ", "01:26.7150", "Luke Whitehead"
"18 ", "01:26.5100", "Luke Whitehead"
"19 ", "01:26.4820", "Luke Whitehead"
"20 ", "01:26.8970", "Luke Whitehead"
"21 ", "01:26.8020", "Luke Whitehead"
"22 ", "01:26.6320", "Luke Whitehead"
"23 ", "01:26.6620", "Luke Whitehead"
"24 ", "01:26.7700", "Luke Whitehead"
"25 ", "01:26.9150", "Luke Whitehead"
"26 ", "01:26.5750", "Luke Whitehead"
"27 ", "01:26.7020", "Luke Whitehead"
"28 ", "01:26.6900", "Luke Whitehead"
"29 ", "01:26.8170", "Luke Whitehead"
"30 ", "01:30.9670", "Luke Whitehead"
"31 ", "02:16.0770", "Luke Whitehead"
"32 ", "01:26.4300", "Luke Whitehead"
"33 ", "01:25.7900", "Luke Whitehead"
"34 ", "01:25.7500", "Luke Whitehead"
"35 ", "01:27.4770", "Luke Whitehead"
"36 ", "01:29.4570", "Luke Whitehead"
"37 ", "01:30.8100", "Luke Whitehead"
"38 ", "01:32.8270", "Luke Whitehead"
"39 ", "01:32.9220", "Luke Whitehead"
"40 ", "01:32.8400", "Luke Whitehead"
"41 ", "01:32.6520", "Luke Whitehead"
