"Lap", "laptime", "driver"
"1 ", "01:28.6703", "Jimmy Holm"
"2 ", "01:23.1400", "Jimmy Holm"
"3 ", "01:22.9550", "Jimmy Holm"
"4 ", "01:23.1550", "Jimmy Holm"
"5 ", "01:23.9220", "Jimmy Holm"
"6 ", "01:22.4850", "Jimmy Holm"
"7 ", "01:22.5250", "Jimmy Holm"
"8 ", "01:22.4970", "Jimmy Holm"
"9 ", "01:22.5570", "Jimmy Holm"
"10 ", "01:22.4670", "Jimmy Holm"
"11 ", "01:22.4000", "Jimmy Holm"
"12 ", "01:22.7650", "Jimmy Holm"
"13 ", "01:22.3270", "Jimmy Holm"
"14 ", "01:23.3070", "Jimmy Holm"
"15 ", "01:23.3020", "Jimmy Holm"
"16 ", "01:23.4750", "Jimmy Holm"
"17 ", "01:23.7700", "Jimmy Holm"
"18 ", "01:23.3850", "Jimmy Holm"
"19 ", "01:23.2850", "Jimmy Holm"
"20 ", "02:14.0300", "Jimmy Holm"
"21 ", "01:28.6650", "Jimmy Holm"
"22 ", "01:23.2600", "Jimmy Holm"
"23 ", "01:23.1470", "Jimmy Holm"
"24 ", "01:22.7150", "Jimmy Holm"
"25 ", "01:22.6720", "Jimmy Holm"
"26 ", "01:22.9570", "Jimmy Holm"
"27 ", "01:22.5670", "Jimmy Holm"
"28 ", "01:22.6550", "Jimmy Holm"
"29 ", "01:22.8120", "Jimmy Holm"
"30 ", "01:22.9070", "Jimmy Holm"
"31 ", "01:22.8170", "Jimmy Holm"
"32 ", "01:23.0170", "Jimmy Holm"
"33 ", "01:22.7600", "Jimmy Holm"
"34 ", "01:22.8270", "Jimmy Holm"
"35 ", "01:23.0920", "Jimmy Holm"
"36 ", "01:22.8050", "Jimmy Holm"
"37 ", "01:23.0870", "Jimmy Holm"
"38 ", "01:23.0620", "Jimmy Holm"
"39 ", "01:23.5150", "Jimmy Holm"
"40 ", "01:27.0550", "Jimmy Holm"
"41 ", "01:23.3050", "Jimmy Holm"
"42 ", "01:23.5870", "Jimmy Holm"
"43 ", "01:23.1700", "Jimmy Holm"
