laptime in seconds,car
114.497,Aston Martin V8
116.142,Aston Martin V8
116.825,Aston Martin V8
114.277,Aston Martin V8
115.587,Aston Martin V8
115.605,Aston Martin V8
114.99,Aston Martin V8
117.055,Aston Martin V8
116.315,Aston Martin V8
114.72,Aston Martin V8
116.742,Aston Martin V8
115.747,Aston Martin V8
116.56,Aston Martin V8
116.317,Aston Martin V8
114.83,Aston Martin V8
119.482,Aston Martin V8
115.64,Aston Martin V8
116.542,Aston Martin V8
122.64,Aston Martin V8
116.68,Aston Martin V8
114.497,Aston Martin V8
116.142,Aston Martin V8
116.825,Aston Martin V8
114.277,Aston Martin V8
115.587,Aston Martin V8
115.605,Aston Martin V8
114.99,Aston Martin V8
117.055,Aston Martin V8
116.315,Aston Martin V8
114.72,Aston Martin V8
116.742,Aston Martin V8
115.747,Aston Martin V8
116.56,Aston Martin V8
116.317,Aston Martin V8
114.83,Aston Martin V8
119.482,Aston Martin V8
115.64,Aston Martin V8
116.542,Aston Martin V8
122.64,Aston Martin V8
116.68,Aston Martin V8
113.887,Aston Martin V8
115.262,Aston Martin V8
116.655,Aston Martin V8
114.515,Aston Martin V8
116.572,Aston Martin V8
116.2,Aston Martin V8
118.257,Aston Martin V8
115.027,Aston Martin V8
117.545,Aston Martin V8
117.257,Aston Martin V8
116.852,Aston Martin V8
118.54,Aston Martin V8
115.9,Aston Martin V8
113.63,Aston Martin V8
113.96,Aston Martin V8
115.54,Aston Martin V8
115.68,Aston Martin V8
116.055,Aston Martin V8
115.762,Aston Martin V8
115.417,Aston Martin V8
116.202,Aston Martin V8
117.427,Aston Martin V8
116.532,Aston Martin V8
114.357,Aston Martin V8
116.355,Aston Martin V8
116.5,Aston Martin V8
116.235,Aston Martin V8
115.77,Aston Martin V8
116.645,Aston Martin V8
115.905,Aston Martin V8
117.102,Aston Martin V8
116.262,Aston Martin V8
117.33,Aston Martin V8
114.99,Aston Martin V8
114.017,Aston Martin V8
115.255,Aston Martin V8
114.027,Aston Martin V8
115.655,Aston Martin V8
120.342,Aston Martin V8
116.327,Aston Martin V8
114.5,Aston Martin V8
116.352,Aston Martin V8
114.747,Aston Martin V8
114.715,Aston Martin V8
115.422,Aston Martin V8
118.475,Aston Martin V8
114.815,Aston Martin V8
117.865,Aston Martin V8
118.475,Aston Martin V8
116.56,Aston Martin V8
117.492,Aston Martin V8
117.142,Aston Martin V8
116.97,Aston Martin V8
115.46,Aston Martin V8
115.36,Aston Martin V8
114.745,Aston Martin V8
115.68,Aston Martin V8
117.41,Aston Martin V8
118.97,Aston Martin V8
117.802,Aston Martin V8
115.98,Aston Martin V8
116.797,Aston Martin V8
116.227,Aston Martin V8
115.465,Aston Martin V8
117.957,Aston Martin V8
116.065,Aston Martin V8
114.812,Aston Martin V8
117.392,Aston Martin V8
114.565,Aston Martin V8
114.875,Aston Martin V8
117.155,Aston Martin V8
113.597,Aston Martin V8
116.785,Aston Martin V8
119.215,Aston Martin V8
116.597,Aston Martin V8
116.127,Aston Martin V8
114.66,Aston Martin V8
117.252,Aston Martin V8
114.815,Aston Martin V8
117.687,Aston Martin V8
115.5,Aston Martin V8
116.287,Aston Martin V8
117.2,Aston Martin V8
115.585,Aston Martin V8
116.52,Aston Martin V8
118.227,Aston Martin V8
115.027,Aston Martin V8
114.91,Aston Martin V8
115.437,Aston Martin V8
115.237,Aston Martin V8
115.347,Aston Martin V8
116.317,Aston Martin V8
114.54,Aston Martin V8
115.442,Aston Martin V8
116.69,Aston Martin V8
116.27,Aston Martin V8
114.032,Aston Martin V8
115.7,Aston Martin V8
117.812,Aston Martin V8
115.705,Aston Martin V8
118.21,Aston Martin V8
116.57,Aston Martin V8
116.222,Aston Martin V8
117.75,Aston Martin V8
116.885,Aston Martin V8
115.147,Aston Martin V8
115.567,Aston Martin V8
116.825,Aston Martin V8
117.492,Aston Martin V8
117.607,Aston Martin V8
114.617,Aston Martin V8
116.457,Aston Martin V8
115.767,Aston Martin V8
116.157,Aston Martin V8
116.09,Aston Martin V8
115.325,Aston Martin V8
116.73,Aston Martin V8
118.132,Aston Martin V8
116.637,Aston Martin V8
115.017,Aston Martin V8
115.655,Aston Martin V8
114.995,Aston Martin V8
117.86,Aston Martin V8
115.625,Aston Martin V8
114.85,Aston Martin V8
115.205,Aston Martin V8
115.612,Aston Martin V8
115.032,Aston Martin V8
114.147,Aston Martin V8
116.41,Aston Martin V8
118.415,Aston Martin V8
115.417,Aston Martin V8
117.307,Aston Martin V8
119.24,Aston Martin V8
117.035,Aston Martin V8
114.352,Aston Martin V8
115.575,Aston Martin V8
116.097,Aston Martin V8
116.78,Aston Martin V8
115.397,Aston Martin V8
115.57,Aston Martin V8
116.967,Aston Martin V8
116.157,Aston Martin V8
115.115,Aston Martin V8
113.837,Aston Martin V8
119.837,Aston Martin V8
117.032,Aston Martin V8
117.032,Aston Martin V8
116.332,Aston Martin V8
115.857,Aston Martin V8
116.575,Aston Martin V8
116.63,Aston Martin V8
116.81,Aston Martin V8
115.775,Aston Martin V8
114.51,Aston Martin V8
115.115,Aston Martin V8
117.255,Aston Martin V8
116.955,Aston Martin V8
116.68,Aston Martin V8
121.282,Aston Martin V8
116.332,Aston Martin V8
115.64,Aston Martin V8
116.105,Aston Martin V8
115.54,Aston Martin V8
116.482,Aston Martin V8
117.855,Aston Martin V8
116.237,Aston Martin V8
119.427,Aston Martin V8
117.96,Aston Martin V8
114.112,Aston Martin V8
115.027,Aston Martin V8
117.85,Aston Martin V8
117.465,Aston Martin V8
116.93,Aston Martin V8
116.922,Aston Martin V8
115.772,Aston Martin V8
117.197,Aston Martin V8
115.692,Aston Martin V8
115.535,Aston Martin V8
114.152,Aston Martin V8
116.292,Aston Martin V8
116.797,Aston Martin V8
117.707,Aston Martin V8
116.705,Aston Martin V8
113.632,Aston Martin V8
117.5,Aston Martin V8
116.645,Aston Martin V8
116.807,Aston Martin V8
114.045,Aston Martin V8
116.132,Aston Martin V8
116.547,Aston Martin V8
116.562,Aston Martin V8
116.22,Aston Martin V8
118.68,Aston Martin V8
116.98,Aston Martin V8
115.487,Aston Martin V8
118.52,Aston Martin V8
117.322,Aston Martin V8
115.935,Aston Martin V8
114.247,Aston Martin V8
116.15,Aston Martin V8
116.865,Aston Martin V8
117.425,Aston Martin V8
116.425,Aston Martin V8
117.387,Aston Martin V8
116.18,Aston Martin V8
115.767,Aston Martin V8
114.995,Aston Martin V8
117.25,Aston Martin V8
116.65,Aston Martin V8
117.12,Aston Martin V8
116.005,Aston Martin V8
117.065,Aston Martin V8
117.407,Aston Martin V8
116.04,Aston Martin V8
120.445,Aston Martin V8
115.672,Aston Martin V8
114.695,Aston Martin V8
118.165,Aston Martin V8
115.555,Aston Martin V8
116.757,Aston Martin V8
114.602,Aston Martin V8
116.25,Aston Martin V8
113.727,Aston Martin V8
117.112,Aston Martin V8
114.757,Aston Martin V8
116.147,Aston Martin V8
114.852,Aston Martin V8
117.435,Aston Martin V8
115.582,Aston Martin V8
115.82,Aston Martin V8
117.385,Aston Martin V8
116.975,Aston Martin V8
117.437,Aston Martin V8
114.91,Aston Martin V8
114.712,Aston Martin V8
