laptime,car
120057,Aston Martin V8
119990,Aston Martin V8
120850,Aston Martin V8
120512,Aston Martin V8
122650,Aston Martin V8
123087,Aston Martin V8
123175,Aston Martin V8
121915,Aston Martin V8
121282,Aston Martin V8
120675,Aston Martin V8
121762,Aston Martin V8
120672,Aston Martin V8
121625,Aston Martin V8
123062,Aston Martin V8
122242,Aston Martin V8
121390,Aston Martin V8
119842,Aston Martin V8
120442,Aston Martin V8
121700,Aston Martin V8
122100,Aston Martin V8
124067,Aston Martin V8
122870,Aston Martin V8
119670,Aston Martin V8
122192,Aston Martin V8
121770,Aston Martin V8
121805,Aston Martin V8
121685,Aston Martin V8
122687,Aston Martin V8
121485,Aston Martin V8
125465,Aston Martin V8
121430,Aston Martin V8
121342,Aston Martin V8
122875,Aston Martin V8
121530,Aston Martin V8
120440,Aston Martin V8
123947,Aston Martin V8
122542,Aston Martin V8
119545,Aston Martin V8
120057,Aston Martin V8
119990,Aston Martin V8
120850,Aston Martin V8
120512,Aston Martin V8
122650,Aston Martin V8
123087,Aston Martin V8
123175,Aston Martin V8
121915,Aston Martin V8
121282,Aston Martin V8
120675,Aston Martin V8
121762,Aston Martin V8
120672,Aston Martin V8
121625,Aston Martin V8
123062,Aston Martin V8
122242,Aston Martin V8
121390,Aston Martin V8
119842,Aston Martin V8
120442,Aston Martin V8
121700,Aston Martin V8
122100,Aston Martin V8
124067,Aston Martin V8
122870,Aston Martin V8
119670,Aston Martin V8
122192,Aston Martin V8
121770,Aston Martin V8
121805,Aston Martin V8
121685,Aston Martin V8
122687,Aston Martin V8
121485,Aston Martin V8
125465,Aston Martin V8
121430,Aston Martin V8
121342,Aston Martin V8
122875,Aston Martin V8
121530,Aston Martin V8
120440,Aston Martin V8
123947,Aston Martin V8
122542,Aston Martin V8
119545,Aston Martin V8
120057,Aston Martin V8
119990,Aston Martin V8
120850,Aston Martin V8
120512,Aston Martin V8
122650,Aston Martin V8
123087,Aston Martin V8
123175,Aston Martin V8
121915,Aston Martin V8
121282,Aston Martin V8
120675,Aston Martin V8
121762,Aston Martin V8
120672,Aston Martin V8
121625,Aston Martin V8
123062,Aston Martin V8
122242,Aston Martin V8
121390,Aston Martin V8
119842,Aston Martin V8
120442,Aston Martin V8
121700,Aston Martin V8
122100,Aston Martin V8
124067,Aston Martin V8
122870,Aston Martin V8
119670,Aston Martin V8
122192,Aston Martin V8
121770,Aston Martin V8
121805,Aston Martin V8
121685,Aston Martin V8
122687,Aston Martin V8
121485,Aston Martin V8
125465,Aston Martin V8
121430,Aston Martin V8
121342,Aston Martin V8
122875,Aston Martin V8
121530,Aston Martin V8
120440,Aston Martin V8
123947,Aston Martin V8
122542,Aston Martin V8
119545,Aston Martin V8
120057,Aston Martin V8
119990,Aston Martin V8
120850,Aston Martin V8
120512,Aston Martin V8
122650,Aston Martin V8
123087,Aston Martin V8
123175,Aston Martin V8
121915,Aston Martin V8
121282,Aston Martin V8
120675,Aston Martin V8
121762,Aston Martin V8
120672,Aston Martin V8
121625,Aston Martin V8
123062,Aston Martin V8
122242,Aston Martin V8
121390,Aston Martin V8
119842,Aston Martin V8
120442,Aston Martin V8
121700,Aston Martin V8
122100,Aston Martin V8
124067,Aston Martin V8
122870,Aston Martin V8
119670,Aston Martin V8
122192,Aston Martin V8
121770,Aston Martin V8
121805,Aston Martin V8
121685,Aston Martin V8
122687,Aston Martin V8
121485,Aston Martin V8
125465,Aston Martin V8
121430,Aston Martin V8
121342,Aston Martin V8
122875,Aston Martin V8
121530,Aston Martin V8
120440,Aston Martin V8
123947,Aston Martin V8
122542,Aston Martin V8
119545,Aston Martin V8
120057,Aston Martin V8
119990,Aston Martin V8
120850,Aston Martin V8
120512,Aston Martin V8
122650,Aston Martin V8
123087,Aston Martin V8
123175,Aston Martin V8
121915,Aston Martin V8
121282,Aston Martin V8
120675,Aston Martin V8
121762,Aston Martin V8
120672,Aston Martin V8
121625,Aston Martin V8
123062,Aston Martin V8
122242,Aston Martin V8
121390,Aston Martin V8
119842,Aston Martin V8
120442,Aston Martin V8
121700,Aston Martin V8
122100,Aston Martin V8
124067,Aston Martin V8
122870,Aston Martin V8
119670,Aston Martin V8
122192,Aston Martin V8
121770,Aston Martin V8
121805,Aston Martin V8
121685,Aston Martin V8
122687,Aston Martin V8
121485,Aston Martin V8
125465,Aston Martin V8
121430,Aston Martin V8
121342,Aston Martin V8
122875,Aston Martin V8
121530,Aston Martin V8
120440,Aston Martin V8
123947,Aston Martin V8
122542,Aston Martin V8
119545,Aston Martin V8
120057,Aston Martin V8
119990,Aston Martin V8
120850,Aston Martin V8
120512,Aston Martin V8
122650,Aston Martin V8
123087,Aston Martin V8
123175,Aston Martin V8
121915,Aston Martin V8
121282,Aston Martin V8
120675,Aston Martin V8
121762,Aston Martin V8
120672,Aston Martin V8
121625,Aston Martin V8
123062,Aston Martin V8
122242,Aston Martin V8
121390,Aston Martin V8
119842,Aston Martin V8
120442,Aston Martin V8
121700,Aston Martin V8
122100,Aston Martin V8
124067,Aston Martin V8
122870,Aston Martin V8
119670,Aston Martin V8
122192,Aston Martin V8
121770,Aston Martin V8
121805,Aston Martin V8
121685,Aston Martin V8
122687,Aston Martin V8
121485,Aston Martin V8
125465,Aston Martin V8
121430,Aston Martin V8
121342,Aston Martin V8
122875,Aston Martin V8
121530,Aston Martin V8
120440,Aston Martin V8
123947,Aston Martin V8
122542,Aston Martin V8
119545,Aston Martin V8
120057,Aston Martin V8
119990,Aston Martin V8
120850,Aston Martin V8
120512,Aston Martin V8
122650,Aston Martin V8
123087,Aston Martin V8
123175,Aston Martin V8
121915,Aston Martin V8
121282,Aston Martin V8
120675,Aston Martin V8
121762,Aston Martin V8
120672,Aston Martin V8
121625,Aston Martin V8
123062,Aston Martin V8
122242,Aston Martin V8
121390,Aston Martin V8
119842,Aston Martin V8
120442,Aston Martin V8
121700,Aston Martin V8
122100,Aston Martin V8
124067,Aston Martin V8
122870,Aston Martin V8
119670,Aston Martin V8
122192,Aston Martin V8
121770,Aston Martin V8
121805,Aston Martin V8
121685,Aston Martin V8
122687,Aston Martin V8
121485,Aston Martin V8
125465,Aston Martin V8
121430,Aston Martin V8
121342,Aston Martin V8
122875,Aston Martin V8
121530,Aston Martin V8
120440,Aston Martin V8
123947,Aston Martin V8
122542,Aston Martin V8
119545,Aston Martin V8
120057,Aston Martin V8
119990,Aston Martin V8
120850,Aston Martin V8
120512,Aston Martin V8
122650,Aston Martin V8
123087,Aston Martin V8
123175,Aston Martin V8
121915,Aston Martin V8
121282,Aston Martin V8
120675,Aston Martin V8
121762,Aston Martin V8
120672,Aston Martin V8
121625,Aston Martin V8
123062,Aston Martin V8
122242,Aston Martin V8
121390,Aston Martin V8
119842,Aston Martin V8
120442,Aston Martin V8
121700,Aston Martin V8
122100,Aston Martin V8
124067,Aston Martin V8
122870,Aston Martin V8
119670,Aston Martin V8
122192,Aston Martin V8
121770,Aston Martin V8
121805,Aston Martin V8
121685,Aston Martin V8
122687,Aston Martin V8
121485,Aston Martin V8
125465,Aston Martin V8
121430,Aston Martin V8
121342,Aston Martin V8
122875,Aston Martin V8
121530,Aston Martin V8
120440,Aston Martin V8
123947,Aston Martin V8
122542,Aston Martin V8
119545,Aston Martin V8
120057,Aston Martin V8
119990,Aston Martin V8
120850,Aston Martin V8
120512,Aston Martin V8
122650,Aston Martin V8
123087,Aston Martin V8
123175,Aston Martin V8
121915,Aston Martin V8
121282,Aston Martin V8
120675,Aston Martin V8
121762,Aston Martin V8
120672,Aston Martin V8
121625,Aston Martin V8
123062,Aston Martin V8
122242,Aston Martin V8
121390,Aston Martin V8
119842,Aston Martin V8
120442,Aston Martin V8
121700,Aston Martin V8
122100,Aston Martin V8
124067,Aston Martin V8
122870,Aston Martin V8
119670,Aston Martin V8
122192,Aston Martin V8
121770,Aston Martin V8
121805,Aston Martin V8
121685,Aston Martin V8
122687,Aston Martin V8
121485,Aston Martin V8
125465,Aston Martin V8
121430,Aston Martin V8
121342,Aston Martin V8
122875,Aston Martin V8
121530,Aston Martin V8
120440,Aston Martin V8
123947,Aston Martin V8
122542,Aston Martin V8
119545,Aston Martin V8
120057,Aston Martin V8
119990,Aston Martin V8
120850,Aston Martin V8
120512,Aston Martin V8
122650,Aston Martin V8
123087,Aston Martin V8
123175,Aston Martin V8
121915,Aston Martin V8
121282,Aston Martin V8
120675,Aston Martin V8
121762,Aston Martin V8
120672,Aston Martin V8
121625,Aston Martin V8
123062,Aston Martin V8
122242,Aston Martin V8
121390,Aston Martin V8
119842,Aston Martin V8
120442,Aston Martin V8
121700,Aston Martin V8
122100,Aston Martin V8
124067,Aston Martin V8
122870,Aston Martin V8
119670,Aston Martin V8
122192,Aston Martin V8
121770,Aston Martin V8
121805,Aston Martin V8
121685,Aston Martin V8
122687,Aston Martin V8
121485,Aston Martin V8
125465,Aston Martin V8
121430,Aston Martin V8
121342,Aston Martin V8
122875,Aston Martin V8
121530,Aston Martin V8
120440,Aston Martin V8
123947,Aston Martin V8
122542,Aston Martin V8
119545,Aston Martin V8
120057,Aston Martin V8
119990,Aston Martin V8
120850,Aston Martin V8
120512,Aston Martin V8
122650,Aston Martin V8
123087,Aston Martin V8
123175,Aston Martin V8
121915,Aston Martin V8
121282,Aston Martin V8
120675,Aston Martin V8
121762,Aston Martin V8
120672,Aston Martin V8
121625,Aston Martin V8
123062,Aston Martin V8
122242,Aston Martin V8
121390,Aston Martin V8
119842,Aston Martin V8
120442,Aston Martin V8
121700,Aston Martin V8
122100,Aston Martin V8
124067,Aston Martin V8
122870,Aston Martin V8
119670,Aston Martin V8
122192,Aston Martin V8
121770,Aston Martin V8
121805,Aston Martin V8
121685,Aston Martin V8
122687,Aston Martin V8
121485,Aston Martin V8
125465,Aston Martin V8
121430,Aston Martin V8
121342,Aston Martin V8
122875,Aston Martin V8
121530,Aston Martin V8
