time in seconds,driver
119.30,Ryan - Stint 1
116.91,Ryan - Stint 1
117.23,Ryan - Stint 1
118.16,Ryan - Stint 1
117.03,Ryan - Stint 1
117.11,Ryan - Stint 1
116.92,Ryan - Stint 1
116.64,Ryan - Stint 1
117.04,Ryan - Stint 1
116.39,Ryan - Stint 1
117.16,Ryan - Stint 1
117.22,Ryan - Stint 1
116.65,Ryan - Stint 1
117.91,Ryan - Stint 1
117.81,Ryan - Stint 1
118.30,Ryan - Stint 1
117.15,Ryan - Stint 1
117.44,Ryan - Stint 1
117.33,Ryan - Stint 1
117.03,Ryan - Stint 1
117.36,Ryan - Stint 1
117.14,Ryan - Stint 1
117.16,Ryan - Stint 1
117.29,Ryan - Stint 1
117.24,Ryan - Stint 1
118.39,Ryan - Stint 1
117.47,Ryan - Stint 1
117.30,Ryan - Stint 1
116.83,Ryan - Stint 1
118.15,Ryan - Stint 1
117.78,Ryan - Stint 1
117.18,Ryan - Stint 1
116.86,Kylo - Stint 1
116.72,Kylo - Stint 1
116.27,Kylo - Stint 1
116.80,Kylo - Stint 1
116.73,Kylo - Stint 1
116.72,Kylo - Stint 1
116.61,Kylo - Stint 1
116.27,Kylo - Stint 1
116.75,Kylo - Stint 1
116.19,Kylo - Stint 1
116.82,Kylo - Stint 1
116.36,Kylo - Stint 1
116.32,Kylo - Stint 1
116.53,Kylo - Stint 1
116.71,Kylo - Stint 1
117.02,Kylo - Stint 1
116.70,Kylo - Stint 1
117.07,Kylo - Stint 1
117.76,Kylo - Stint 1
116.87,Kylo - Stint 1
116.62,Kylo - Stint 1
117.17,Kylo - Stint 1
116.77,Kylo - Stint 1
116.97,Kylo - Stint 1
116.71,Kylo - Stint 1
116.69,Kylo - Stint 1
116.63,Kylo - Stint 1
117.13,Kylo - Stint 1
116.94,Kylo - Stint 1
117.23,Kylo - Stint 1
117.09,Kylo - Stint 1
116.99,Kylo - Stint 1
117.30,Kylo - Stint 1
116.51,Flicker - Stint 1
117.30,Flicker - Stint 1
116.44,Flicker - Stint 1
115.90,Flicker - Stint 1
115.92,Flicker - Stint 1
116.58,Flicker - Stint 1
116.56,Flicker - Stint 1
115.59,Flicker - Stint 1
116.07,Flicker - Stint 1
115.98,Flicker - Stint 1
115.95,Flicker - Stint 1
116.25,Flicker - Stint 1
116.10,Flicker - Stint 1
116.48,Flicker - Stint 1
116.25,Flicker - Stint 1
116.50,Flicker - Stint 1
116.02,Flicker - Stint 1
116.07,Flicker - Stint 1
116.93,Flicker - Stint 1
116.37,Flicker - Stint 1
116.49,Flicker - Stint 1
116.40,Flicker - Stint 1
116.23,Flicker - Stint 1
116.57,Flicker - Stint 1
116.67,Flicker - Stint 1
116.30,Flicker - Stint 1
116.40,Flicker - Stint 1
116.49,Flicker - Stint 1
116.54,Flicker - Stint 1
116.15,Flicker - Stint 1
117.47,Flicker - Stint 1
117.53,Flicker - Stint 1
118.12,Flicker - Stint 1
115.51,Schubert - Stint 1
115.59,Schubert - Stint 1
115.49,Schubert - Stint 1
115.48,Schubert - Stint 1
115.35,Schubert - Stint 1
115.17,Schubert - Stint 1
115.33,Schubert - Stint 1
115.27,Schubert - Stint 1
116.45,Schubert - Stint 1
116.51,Schubert - Stint 1
115.28,Schubert - Stint 1
116.74,Schubert - Stint 1
115.74,Schubert - Stint 1
115.24,Schubert - Stint 1
115.48,Schubert - Stint 1
115.54,Schubert - Stint 1
115.76,Schubert - Stint 1
115.68,Schubert - Stint 1
115.31,Schubert - Stint 1
115.64,Schubert - Stint 1
115.66,Schubert - Stint 1
115.69,Schubert - Stint 1
115.46,Schubert - Stint 1
115.78,Schubert - Stint 1
115.60,Schubert - Stint 1
115.55,Schubert - Stint 1
115.63,Schubert - Stint 1
115.30,Schubert - Stint 1
115.41,Schubert - Stint 1
115.38,Schubert - Stint 1
115.60,Schubert - Stint 1
115.70,Schubert - Stint 1
115.51,Schubert - Stint 1
116.64,Flicker - Stint 2
116.11,Flicker - Stint 2
116.46,Flicker - Stint 2
116.41,Flicker - Stint 2
115.79,Flicker - Stint 2
116.06,Flicker - Stint 2
115.55,Flicker - Stint 2
115.90,Flicker - Stint 2
115.97,Flicker - Stint 2
116.06,Flicker - Stint 2
115.72,Flicker - Stint 2
116.55,Flicker - Stint 2
116.28,Flicker - Stint 2
115.85,Flicker - Stint 2
116.91,Flicker - Stint 2
117.25,Flicker - Stint 2
116.43,Flicker - Stint 2
116.52,Flicker - Stint 2
116.46,Flicker - Stint 2
116.84,Flicker - Stint 2
116.78,Flicker - Stint 2
116.60,Flicker - Stint 2
116.81,Flicker - Stint 2
117.06,Flicker - Stint 2
115.95,Flicker - Stint 2
117.38,Flicker - Stint 2
117.03,Flicker - Stint 2
116.41,Flicker - Stint 2
116.21,Flicker - Stint 2
116.40,Flicker - Stint 2
116.02,Flicker - Stint 2
116.11,Flicker - Stint 2
116.71,Flicker - Stint 2
115.67,Schubert - Stint 2
114.99,Schubert - Stint 2
115.44,Schubert - Stint 2
115.28,Schubert - Stint 2
115.28,Schubert - Stint 2
115.06,Schubert - Stint 2
115.08,Schubert - Stint 2
114.95,Schubert - Stint 2
115.33,Schubert - Stint 2
115.18,Schubert - Stint 2
115.04,Schubert - Stint 2
114.95,Schubert - Stint 2
115.11,Schubert - Stint 2
115.52,Schubert - Stint 2
115.35,Schubert - Stint 2
115.26,Schubert - Stint 2
115.52,Schubert - Stint 2
115.96,Schubert - Stint 2
115.61,Schubert - Stint 2
115.51,Schubert - Stint 2
115.46,Schubert - Stint 2
115.32,Schubert - Stint 2
115.29,Schubert - Stint 2
115.06,Schubert - Stint 2
116.98,Schubert - Stint 2
115.76,Schubert - Stint 2
115.41,Schubert - Stint 2
115.90,Schubert - Stint 2
115.36,Schubert - Stint 2
115.61,Schubert - Stint 2
116.12,Schubert - Stint 2
115.40,Schubert - Stint 2
115.67,Schubert - Stint 2
115.92,Schubert - Stint 2
116.63,Kylo - Stint 2
116.17,Kylo - Stint 2
