driver,time in seconds,stint
Ryan,119.30,1
Ryan,116.91,1
Ryan,117.23,1
Ryan,118.16,1
Ryan,117.03,1
Ryan,117.11,1
Ryan,116.92,1
Ryan,116.64,1
Ryan,117.04,1
Ryan,116.39,1
Ryan,117.16,1
Ryan,117.22,1
Ryan,116.65,1
Ryan,117.91,1
Ryan,117.81,1
Ryan,118.30,1
Ryan,117.15,1
Ryan,117.44,1
Ryan,117.33,1
Ryan,117.03,1
Ryan,117.36,1
Ryan,117.14,1
Ryan,117.16,1
Ryan,117.29,1
Ryan,117.24,1
Ryan,118.39,1
Ryan,117.47,1
Ryan,117.30,1
Ryan,116.83,1
Ryan,118.15,1
Ryan,117.78,1
Ryan,117.18,1
Kylo,116.86,1
Kylo,116.72,1
Kylo,116.27,1
Kylo,116.80,1
Kylo,116.73,1
Kylo,116.72,1
Kylo,116.61,1
Kylo,116.27,1
Kylo,116.75,1
Kylo,116.19,1
Kylo,116.82,1
Kylo,116.36,1
Kylo,116.32,1
Kylo,116.53,1
Kylo,116.71,1
Kylo,117.02,1
Kylo,116.70,1
Kylo,117.07,1
Kylo,117.76,1
Kylo,116.87,1
Kylo,116.62,1
Kylo,117.17,1
Kylo,116.77,1
Kylo,116.97,1
Kylo,116.71,1
Kylo,116.69,1
Kylo,116.63,1
Kylo,117.13,1
Kylo,116.94,1
Kylo,117.23,1
Kylo,117.09,1
Kylo,116.99,1
Kylo,117.30,1
Flicker,116.51,1
Flicker,117.30,1
Flicker,116.44,1
Flicker,115.90,1
Flicker,115.92,1
Flicker,116.58,1
Flicker,116.56,1
Flicker,115.59,1
Flicker,116.07,1
Flicker,115.98,1
Flicker,115.95,1
Flicker,116.25,1
Flicker,116.10,1
Flicker,116.48,1
Flicker,116.25,1
Flicker,116.50,1
Flicker,116.02,1
Flicker,116.07,1
Flicker,116.93,1
Flicker,116.37,1
Flicker,116.49,1
Flicker,116.40,1
Flicker,116.23,1
Flicker,116.57,1
Flicker,116.67,1
Flicker,116.30,1
Flicker,116.40,1
Flicker,116.49,1
Flicker,116.54,1
Flicker,116.15,1
Flicker,117.47,1
Flicker,117.53,1
Flicker,118.12,1
Schubert,115.51,1
