time in seconds,driver
129.47,Ryan - Stint 1
121.91,Ryan - Stint 1
121.38,Ryan - Stint 1
121.43,Ryan - Stint 1
121.50,Ryan - Stint 1
121.89,Ryan - Stint 1
121.34,Ryan - Stint 1
122.41,Ryan - Stint 1
122.87,Ryan - Stint 1
123.48,Ryan - Stint 1
121.23,Ryan - Stint 1
121.53,Ryan - Stint 1
122.09,Ryan - Stint 1
121.58,Ryan - Stint 1
121.83,Ryan - Stint 1
122.45,Ryan - Stint 1
122.71,Ryan - Stint 1
122.46,Ryan - Stint 1
123.24,Ryan - Stint 1
123.46,Ryan - Stint 1
122.70,Ryan - Stint 1
122.42,Ryan - Stint 1
123.56,Ryan - Stint 1
134.15,Ark - Stint 1
133.12,Ark - Stint 1
131.71,Ark - Stint 1
131.49,Ark - Stint 1
131.21,Ark - Stint 1
131.62,Ark - Stint 1
130.35,Ark - Stint 1
129.83,Ark - Stint 1
129.93,Ark - Stint 1
134.15,Kylo - Stint 1
125.69,Kylo - Stint 1
123.21,Kylo - Stint 1
121.91,Kylo - Stint 1
123.49,Kylo - Stint 1
121.37,Kylo - Stint 1
121.38,Kylo - Stint 1
122.02,Kylo - Stint 1
121.79,Kylo - Stint 1
121.76,Kylo - Stint 1
121.54,Kylo - Stint 1
122.04,Kylo - Stint 1
121.93,Kylo - Stint 1
122.18,Kylo - Stint 1
121.88,Kylo - Stint 1
126.74,Kylo - Stint 1
123.15,Kylo - Stint 1
123.46,Kylo - Stint 1
122.71,Kylo - Stint 1
122.86,Kylo - Stint 1
122.63,Kylo - Stint 1
122.67,Kylo - Stint 1
124.39,Kylo - Stint 1
122.74,Kylo - Stint 1
123.46,Kylo - Stint 1
124.03,Kylo - Stint 1
123.11,Kylo - Stint 1
132.15,Ryan - Stint 2
121.78,Ryan - Stint 2
121.06,Ryan - Stint 2
120.81,Ryan - Stint 2
121.35,Ryan - Stint 2
121.46,Ryan - Stint 2
121.38,Ryan - Stint 2
124.33,Ryan - Stint 2
122.16,Ryan - Stint 2
121.82,Ryan - Stint 2
121.91,Ryan - Stint 2
121.98,Ryan - Stint 2
121.53,Ryan - Stint 2
121.84,Ryan - Stint 2
121.93,Ryan - Stint 2
121.87,Ryan - Stint 2
122.14,Ryan - Stint 2
122.55,Ryan - Stint 2
121.79,Ryan - Stint 2
122.28,Ryan - Stint 2
121.67,Ryan - Stint 2
121.96,Ryan - Stint 2
122.42,Ryan - Stint 2
121.96,Ryan - Stint 2
123.69,Ryan - Stint 2
122.35,Ryan - Stint 2
124.21,Ryan - Stint 2
121.82,Ryan - Stint 2
122.40,Ryan - Stint 2
121.72,Ryan - Stint 2
121.92,Ryan - Stint 2
128.06,Ryan - Stint 2
123.45,Ryan - Stint 2
130.53,Ark - Stint 2
121.78,Ark - Stint 2
121.67,Ark - Stint 2
121.88,Ark - Stint 2
130.49,Ark - Stint 2
123.78,Ark - Stint 2
122.65,Ark - Stint 2
122.67,Ark - Stint 2
125.92,Ark - Stint 2
123.52,Ark - Stint 2
123.45,Ark - Stint 2
123.56,Ark - Stint 2
123.39,Ark - Stint 2
123.17,Ark - Stint 2
123.24,Ark - Stint 2
123.43,Ark - Stint 2
123.08,Ark - Stint 2
123.76,Ark - Stint 2
123.04,Ark - Stint 2
122.96,Ark - Stint 2
122.89,Ark - Stint 2
122.94,Ark - Stint 2
122.95,Ark - Stint 2
123.63,Ark - Stint 2
124.82,Ark - Stint 2
123.09,Ark - Stint 2
124.00,Ark - Stint 2
122.87,Ark - Stint 2
122.88,Ark - Stint 2
125.07,Ark - Stint 2
129.39,Kylo - Stint 2
120.77,Kylo - Stint 2
120.74,Kylo - Stint 2
120.71,Kylo - Stint 2
121.44,Kylo - Stint 2
120.53,Kylo - Stint 2
121.59,Kylo - Stint 2
121.83,Kylo - Stint 2
121.84,Kylo - Stint 2
121.37,Kylo - Stint 2
120.94,Kylo - Stint 2
122.03,Kylo - Stint 2
121.64,Kylo - Stint 2
121.68,Kylo - Stint 2
121.72,Kylo - Stint 2
121.14,Kylo - Stint 2
121.48,Kylo - Stint 2
121.35,Kylo - Stint 2
121.77,Kylo - Stint 2
121.92,Kylo - Stint 2
121.69,Kylo - Stint 2
121.97,Kylo - Stint 2
121.15,Kylo - Stint 2
121.95,Kylo - Stint 2
121.04,Kylo - Stint 2
121.63,Kylo - Stint 2
121.50,Kylo - Stint 2
122.92,Kylo - Stint 2
121.82,Kylo - Stint 2
122.16,Kylo - Stint 2
122.43,Kylo - Stint 2
121.50,Kylo - Stint 2
121.74,Kylo - Stint 2
131.53,Ryan - Stint 3
121.06,Ryan - Stint 3
121.09,Ryan - Stint 3
121.02,Ryan - Stint 3
122.03,Ryan - Stint 3
121.29,Ryan - Stint 3
121.65,Ryan - Stint 3
121.88,Ryan - Stint 3
121.56,Ryan - Stint 3
120.94,Ryan - Stint 3
120.97,Ryan - Stint 3
121.13,Ryan - Stint 3
121.06,Ryan - Stint 3
121.08,Ryan - Stint 3
122.11,Ryan - Stint 3
121.85,Ryan - Stint 3
121.44,Ryan - Stint 3
121.35,Ryan - Stint 3
122.11,Ryan - Stint 3
121.93,Ryan - Stint 3
121.37,Ryan - Stint 3
122.55,Ryan - Stint 3
121.77,Ryan - Stint 3
120.99,Ryan - Stint 3
121.06,Ryan - Stint 3
121.20,Ryan - Stint 3
121.67,Ryan - Stint 3
121.60,Ryan - Stint 3
121.10,Ryan - Stint 3
122.00,Ryan - Stint 3
121.47,Ryan - Stint 3
121.55,Ryan - Stint 3
122.47,Ryan - Stint 3
129.22,Kylo - Stint 3
121.03,Kylo - Stint 3
120.52,Kylo - Stint 3
120.21,Kylo - Stint 3
121.49,Kylo - Stint 3
120.59,Kylo - Stint 3
120.49,Kylo - Stint 3
120.91,Kylo - Stint 3
121.42,Kylo - Stint 3
120.84,Kylo - Stint 3
121.06,Kylo - Stint 3
129.03,Kylo - Stint 3
121.96,Kylo - Stint 3
121.02,Kylo - Stint 3
121.86,Kylo - Stint 3
121.79,Kylo - Stint 3
121.01,Kylo - Stint 3
