time in seconds,driver,stint
87.7,Hubert Szymański,1
82.19,Hubert Szymański,1
82.17,Hubert Szymański,1
82.15,Hubert Szymański,1
82.07,Hubert Szymański,1
82.29,Hubert Szymański,1
82.47,Hubert Szymański,1
82.14,Hubert Szymański,1
82.49,Hubert Szymański,1
82.7,Hubert Szymański,1
82.73,Hubert Szymański,1
82.33,Hubert Szymański,1
82.63,Hubert Szymański,1
82.67,Hubert Szymański,1
82.6,Hubert Szymański,1
83.16,Hubert Szymański,1
82.99,Hubert Szymański,1
83.38,Hubert Szymański,1
84.57,Hubert Szymański,1
83.19,Hubert Szymański,1
84.49,Hubert Szymański,1
86.72,Hubert Szymański,1
83.53,Hubert Szymański,1
84.1,Hubert Szymański,1
83.54,Hubert Szymański,1
83.24,Hubert Szymański,1
83.22,Hubert Szymański,1
83.19,Hubert Szymański,1
83.94,Hubert Szymański,1

84.03,Hubert Szymański,1
83.24,Hubert Szymański,1
83.65,Hubert Szymański,1
83.64,Hubert Szymański,1
83.29,Hubert Szymański,1
83.79,Hubert Szymański,1
83.47,Hubert Szymański,1
83.32,Hubert Szymański,1
82.93,Hubert Szymański,1
84.03,Hubert Szymański,1
84.59,Hubert Szymański,1
83.93,Hubert Szymański,1
83.92,Hubert Szymański,1
83.83,Hubert Szymański,1
83.63,Hubert Szymański,1


84.06,Ryan Cooper,1
84.1,Ryan Cooper,1
83.77,Ryan Cooper,1
84.54,Ryan Cooper,1
83.62,Ryan Cooper,1
84.07,Ryan Cooper,1
83.73,Ryan Cooper,1
83.46,Ryan Cooper,1
85,Ryan Cooper,1
84.03,Ryan Cooper,1
85.05,Ryan Cooper,1
83.9,Ryan Cooper,1
84.46,Ryan Cooper,1
85.36,Ryan Cooper,1
83.96,Ryan Cooper,1
85.15,Ryan Cooper,1
85.65,Ryan Cooper,1
84.99,Ryan Cooper,1
84.09,Ryan Cooper,1
87.38,Ryan Cooper,1
84.8,Ryan Cooper,1
84.23,Ryan Cooper,1
84.19,Ryan Cooper,1
85.85,Ryan Cooper,1
85.39,Ryan Cooper,1
85.28,Ryan Cooper,1
84.81,Ryan Cooper,1
84.27,Ryan Cooper,1
84.4,Ryan Cooper,1
84.68,Ryan Cooper,1
84.68,Ryan Cooper,1
85.27,Ryan Cooper,1
84.23,Ryan Cooper,1
83.84,Ryan Cooper,1
84.56,Ryan Cooper,1
86.22,Ryan Cooper,1
84.23,Ryan Cooper,1
84.78,Ryan Cooper,1
85.08,Ryan Cooper,1
86.59,Ryan Cooper,1
84.51,Ryan Cooper,1
85.12,Ryan Cooper,1
85.06,Ryan Cooper,1

88.76,Luca Ziege,1
83.79,Luca Ziege,1
83.81,Luca Ziege,1
83.35,Luca Ziege,1
83.54,Luca Ziege,1
83.45,Luca Ziege,1
84.27,Luca Ziege,1

83.69,Luca Ziege,1
84.21,Luca Ziege,1
83.59,Luca Ziege,1
83.62,Luca Ziege,1
83.69,Luca Ziege,1
83.93,Luca Ziege,1
84.75,Luca Ziege,1
83.89,Luca Ziege,1
83.65,Luca Ziege,1
83.58,Luca Ziege,1
83.89,Luca Ziege,1
84.61,Luca Ziege,1
84.44,Luca Ziege,1
84.02,Luca Ziege,1
84.68,Luca Ziege,1
