time in seconds,driver
105.05,Kylo
105.52,Kylo
106.17,Kylo
106.04,Kylo
105.43,Kylo
106.01,Kylo
105.34,Kylo
105.42,Kylo
105.4,Kylo
105.25,Kylo
105.86,Kylo
105.65,Kylo
105.53,Kylo
105.46,Kylo
107.37,Kylo
105.53,Kylo
105.5,Kylo
105.67,Kylo
105.72,Kylo
105.78,Kylo
105.91,Kylo
105.91,Kylo
105.44,Kylo
105.75,Kylo
105.71,Kylo
105.8,Kylo
105.77,Kylo
105.86,Kylo
106.98,Kylo
105.83,Kylo
107.09,Kylo
106.19,Kylo
106.64,Kylo
106.08,Kylo


105.61,Schubert
105.18,Schubert
105.1,Schubert
104.9,Schubert
105.13,Schubert
105.45,Schubert
105.03,Schubert
105.33,Schubert
105.15,Schubert
106.1,Schubert
105.24,Schubert
105.05,Schubert
105.36,Schubert
105.29,Schubert
105.92,Schubert
105.33,Schubert
105.41,Schubert
105.7,Schubert
105.57,Schubert
105.77,Schubert
105.71,Schubert
105.54,Schubert
105.63,Schubert
105.35,Schubert
105.51,Schubert
105.61,Schubert
105.45,Schubert
105.73,Schubert
105.63,Schubert
106.3,Schubert
106.13,Schubert
105.77,Schubert
105.66,Schubert
105.66,Schubert


105.72,Flicker
106.57,Flicker
105.41,Flicker
105.46,Flicker
105.61,Flicker
105.64,Flicker
105.6,Flicker
106.48,Flicker
105.56,Flicker
105.81,Flicker
106.09,Flicker
105.77,Flicker
105.81,Flicker
105.89,Flicker
106.37,Flicker
105.93,Flicker
105.8,Flicker
106.31,Flicker
106,Flicker
106.1,Flicker
106.39,Flicker
106.29,Flicker
106.34,Flicker
106.08,Flicker
106.31,Flicker
106.72,Flicker
106.27,Flicker
106.59,Flicker
106.54,Flicker
106.8,Flicker
106.45,Flicker
106.72,Flicker
107.16,Flicker
106.8,Flicker


105.74,Kylo
105.74,Kylo
105.13,Kylo
105.05,Kylo
104.94,Kylo
105.23,Kylo
105.96,Kylo
105.76,Kylo
105.36,Kylo
105.29,Kylo
105.55,Kylo
105.79,Kylo
105.73,Kylo
105.88,Kylo
106.09,Kylo
105.82,Kylo
105.96,Kylo
105.83,Kylo
106.03,Kylo
106.23,Kylo
105.65,Kylo
107.93,Kylo
106.43,Kylo
106.37,Kylo
106.04,Kylo
106.09,Kylo
105.88,Kylo
106.41,Kylo
106.47,Kylo
106.07,Kylo
105.95,Kylo
106.09,Kylo
106.05,Kylo
106.07,Kylo


105.71,Flicker
105.77,Flicker
105.52,Flicker
105.71,Flicker
105.76,Flicker
105.51,Flicker
105.65,Flicker
105.5,Flicker
105.72,Flicker
106.13,Flicker
105.77,Flicker
105.51,Flicker
105.43,Flicker
106.99,Flicker
105.67,Flicker
106.4,Flicker
105.83,Flicker
106.68,Flicker
106.01,Flicker
106.02,Flicker
105.69,Flicker
105.71,Flicker
106.52,Flicker
105.89,Flicker
106.56,Flicker
105.95,Flicker
106.14,Flicker
106.53,Flicker
106.1,Flicker
106.47,Flicker
106.19,Flicker
106.41,Flicker
106.38,Flicker
106.5,Flicker


105.46,Kylo
105.58,Kylo
105,Kylo
105.33,Kylo
105.02,Kylo
104.8,Kylo
105.28,Kylo
105.13,Kylo
105.37,Kylo
105.34,Kylo
105.76,Kylo
105.36,Kylo
105.92,Kylo
105.55,Kylo
105.61,Kylo
106.43,Kylo
106.05,Kylo
105.9,Kylo
105.97,Kylo
105.79,Kylo
105.82,Kylo
105.74,Kylo
106.12,Kylo
105.58,Kylo
105.86,Kylo
105.82,Kylo
106.63,Kylo
106.27,Kylo
106.34,Kylo
106,Kylo
105.79,Kylo
106.52,Kylo
106.16,Kylo
106.49,Kylo


105.61,Flicker
105.54,Flicker
106.01,Flicker
105.77,Flicker
106.04,Flicker
105.9,Flicker
105.25,Flicker
105.96,Flicker
105.63,Flicker
105.63,Flicker
105.7,Flicker
105.35,Flicker
105.77,Flicker
105.89,Flicker
105.62,Flicker
105.69,Flicker
105.61,Flicker
105.82,Flicker
105.82,Flicker
105.58,Flicker
105.86,Flicker
106.11,Flicker
105.65,Flicker
105.63,Flicker
105.93,Flicker
107.07,Flicker
106.12,Flicker
106.62,Flicker
106.42,Flicker
106.22,Flicker
106.1,Flicker
106.29,Flicker
106.26,Flicker
106.02,Flicker


105.53,Schubert
104.84,Schubert
104.64,Schubert
104.71,Schubert
105.01,Schubert
104.74,Schubert
104.68,Schubert
105.07,Schubert
104.84,Schubert
104.66,Schubert
104.99,Schubert
104.99,Schubert
104.96,Schubert
105.09,Schubert
106.72,Schubert
105.08,Schubert
105.31,Schubert
105.15,Schubert
105.5,Schubert
105.37,Schubert
105.42,Schubert
105.27,Schubert
105.36,Schubert
105.56,Schubert
105.21,Schubert
105.15,Schubert
105.34,Schubert
105.35,Schubert
105.49,Schubert
105.29,Schubert
105.21,Schubert
105.66,Schubert
105.14,Schubert
105.2,Schubert
105.31,Schubert


105.68,Kylo
104.85,Kylo
105.04,Kylo
105.19,Kylo
105.04,Kylo
105.09,Kylo
104.7,Kylo
105.13,Kylo
105.18,Kylo
105.26,Kylo
105.2,Kylo
104.92,Kylo
105.35,Kylo
105.37,Kylo
105.46,Kylo
105.38,Kylo
105.56,Kylo
105.36,Kylo
105.51,Kylo
105.16,Kylo
105.33,Kylo
105.59,Kylo
105.35,Kylo
105.59,Kylo
105.37,Kylo
105.47,Kylo
105.43,Kylo
105.24,Kylo
105.36,Kylo
105.34,Kylo
105.44,Kylo
105.23,Kylo
105.78,Kylo
105.73,Kylo
105.43,Kylo


105.24,Schubert
105.09,Schubert
104.69,Schubert
105.07,Schubert
104.74,Schubert
105.27,Schubert
104.9,Schubert
105.19,Schubert
104.95,Schubert
104.7,Schubert
104.94,Schubert
105.19,Schubert
105.06,Schubert
105.29,Schubert
105.09,Schubert
105.36,Schubert
105.36,Schubert
105.32,Schubert
105.53,Schubert
105.71,Schubert
105.48,Schubert
105.37,Schubert
105.38,Schubert
105.41,Schubert
105.17,Schubert
105.41,Schubert
105.38,Schubert
105,Schubert
105.3,Schubert
105.28,Schubert
105.12,Schubert
105.51,Schubert
105.3,Schubert
105.4,Schubert
105.32,Schubert


105,Kylo
105.74,Kylo
105.73,Kylo
105.39,Kylo
105.2,Kylo
105.18,Kylo
105.26,Kylo
105.24,Kylo
105.74,Kylo
105.2,Kylo
105.75,Kylo
105.63,Kylo
106.08,Kylo
105.42,Kylo
105.86,Kylo
105.85,Kylo
106.03,Kylo
105.89,Kylo
106.49,Kylo
105.71,Kylo
105.63,Kylo
105.52,Kylo
106.04,Kylo
105.68,Kylo
105.71,Kylo
105.66,Kylo
106.04,Kylo
105.99,Kylo
106.23,Kylo
105.73,Kylo
106.5,Kylo
106.01,Kylo
106.07,Kylo
105.95,Kylo


105.93,Kylo
105.38,Kylo
106.69,Kylo
