time in seconds,driver
105.05,Kylo Stint 1
105.52,Kylo Stint 1
106.17,Kylo Stint 1
106.04,Kylo Stint 1
105.43,Kylo Stint 1
106.01,Kylo Stint 1
105.34,Kylo Stint 1
105.42,Kylo Stint 1
105.4,Kylo Stint 1
105.25,Kylo Stint 1
105.86,Kylo Stint 1
105.65,Kylo Stint 1
105.53,Kylo Stint 1
105.46,Kylo Stint 1
107.37,Kylo Stint 1
105.53,Kylo Stint 1
105.5,Kylo Stint 1
105.67,Kylo Stint 1
105.72,Kylo Stint 1
105.78,Kylo Stint 1
105.91,Kylo Stint 1
105.91,Kylo Stint 1
105.44,Kylo Stint 1
105.75,Kylo Stint 1
105.71,Kylo Stint 1
105.8,Kylo Stint 1
105.77,Kylo Stint 1
105.86,Kylo Stint 1
106.98,Kylo Stint 1
105.83,Kylo Stint 1
107.09,Kylo Stint 1
106.19,Kylo Stint 1
106.64,Kylo Stint 1
106.08,Kylo Stint 1


105.61,Schubert Stint 1
105.18,Schubert Stint 1
105.1,Schubert Stint 1
104.9,Schubert Stint 1
105.13,Schubert Stint 1
105.45,Schubert Stint 1
105.03,Schubert Stint 1
105.33,Schubert Stint 1
105.15,Schubert Stint 1
106.1,Schubert Stint 1
105.24,Schubert Stint 1
105.05,Schubert Stint 1
105.36,Schubert Stint 1
105.29,Schubert Stint 1
105.92,Schubert Stint 1
105.33,Schubert Stint 1
105.41,Schubert Stint 1
105.7,Schubert Stint 1
105.57,Schubert Stint 1
105.77,Schubert Stint 1
105.71,Schubert Stint 1
105.54,Schubert Stint 1
105.63,Schubert Stint 1
105.35,Schubert Stint 1
105.51,Schubert Stint 1
105.61,Schubert Stint 1
105.45,Schubert Stint 1
105.73,Schubert Stint 1
105.63,Schubert Stint 1
106.3,Schubert Stint 1
106.13,Schubert Stint 1
105.77,Schubert Stint 1
105.66,Schubert Stint 1
105.66,Schubert Stint 1


105.72,Flicker Stint 1
106.57,Flicker Stint 1
105.41,Flicker Stint 1
105.46,Flicker Stint 1
105.61,Flicker Stint 1
105.64,Flicker Stint 1
105.6,Flicker Stint 1
106.48,Flicker Stint 1
105.56,Flicker Stint 1
105.81,Flicker Stint 1
106.09,Flicker Stint 1
105.77,Flicker Stint 1
105.81,Flicker Stint 1
105.89,Flicker Stint 1
106.37,Flicker Stint 1
105.93,Flicker Stint 1
105.8,Flicker Stint 1
106.31,Flicker Stint 1
106,Flicker Stint 1
106.1,Flicker Stint 1
106.39,Flicker Stint 1
106.29,Flicker Stint 1
106.34,Flicker Stint 1
106.08,Flicker Stint 1
106.31,Flicker Stint 1
106.72,Flicker Stint 1
106.27,Flicker Stint 1
106.59,Flicker Stint 1
106.54,Flicker Stint 1
106.8,Flicker Stint 1
106.45,Flicker Stint 1
106.72,Flicker Stint 1
107.16,Flicker Stint 1
106.8,Flicker Stint 1


105.74,Kylo Stint 2
105.74,Kylo Stint 2
105.13,Kylo Stint 2
105.05,Kylo Stint 2
104.94,Kylo Stint 2
105.23,Kylo Stint 2
105.96,Kylo Stint 2
105.76,Kylo Stint 2
105.36,Kylo Stint 2
105.29,Kylo Stint 2
105.55,Kylo Stint 2
105.79,Kylo Stint 2
105.73,Kylo Stint 2
105.88,Kylo Stint 2
106.09,Kylo Stint 2
105.82,Kylo Stint 2
105.96,Kylo Stint 2
105.83,Kylo Stint 2
106.03,Kylo Stint 2
106.23,Kylo Stint 2
105.65,Kylo Stint 2
107.93,Kylo Stint 2
106.43,Kylo Stint 2
106.37,Kylo Stint 2
106.04,Kylo Stint 2
106.09,Kylo Stint 2
105.88,Kylo Stint 2
106.41,Kylo Stint 2
106.47,Kylo Stint 2
106.07,Kylo Stint 2
105.95,Kylo Stint 2
106.09,Kylo Stint 2
106.05,Kylo Stint 2
106.07,Kylo Stint 2


105.71,Flicker Stint 2
105.77,Flicker Stint 2
105.52,Flicker Stint 2
105.71,Flicker Stint 2
105.76,Flicker Stint 2
105.51,Flicker Stint 2
105.65,Flicker Stint 2
105.5,Flicker Stint 2
105.72,Flicker Stint 2
106.13,Flicker Stint 2
105.77,Flicker Stint 2
105.51,Flicker Stint 2
105.43,Flicker Stint 2
106.99,Flicker Stint 2
105.67,Flicker Stint 2
106.4,Flicker Stint 2
105.83,Flicker Stint 2
106.68,Flicker Stint 2
106.01,Flicker Stint 2
106.02,Flicker Stint 2
105.69,Flicker Stint 2
105.71,Flicker Stint 2
106.52,Flicker Stint 2
105.89,Flicker Stint 2
106.56,Flicker Stint 2
105.95,Flicker Stint 2
106.14,Flicker Stint 2
106.53,Flicker Stint 2
106.1,Flicker Stint 2
106.47,Flicker Stint 2
106.19,Flicker Stint 2
106.41,Flicker Stint 2
106.38,Flicker Stint 2
106.5,Flicker Stint 2


105.46,Kylo Stint 3
105.58,Kylo Stint 3
105,Kylo Stint 3
105.33,Kylo Stint 3
105.02,Kylo Stint 3
104.8,Kylo Stint 3
105.28,Kylo Stint 3
105.13,Kylo Stint 3
105.37,Kylo Stint 3
105.34,Kylo Stint 3
