time in seconds,driver
116.28,Hubert Szymański
116.12,Hubert Szymański
115.66,Hubert Szymański
115.61,Hubert Szymański
115.57,Hubert Szymański
114.98,Hubert Szymański
115.01,Hubert Szymański
114.88,Hubert Szymański
115.47,Hubert Szymański
115.8,Hubert Szymański
115.6,Hubert Szymański
115.56,Hubert Szymański
115.61,Hubert Szymański
115.82,Hubert Szymański
115.61,Hubert Szymański
115.83,Hubert Szymański
115.98,Hubert Szymański
116,Hubert Szymański
116.89,Hubert Szymański
116.17,Hubert Szymański
116.35,Hubert Szymański
117.11,Hubert Szymański
116.22,Hubert Szymański
115.57,Hubert Szymański
116.43,Hubert Szymański
116.18,Hubert Szymański
116.2,Hubert Szymański
116.09,Hubert Szymański
116.3,Luca Ziege
116.27,Luca Ziege
116.25,Luca Ziege
116.28,Luca Ziege
116.09,Luca Ziege
115.64,Luca Ziege
116.02,Luca Ziege
116.35,Luca Ziege
116.86,Luca Ziege
117.14,Luca Ziege
115.81,Luca Ziege
115.88,Luca Ziege
115.76,Luca Ziege
116.32,Luca Ziege
116.24,Luca Ziege
115.89,Luca Ziege
117.7,Luca Ziege
116.37,Luca Ziege
116.65,Luca Ziege
116.97,Luca Ziege
117.15,Luca Ziege
116.48,Luca Ziege
116.75,Luca Ziege
116.25,Luca Ziege
116.15,Luca Ziege
116.55,Luca Ziege
116.35,Luca Ziege
116.54,Luca Ziege
116.45,Luca Ziege
116.47,Luca Ziege
116.41,Luca Ziege
116.44,Ryan Cooper
115.88,Ryan Cooper
116.4,Ryan Cooper
116.09,Ryan Cooper
116.62,Ryan Cooper
116.25,Ryan Cooper
115.99,Ryan Cooper
116.11,Ryan Cooper
116.32,Ryan Cooper
116.55,Ryan Cooper
116.49,Ryan Cooper
116.25,Ryan Cooper
116.61,Ryan Cooper
116.52,Ryan Cooper
117.32,Ryan Cooper
117.21,Ryan Cooper
116.77,Ryan Cooper
117.06,Ryan Cooper
117.68,Ryan Cooper
117.47,Ryan Cooper
117.7,Ryan Cooper
117.19,Ryan Cooper
117.93,Ryan Cooper
117.51,Ryan Cooper
117.4,Ryan Cooper
117.66,Ryan Cooper
118.07,Ryan Cooper
117.71,Ryan Cooper
118.16,Ryan Cooper
118.28,Ryan Cooper
116.63,Luca Ziege
115.65,Luca Ziege
115.95,Luca Ziege
115.87,Luca Ziege
115.85,Luca Ziege
115.94,Luca Ziege
116.09,Luca Ziege
117.73,Luca Ziege
117.27,Luca Ziege
116.19,Luca Ziege
116.12,Luca Ziege
116.48,Luca Ziege
116.05,Luca Ziege
116.19,Luca Ziege
115.92,Luca Ziege
115.83,Luca Ziege
116.76,Luca Ziege
116.77,Luca Ziege
116.7,Luca Ziege
116.3,Luca Ziege
116.58,Luca Ziege
117.06,Luca Ziege
116.06,Luca Ziege
115.85,Luca Ziege
116.58,Luca Ziege
116.65,Luca Ziege
115.96,Luca Ziege
116.27,Luca Ziege
117.54,Luca Ziege
117.01,Alessio Melis
116.68,Alessio Melis
118.41,Alessio Melis
118.4,Alessio Melis
117.5,Alessio Melis
116.29,Alessio Melis
116.19,Alessio Melis
116.17,Alessio Melis
115.98,Alessio Melis
115.86,Alessio Melis
115.77,Alessio Melis
115.77,Alessio Melis
116,Alessio Melis
116.34,Alessio Melis
116.94,Alessio Melis
116.59,Alessio Melis
116.41,Alessio Melis
117.07,Alessio Melis
116.31,Alessio Melis
117.6,Alessio Melis
116.66,Alessio Melis
116.79,Alessio Melis
116.93,Alessio Melis
116.73,Alessio Melis
116.64,Alessio Melis
117.21,Alessio Melis
117.39,Alessio Melis
117.16,Alessio Melis
118.18,Alessio Melis
116.38,Alessio Melis
116.58,Alessio Melis
116.56,Alessio Melis
117.49,Alessio Melis
116.34,Alessio Melis
117.37,Alessio Melis
116.46,Alessio Melis
117.36,Alessio Melis
116.66,Alessio Melis
118.09,Alessio Melis
116.7,Alessio Melis
116.97,Alessio Melis
118.74,Alessio Melis
116.67,Alessio Melis
116.8,Alessio Melis
117.07,Alessio Melis
117.17,Alessio Melis
116.53,Alessio Melis
117.31,Alessio Melis
116.73,Alessio Melis
117.48,Alessio Melis
118.91,Alessio Melis
118.32,Alessio Melis
115.82,Luca Ziege
116.11,Luca Ziege
115.62,Luca Ziege
116.06,Luca Ziege
117.63,Luca Ziege
116.13,Luca Ziege
115.78,Luca Ziege
115.79,Luca Ziege
115.92,Luca Ziege
115.94,Luca Ziege
117.11,Luca Ziege
116.29,Luca Ziege
116.09,Luca Ziege
115.92,Luca Ziege
116.59,Luca Ziege
115.98,Luca Ziege
115.83,Luca Ziege
115.93,Luca Ziege
116.15,Luca Ziege
116.61,Luca Ziege
116.16,Luca Ziege
115.96,Luca Ziege
116.18,Luca Ziege
115.94,Luca Ziege
116.25,Luca Ziege
116.64,Luca Ziege
116.27,Luca Ziege
116.05,Luca Ziege
116.55,Luca Ziege
116.67,Luca Ziege
116.54,Luca Ziege
114.56,Hubert Szymański
114.86,Hubert Szymański
115.22,Hubert Szymański
114.42,Hubert Szymański
114.84,Hubert Szymański
114.67,Hubert Szymański
114.51,Hubert Szymański
114.38,Hubert Szymański
114.6,Hubert Szymański
114.52,Hubert Szymański
114.68,Hubert Szymański
114.83,Hubert Szymański
114.89,Hubert Szymański
115.89,Hubert Szymański
114.89,Hubert Szymański
114.9,Hubert Szymański
115.18,Hubert Szymański
114.9,Hubert Szymański
115.33,Hubert Szymański
114.7,Hubert Szymański
115.2,Hubert Szymański
115.09,Hubert Szymański
