ranking,name,track
8,Kylo,Autodromo Enzo e Dino Ferrari
7,Kylo,Barcelona
3,Kylo,Brands Hatch
8,Kylo,Donington Park
7,Kylo,Hungaroring
10,Kylo,Kyalami
7,Kylo,Laguna Seca
7,Kylo,Misano
5,Kylo,Monza
8,Kylo,Mount Panorama
9,Kylo,Nürburgring
7,Kylo,Oulton Park
7,Kylo,Paul Ricard
10,Kylo,Silverstone
6,Kylo,Snetterton Circuit
8,Kylo,Spa-Francorchamps
8,Kylo,Suzuka
3,Kylo,Zandvoort
1,Kylo,Zolder
10,Hölmö,Autodromo Enzo e Dino Ferrari
3,Hölmö,Barcelona
3,Hölmö,Brands Hatch
7,Hölmö,Donington Park
1,Hölmö,Hungaroring
8,Hölmö,Kyalami
3,Hölmö,Laguna Seca
6,Hölmö,Misano
6,Hölmö,Monza
9,Hölmö,Mount Panorama
10,Hölmö,Nürburgring
1,Hölmö,Oulton Park
4,Hölmö,Paul Ricard
9,Hölmö,Silverstone
2,Hölmö,Snetterton Circuit
10,Hölmö,Spa-Francorchamps
6,Hölmö,Suzuka
4,Hölmö,Zandvoort
5,Hölmö,Zolder
10,Rabidal,Autodromo Enzo e Dino Ferrari
4,Rabidal,Barcelona
5,Rabidal,Brands Hatch
7,Rabidal,Donington Park
6,Rabidal,Hungaroring
7,Rabidal,Kyalami
5,Rabidal,Laguna Seca
6,Rabidal,Misano
7,Rabidal,Monza
7,Rabidal,Mount Panorama
9,Rabidal,Nürburgring
4,Rabidal,Oulton Park
5,Rabidal,Paul Ricard
6,Rabidal,Silverstone
4,Rabidal,Snetterton Circuit
8,Rabidal,Spa-Francorchamps
6,Rabidal,Suzuka
4,Rabidal,Zandvoort
6,Rabidal,Zolder
9,Ryan Rennoir,Autodromo Enzo e Dino Ferrari
6,Ryan Rennoir,Barcelona
2,Ryan Rennoir,Brands Hatch
1,Ryan Rennoir,Donington Park
5,Ryan Rennoir,Hungaroring
9,Ryan Rennoir,Kyalami
8,Ryan Rennoir,Laguna Seca
6,Ryan Rennoir,Misano
5,Ryan Rennoir,Monza
7,Ryan Rennoir,Mount Panorama
9,Ryan Rennoir,Nürburgring
3,Ryan Rennoir,Oulton Park
9,Ryan Rennoir,Paul Ricard
7,Ryan Rennoir,Silverstone
4,Ryan Rennoir,Snetterton Circuit
9,Ryan Rennoir,Spa-Francorchamps
9,Ryan Rennoir,Suzuka
4,Ryan Rennoir,Zandvoort
6,Ryan Rennoir,Zolder
10,Kusza,Autodromo Enzo e Dino Ferrari
7,Kusza,Barcelona
6,Kusza,Brands Hatch
7,Kusza,Donington Park
5,Kusza,Hungaroring
10,Kusza,Kyalami
5,Kusza,Laguna Seca
3,Kusza,Misano
6,Kusza,Monza
10,Kusza,Mount Panorama
7,Kusza,Nürburgring
5,Kusza,Oulton Park
3,Kusza,Paul Ricard
8,Kusza,Silverstone
6,Kusza,Snetterton Circuit
5,Kusza,Spa-Francorchamps
5,Kusza,Suzuka
3,Kusza,Zandvoort
5,Kusza,Zolder
8,Mister,Autodromo Enzo e Dino Ferrari
1,Mister,Barcelona
8,Mister,Brands Hatch
9,Mister,Donington Park
4,Mister,Hungaroring
10,Mister,Kyalami
6,Mister,Laguna Seca
4,Mister,Misano
7,Mister,Monza
9,Mister,Mount Panorama
9,Mister,Nürburgring
10,Mister,Oulton Park
1,Mister,Paul Ricard
8,Mister,Silverstone
1,Mister,Snetterton Circuit
7,Mister,Spa-Francorchamps
7,Mister,Suzuka
6,Mister,Zandvoort
6,Mister,Zolder
9,Jordan,Autodromo Enzo e Dino Ferrari
2,Jordan,Barcelona
5,Jordan,Brands Hatch
8,Jordan,Donington Park
5,Jordan,Hungaroring
10,Jordan,Kyalami
9,Jordan,Laguna Seca
6,Jordan,Misano
4,Jordan,Monza
9,Jordan,Mount Panorama
10,Jordan,Nürburgring
7,Jordan,Oulton Park
3,Jordan,Paul Ricard
9,Jordan,Silverstone
7,Jordan,Snetterton Circuit
9,Jordan,Spa-Francorchamps
