laptime,car_id,Car
103305,30,BMW M4
104302,20,Aston Martin V8
106382,23,Porsche 2019
103325,21,Honda Evo
102455,23,Porsche 2019
105695,24,Ferrari Evo
102985,30,BMW M4
102452,25,Mercedes 2020
102515,30,BMW M4
102557,30,BMW M4
105825,25,Mercedes 2020
101537,30,BMW M4
102282,8,Bentley 2018
105852,24,Ferrari Evo
104610,22,McLaren 720S
105472,20,Aston Martin V8
103957,2,Ferrari
103465,30,BMW M4
101732,20,Aston Martin V8
103057,20,Aston Martin V8
102015,25,Mercedes 2020
100517,30,BMW M4
102382,25,Mercedes 2020
101705,20,Aston Martin V8
103350,8,Bentley 2018
104087,30,BMW M4
103225,31,Audi Evo 2
106125,30,BMW M4
102465,30,BMW M4
104312,22,McLaren 720S
103295,30,BMW M4
101485,30,BMW M4
103342,20,Aston Martin V8
105887,25,Mercedes 2020
100837,30,BMW M4
103062,30,BMW M4
104635,30,BMW M4
102745,30,BMW M4
104270,30,BMW M4
104887,25,Mercedes 2020
102442,30,BMW M4
103482,15,Lexus
104182,31,Audi Evo 2
102822,31,Audi Evo 2
101987,30,BMW M4
101797,30,BMW M4
103800,22,McLaren 720S
101347,30,BMW M4
103905,15,Lexus
102777,21,Honda Evo
104802,31,Audi Evo 2
104080,30,BMW M4
107440,22,McLaren 720S
100142,30,BMW M4
104607,22,McLaren 720S
101337,6,Nissan 2018
104667,30,BMW M4
105265,24,Ferrari Evo
103655,20,Aston Martin V8
102862,20,Aston Martin V8
104165,24,Ferrari Evo
104950,30,BMW M4
102212,8,Bentley 2018
101720,30,BMW M4
104387,22,McLaren 720S
102390,30,BMW M4
103805,16,Lambo Evo
104217,20,Aston Martin V8
102467,25,Mercedes 2020
103247,31,Audi Evo 2
101822,30,BMW M4
104110,24,Ferrari Evo
103790,30,BMW M4
103357,30,BMW M4
100960,19,Audi Evo
103457,20,Aston Martin V8
103182,19,Audi Evo
102817,31,Audi Evo 2
101472,30,BMW M4
102405,30,BMW M4
106040,22,McLaren 720S
102027,23,Porsche 2019
101987,30,BMW M4
103087,30,BMW M4
103955,30,BMW M4
103755,31,Audi Evo 2
104265,20,Aston Martin V8
103872,31,Audi Evo 2
104955,22,McLaren 720S
105950,20,Aston Martin V8
102657,30,BMW M4
104967,30,BMW M4
103257,30,BMW M4
102272,31,Audi Evo 2
105645,24,Ferrari Evo
102425,30,BMW M4
103505,22,McLaren 720S
105182,30,BMW M4
104137,23,Porsche 2019
102400,20,Aston Martin V8
103045,30,BMW M4
105017,22,McLaren 720S
